t,x,y,dx,dy
0.0,2.687451545351021,2.4793683906061474,2.8170019970182203,4.887206941873767
0.01,2.7156215653212032,2.528240460024885,2.790870780334176,4.875249857477981
0.02,2.7432689609577046,2.576873387755707,2.7382338828457753,4.851002038978391
0.03,2.7703862429781188,2.625260500804453,2.6849132297592115,4.8261231681884675
0.04,2.796967225552889,2.6733958511194764,2.631037753976284,4.8006856511536355
0.05,2.8230069980576444,2.7212742138275257,2.576733339748638,4.774761557239793
0.06,2.8485018923478616,2.7688910822642723,2.5221224068619152,4.748422313317824
0.07,2.8734494461948827,2.816242660093882,2.467323550236089,4.721738422455268
0.08,2.8978483633525833,2.8633258507133776,2.412451231421353,4.694779206421251
0.09,2.92169847082331,2.910138244222307,2.3576155228706375,4.667612574500701
0.1,2.945000673809996,2.9566781022033917,2.3029219046696303,4.640304819362884
0.11,2.9677569089167024,3.002944340609565,2.2484711075298147,4.612920438045753
0.12,2.9899700959605924,3.0489365109643067,2.1943589985989,4.585521977304019
0.13,3.0116440888886804,3.094654780155645,2.14067651211276,4.558169905174392
0.14,3.0327836262028476,3.1400999090677946,2.0875096174882257,4.530922505777002
0.15,3.053394281238445,3.1852732302711853,2.0349393217143463,4.5038357963196995
0.16,3.0734824126371345,3.2301766249941886,1.983041703660815,4.476963465545958
0.17,3.093055115311661,3.2748124995821044,1.931887976675828,4.450356832099911
0.18,3.112120172170651,3.319183761636187,1.8815445757483173,4.424064821158047
0.19,3.1306860068266276,3.3632937960052653,1.8320732657214345,4.398133957693684
0.2,3.1487616374850798,3.4071464407900605,1.7835312684505,4.372608375202991
0.21,3.1663566321956376,3.450745963509325,1.7359714053599706,4.347529838091457
0.22,3.183481065592279,3.4940970375518896,1.6894422518995977,4.322937775914459
0.23,3.2001454772336295,3.5372047190276144,1.6439883023070312,4.298869328329036
0.24,3.21636083163842,3.5800744241184703,1.599650141949116,4.275359399172385
0.25,3.232138480072612,3.622711907011062,1.5564646248784841,4.252440718224992
0.26,3.2474901241359895,3.66512323848297,1.514465054860037,4.230143909424933
0.27,3.2624277811698126,3.7073147851995607,1.4736813678778216,4.208497564212843
0.28,3.276963751493546,3.749293189767227,1.434140314671728,4.187528318915823
0.29,3.291110587463247,3.791065351577877,1.3958656418082027,4.167260935071471
0.3,3.30488106432971,3.8326384084686564,1.358878269854058,4.147718381616272
0.31,3.3182881528603283,3.8740197192102026,1.3231964684177866,4.12892191841856
0.32,3.3313449936980657,3.9152168468370276,1.288836026064244,4.1108911798688474
0.33,3.344064873381613,3.9562375428075796,1.2558104146651372,4.093644257950957
0.34,3.3564612019913684,3.997089731996047,1.2241309481643814,4.077197784420972
0.35000000000000003,3.368547492344901,4.037781498495999,1.1938069346092428,4.061567011224643
0.36,3.3803373406835533,4.07832107222054,1.1648458210173462,4.046765888683312
0.37,3.3918444087652477,4.118716816269665,1.1372533310854749,4.032807141113759
0.38,3.403082407305263,4.158977215042815,1.1110335954580774,4.019702339493003
0.39,3.4140650806744093,4.199110863059525,1.0861892740337442,4.007461970701209
0.4,3.4248061927859377,4.239126454456839,1.0627216706352804,3.9960955032271706
0.41000000000000003,3.435319514087115,4.279032773124069,1.0406308396728514,3.9856114489775774
0.42,3.4456188095793947,4.3188386834363905,1.0199156850251745,3.9760174210846877
0.43,3.4557178277876184,4.3585531215457625,1.0005740509777317,3.967320187466772
0.44,3.4656302905989493,4.398185087185726,0.9826028054094937,3.9595257200668588
0.45,3.4753698838958083,4.4377436359471,0.9659979152305764,3.9526392396190158
0.46,3.484950248903561,4.477237871978106,0.9507545141842266,3.9466652558612925
0.47000000000000003,3.494384974179493,4.5166769410643255,0.9368669631940607,3.941607603163888
0.48,3.503687588167442,4.556070024041384,0.9243289032691671,3.9374694714518377
0.49,3.512871552244876,4.595426330493362,0.9131333010998333,3.9342534323794975
0.5,3.5219502541894387,4.634755092688974,0.903272487633866,3.931961460826061
0.51,3.5309370019975534,4.6740655597098835,0.8947381896156736,3.930594951588784
0.52,3.539845017981752,4.71336699172075,0.8875215542212267,3.930154731267388
0.53,3.548687433081978,4.752668654335231,0.8816131669702187,3.9306410653510593
0.54,3.5574772813211566,4.791979813027771,0.877003063043591,3.9320536605099488
0.55,3.56622749434285,4.83130972754543,0.8736807321250817,3.934391662080383
0.56,3.5749508959636582,4.8706676462693785,0.8716351168347902,3.9376536467191414
0.5700000000000001,3.5836601966795456,4.910062800479813,0.8708546049388755,3.9418376102724917
0.58,3.5923679880624357,4.949504398474828,0.8713270154148134,3.946940950847111
0.59,3.601086736987842,4.989001619496755,0.8730395785148115,3.952960447119258
0.6,3.609828779632732,5.0285636074172135,0.8759789099018089,3.9598922318779817
0.61,3.618606315185878,5.068199464134315,0.8801309790315237,3.9677317608724394
0.62,3.6274313992133624,5.107918242634662,0.8854810718584849,3.9764737769667047
0.63,3.6363159366230478,5.147728939673649,0.8920137480518342,3.986112269700204
0.64,3.645271674174399,5.187640488028666,0.899712792818308,3.9966404302825165
0.65,3.654310192479414,5.227661748279299,0.9085611635532231,4.008050602157187
0.66,3.6634428974454636,5.26780150007181,0.918540931457934,4.020334227207156
0.67,3.6726810111085726,5.308068432823442,0.9296332183717171,4.033481787772253
0.68,3.682035561812898,5.348471135827255,0.9418181289449601,4.047482744550068
0.6900000000000001,3.691517373687472,5.389018087714444,0.9550746787631237,4.062325470854944
0.7000000000000001,3.7011370553881604,5.429717645244354,0.9693807182716174,4.077997183092741
0.71,3.710904988052904,5.470578031376299,0.9847128531067062,4.094483867946952
0.72,3.7208313124502945,5.511607322603293,1.001046361394442,4.1117702067116735
0.73,3.730925915280793,5.552813435510532,1.01835510805377,4.12983949681025
0.74,3.74119841461137,5.594204112539498,1.0366114572701202,4.148673571475792
0.75,3.7516581444261954,5.635786906940048,1.0557861829243453,4.168252717404464
0.76,3.762314138269857,5.677569166887587,1.0758483784673034,4.188555591672838
0.77,3.7731751119955415,5.719558018773505,1.0967653664017973,4.209559138033558
0.78,3.784249445597893,5.761760349648259,1.1185026084549854,4.231238503558865
0.79,3.795545164164641,5.804182788844682,1.1410236174982824,4.253566956545285
0.8,3.8070699179478584,5.846831688779164,1.164289871720503,4.276515806133441
0.81,3.818830961599051,5.889713104967351,1.1882607329443573,4.3000543253227
0.8200000000000001,3.8308351326067456,5.932832775285618,1.2128933693997368,4.3241496776459165
0.8300000000000001,3.843088828987046,5.976196098520269,1.238142685043031,4.348766849406749
0.84,3.855597986307606,6.019808112273753,1.2639612562718172,4.373868588208607
0.85,3.8683680541124823,6.063673470284441,1.2902992776147038,4.399415349239444
0.86,3.8814039718599003,6.107796419258542,1.317104518256973,4.425365250975188
0.87,3.8947101444776218,6.152180775303945,1.3443222903990248,4.451674041220377
0.88,3.9082904176678808,6.19682990008295,1.3718954317154308,4.478295075575112
0.89,3.9221480531119304,6.241746676815447,1.3997643032988227,4.50517930956047
0.9,3.936285703733857,6.286933486274159,1.4278668045233145,4.532275305795208
0.91,3.9507053892023967,6.332392182931351,1.4561384074873063,4.559529258598305
0.92,3.9654084718836033,6.378124071446125,1.484512211151845,4.586885036228461
0.93,3.9803956334254336,6.424129883655921,1.5129190185428243,4.614284243830369
0.9400000000000001,3.99566685225446,6.4704097563227325,1.5412874372835006,4.641666307382408
0.9500000000000001,4.011221382171104,6.516963209803569,1.56954400388023,4.668968579154864
0.96,4.027057732332064,6.56378912790583,1.5976133366218281,4.696126469050865
0.97,4.04317364890354,6.610885739184586,1.6254183151431345,4.723073600219596
0.98,4.059566098634927,6.658250599910222,1.6528802851765168,4.749741987732614
0.99,4.0762312546070705,6.705880578939238,1.6799192934606744,4.776062244824031
1.0,4.093164484504141,6.753771844806702,1.706454352567155,4.801963816548094
1.01,4.110360341658414,6.8019198552702,1.732403731505805,4.827375237327969
1.02,4.127812559134257,6.850319349553262,1.7576852730260217,4.852224413288342
1.03,4.145514047118934,6.898964343535967,1.7822167385583398,4.8764389302244915
1.04,4.1634568939054235,6.9478481281577515,1.8059161773017696,4.89994638419553
1.05,4.181632370664969,6.996963271219878,1.828702316553743,4.922674732261756
1.06,4.200030940236498,7.046301622802987,1.850494972150818,4.944552662366064
1.07,4.218642270107986,7.095854324467199,1.8712154752110521,4.965509978936877
1.08,4.237455249740719,7.145611822381724,1.890787111638259,4.985478001138954
1.09,4.256458012340751,7.195563884489978,1.9091355702965718,5.004389970098755
1.1,4.275637961146651,7.245699621783699,1.9261893953989695,5.02218146108806
1.11,4.29498180024873,7.296007513711739,1.9418804384776056,5.038790796475645
1.12,4.314475569916203,7.346475437713212,1.956144304493268,5.054159454549012
1.1300000000000001,4.334104686338596,7.3970907028027195,1.9689207873357706,5.06823246987107
1.1400000000000001,4.353853985662918,7.447840087110634,1.9801542887183832,5.080958819702186
1.1500000000000001,4.373707772112963,7.498709879196763,1.9897942156608117,5.09229179209072
1.16,4.393649869976135,7.549685922952448,1.997795350851872,5.102189330380202
1.17,4.413663679130001,7.600753665804367,2.004118190915394,5.110614349551756
1.18,4.4337322337944425,7.651898209943483,2.0087292480647,5.117535020194275
1.19,4.453838264091295,7.703104366208253,2.011601310160671,5.12292501548548
1.2,4.473964259997656,7.754356710253193,2.012713656229881,5.126763718384186
1.21,4.494092537215892,7.8056396405759365,2.0120522231318994,5.129036384992558
1.22,4.514205304460294,7.856937437953044,2.0096097219447717,5.129734262661634
1.23,4.534284731654788,7.908234325829169,2.005385701190665,5.128854660072202
1.24,4.554313018484107,7.959514531154488,1.9993865567678348,5.126400969049927
1.25,4.5742724627901445,8.010762345210168,1.991625487758153,5.122382637194711
1.26,4.59414552823927,8.061962183898382,1.9821223990001524,5.1168150920217315
1.27,4.613914910770148,8.113098647050602,1.9709037519302086,5.109719617827668
1.28,4.633563603277874,8.164156576254936,1.9580023654538259,5.101123186772583
1.29,4.653074958079224,8.215121110786054,1.943457170431806,5.091058247323055
1.3,4.6724327466865105,8.265977741201397,1.9273129205637396,5.079562472470833
1.31,4.691621216490499,8.31671236023547,1.9096198645033091,5.066678472056996
1.32,4.710625143976577,8.367311310642537,1.8904333833461795,5.052453472864293
1.33,4.7294298841574225,8.417761429692757,1.8698135985819597,5.036938971072491
1.34,4.748021415948216,8.468050090063986,1.8478249560212934,5.020190362018795
1.35,4.766386383277848,8.518165236933132,1.8245357904907333,5.002266551610379
1.36,4.784512131758031,8.568095421096194,1.8000178776029774,4.9832295550936045
1.37,4.802386740829908,8.617829828035005,1.774345976999303,4.963144087181881
1.3800000000000001,4.819999051298017,8.667358302839832,1.7475973733095618,4.942077149230517
1.3900000000000001,4.837338688296099,8.716671371019615,1.7198514189588732,4.920097617228603
1.4000000000000001,4.854396079677194,8.765760255184404,1.6911890841023958,4.897275835450099
1.41,4.871162469978147,8.814616887728617,1.6616925178078112,4.873683219540137
1.42,4.88762993003335,8.863233919575206,1.6314446246019632,4.849391872840592
1.43,4.903791362470186,8.911604725185429,1.6005286588057999,4.824474218182928
1.44,4.919640503209466,8.959723403938865,1.569027840090076,4.7990026483560655
1.45,4.935171919271988,9.00758477815255,1.5370249957047832,4.773049200270307
1.46,4.950381003123562,9.055184387944271,1.5046022254093128,4.746685249226346
1.47,4.965263963780174,9.102518483137077,1.4718405944839308,4.719981228274861
1.48,4.979817815013241,9.149584012509768,1.438819855046658,4.693006372919761
1.49,4.994040360881107,9.196378610595472,1.4056181971711101,4.665828492603197
1.5,5.007930178956663,9.242900582361832,1.3723120301313507,4.638513769307995
1.51,5.021486601483734,9.289148885981632,1.3389757850586825,4.611126575360647
1.52,5.0347096946578365,9.335123113869045,1.305681753673582,4.583729323925478
1.53,5.047600236557206,9.380823472460142,1.2724999557471417,4.5563823455037955
1.54,5.060159693772779,9.426250760779121,1.2394980212521833,4.529143777623723
1.55,5.07239019698225,9.471406348012616,1.206741106631748,4.502069485582805
1.56,5.084294515905414,9.516292150490777,1.1742918347056097,4.4752130046743055
1.57,5.095876033676362,9.560910608106102,1.1422102509926368,4.448625497322034
1.58,5.107138720925267,9.605264660437218,1.1105538034126727,4.422355731544325
1.59,5.118087109744615,9.649357722736989,1.0793773394611073,4.396450075370062
1.6,5.128726267714489,9.693193661944619,1.0487331199951822,4.370952506449921
1.61,5.139061772144519,9.736776772865987,1.0186708477631257,4.345904635175746
1.62,5.149099684669752,9.780111754648134,0.9892377088782212,4.3213457396870325
1.6300000000000001,5.158846526322083,9.823203687659728,0.960478425832223,4.297312811493992
