t,x,y,z,dx,dy,dz
0.0,-3.7706637533941088,-0.2937384967951644,-1.056978151001442,27.96938541014593,-104.26606840640864,5.704441000671268
0.01,-3.4909698992926494,-1.3363991808592508,-0.9999337409947293,21.874123220921305,-100.48982443130157,7.228515175043443
0.02,-3.3331812889756827,-2.3035349854211957,-0.9124078475005731,10.54207908235154,-94.56653458117121,10.082730642896227
0.03,-3.2801283176456186,-3.227729872482675,-0.7982791281368048,0.7022018710983069,-91.66375712509628,12.743599926001709
0.04,-3.3191372515537165,-4.1368101279231215,-0.657535848980539,-8.0535522287565,-91.3555035664978,15.557792833703642
0.05,-3.4411993622207486,-5.054839943812631,-0.48712327146273193,-16.05833595415005,-93.30496829216965,18.81021932838432
0.06,-3.6403039706367175,-6.002909493766515,-0.28133146241285256,-23.585004038186796,-97.24322872543304,22.76291467765496
0.07,-3.9128994429844846,-6.999704518321292,-0.03186497790963276,-30.857241041525874,-102.9469709737965,27.682410954276513
0.08,-4.257448791467235,-8.061848913242445,0.2723167566726778,-38.05745547033326,-110.21494364983906,33.859736579529084
0.09,-4.67404855239115,-9.204003391318073,0.6453297536809489,-45.331576464433354,-118.84199714444578,41.62520300931774
0.1,-5.164080320755902,-10.43868885613136,1.1048208168590326,-52.790743034169196,-128.589105448075,51.35851605040333
0.11,-5.729863413074534,-11.775785500279573,1.6725000746890157,-60.50971311948228,-139.14758403126567,63.493200822221475
0.12,-6.374274583145548,-13.221640536756674,2.374684833303462,-68.52167077050586,-150.09588502133707,78.51262542846891
0.13,-7.100296828484651,-14.777703200706314,3.242752583258394,-76.80901735752568,-160.84812237010038,96.93290025938936
0.14,-7.910454930296061,-16.43860298415868,4.313342838491249,-85.28976921394604,-170.59530824982093,119.26561991282894
0.15,-8.806092212763572,-18.189609365702733,5.628064981514973,-93.7994683827989,-178.24383115336389,145.95111031748974
0.16,-9.78644429795204,-20.00347960722596,7.232365044841044,-102.06922333395427,-182.36176571609536,177.25141959485092
0.17,-10.847476679442657,-21.83684468002464,9.17309337341199,-109.7018635372473,-181.15276847667783,213.09354335707383
0.18,-11.980481568696986,-23.626534976759515,11.494235911982521,-116.15044291532044,-172.48921314070333,252.86031296223106
0.19,-13.170485537749066,-25.286628942838707,14.230299632656612,-120.70653234947359,-154.04812179868853,295.1430202866234
0.2,-14.394612215686458,-26.707497412733286,17.39709631771499,-122.50951426357774,-123.59839815997748,337.49970370911086
0.21,-15.62067582302062,-27.758596906038257,20.98029370683883,-120.59116075764074,-79.47350514084945,376.3051339418673
0.22,-16.806435430839272,-28.296967515550275,24.923198996552337,-113.96962221946785,-21.214617669218327,406.8210504083044
0.23,-17.900068267409978,-28.182889259422623,29.116714715004917,-101.80003883297033,49.723261531572405,423.62938267446174
0.24,-18.84243620749868,-27.302502284918827,33.39578665004157,-83.57234001061026,129.42911649027255,421.51480363568476
0.25,-19.571515067622183,-25.594306929617172,37.54701078771861,-59.32129835716218,211.47130213522763,396.72452108233216
0.26,-20.028862174641922,-23.073076242214274,41.330277071688215,-29.78792348355057,287.5844723834414,348.29738819011453
0.27,-20.167273537293195,-19.842617481948345,44.5129585515209,3.539234238023603,349.1475974444086,278.95649657060596
0.28,-19.95807748988145,-16.090124293326102,46.909407003100334,38.55343090925416,389.1128365157586,195.0694287613146
0.29,-19.39620491910811,-12.060360751633173,48.414347126747195,72.82601218849258,403.7233727894204,105.49312062786598
0.3,-18.5015572461116,-8.015656837537694,49.019269415657654,103.99933554036681,393.3410089029133,19.621551112346935
0.31,-17.316218208300775,-4.193540573574906,48.806778148994134,130.1630746371016,362.0676506142949,-54.65500825193885
0.32,-15.898295753369567,-0.7743038252517968,47.92616925061888,150.10750561253303,316.386515021301,-112.35293886103932
0.33,-14.314068096050114,2.134189726851114,46.55971937177335,163.39992682603796,263.43142071620963,-151.7897652848511
0.34,-12.630297216848808,4.494324589072396,44.890373944921855,170.297445374226,209.51551332293246,-174.07327536570455
0.35000000000000003,-10.908119188565594,6.324499993309763,43.078253864459256,171.5566669267959,159.28169346581055,-182.09641358317867
0.36,-9.19916387831289,7.679958458388607,41.24844567325828,168.21287870709884,115.50032752348879,-179.48425529327884
0.37,-7.5438616144236175,8.634506543779539,39.48856875859368,161.3848919522247,79.32010698102059,-169.78449664400975
0.38,-5.971466039268395,9.266360598009019,37.852755740378086,152.1340622533379,50.7231994246629,-155.99622114399983
0.39,-4.5011803693568595,9.648970532272797,36.36864433571368,141.381767293501,28.99187947427455,-140.39355005012374
0.4,-3.1438306933983746,9.84619818749451,35.04488473937561,129.87519765266785,13.08368329852172,-124.54465986427152
0.41000000000000003,-1.9036764163035025,9.910644198243231,33.87775113842825,118.18628627177618,1.8859511028906262,-109.4290579463749
0.42,-0.780104967962851,9.883917209552322,32.85630358044811,106.72956591798648,-5.637116473597725,-95.5838608670831
0.43,0.2309149020562271,9.797901868771277,31.96607392108659,95.78827174205784,-10.37608744956664,-83.24010958278176
0.44,1.1356604668783057,9.67639546056099,31.191501388792478,85.54184777371462,-13.057764086274837,-72.43281878944963
0.45,1.9417518575305195,9.53674658704578,30.517417545297597,76.091127612874,-14.25402597928036,-63.081956789877225
0.46,2.657483019135786,9.391314940975382,29.929862252994933,67.47958818708591,-14.40301209100312,-55.04797891562614
0.47000000000000003,3.2913436212722376,9.248686345225718,29.416457966985075,59.71034874945848,-13.833720710313102,-48.167617911258276
0.48,3.8516899941249556,9.11464052676912,28.966509894769768,52.75924672214569,-12.78937219541616,-42.275508469776035
0.49,4.346528555715151,8.992898901317394,28.570947797589554,46.584594194296145,-11.447528541656027,-37.216226964744514
0.5,4.7833818780108786,8.885689955936,28.222185355474878,41.134273085960245,-9.936447937234494,-32.850164493325096
0.51,5.169214017434356,8.794169942572704,27.913944507723052,36.35077383887473,-8.347889948808529,-29.055626467255458
0.52,5.510397354788373,8.71873215695983,27.64107282612977,32.174687337653296,-6.746888058352951,-25.728756171212375
0.53,5.812707764187422,8.659232181405645,27.399369384298804,28.547057525279662,-5.17907446838306,-22.782306162383748
0.54,6.081338505293966,8.615150667592168,27.185426702882094,25.41090924413103,-3.6760997665639117,-20.143888474011717
0.55,6.320925949070043,8.585710186074367,26.99649161481857,22.712188202555694,-2.259605354095573,-17.754075518898915
0.56,6.53558226934508,8.569958560510257,26.830345192504115,20.400288329726823,-0.9441143823598175,-15.56455818755964
0.5700000000000001,6.728931715664579,8.56682789842717,26.685200451067377,18.428294450813485,0.2608768512406989,-13.536465193131875
0.58,6.90414815836135,8.57517609753507,26.559615888641478,16.753032702012092,1.3493948967024494,-11.638886300949558
0.59,7.063992369704821,8.59381579636122,26.452422725048386,15.334994904114696,2.3179155818460195,-9.84760674318359
0.6,7.210848056443644,8.621534409171991,26.362663753777806,14.138184011177923,3.1646061209047893,-8.144040944736375
0.61,7.34675604992838,8.657107918779316,26.28954190615366,13.129913943590754,3.8887996210334563,-6.514344284206075
0.62,7.473446335315459,8.69931040159266,26.232376868093684,12.280587193877013,4.490641751076474,-4.948677953272984
0.63,7.59236779380592,8.746920753800845,26.1905683470882,11.563466483204765,4.970865949784109,-3.440601550353506
0.64,7.704715664979554,8.798727720588342,26.163564837086614,10.954451649598562,5.330665352036323,-1.9865693391977857
0.65,7.811456826797891,8.853534060841572,26.150836960304243,10.43186927995996,5.571637864066403,-0.5855082312246296
0.66,7.9133530505787535,8.91016047786967,26.15185467246212,9.976279931489485,5.695786484185117,0.76154198882179
0.67,8.010982425427681,8.967449790525274,26.16606780008068,9.570305819321545,5.705560760672412,2.0517431411832376
0.68,8.104759166965184,9.024271693083119,26.192889535285786,9.198480358812766,5.603927738653969,3.2807422924207685
0.6900000000000001,8.194952032603936,9.079528345298353,26.231682645929094,8.847119790140034,5.394462276162226,4.4429366101770285
0.7000000000000001,8.281701562767985,9.132160938606363,26.281748267489327,8.504216175834767,5.081447510769976,5.531729143807773
0.71,8.365036356120632,9.181157295513753,26.34231722880525,8.159350279209132,4.669976774539908,6.539782950177475
0.72,8.444888568352168,9.225560474097161,26.412543926492877,7.80362216211552,4.166048580957504,7.459278709826478
0.73,8.521108799362942,9.264478267132903,26.49150280300178,7.42959676322732,3.5766466059364177,8.28217871052832
0.74,8.593480503616714,9.29709340621589,26.578187500703443,7.0312612281757225,2.909796992926861,9.000497820172981
0.75,8.661734023926456,9.32267420699144,26.67151275940524,6.603990368650248,2.174595941564661,9.606579861726239
0.76,8.725560310989719,9.340585325047183,26.770319097937968,6.144516344975948,1.3812014764996938,10.093375699490181
0.77,8.784624350825975,9.350298236521434,26.873380273395043,5.650898517122904,0.5407845918825593,10.454717431863081
0.78,8.838578281332177,9.351401016884834,26.97941344657523,5.122489416566278,-0.33456335226835776,10.685581466997895
0.79,8.887074139157301,9.343606969476067,27.087091902735,4.559892974772772,-1.231968072335654,10.782332044917453
0.8,8.929776140827633,9.326761655438121,27.19506008747358,3.9649115182236017,-2.13795341144829,10.742936075013176
0.81,8.966372369521773,9.300847901247101,27.301950624235264,3.3404786092100736,-3.0386622746661374,10.567140077837323
0.8200000000000001,8.996585713011834,9.265988409944798,27.406402889030325,2.6905755660513897,-3.920111214362443,10.256600613301003
0.8300000000000001,9.0201838808428,9.222445676959852,27.507082636501284,2.0201304115179397,-4.768470081088516,9.81496085962501
0.84,9.036988321242193,9.170619008323028,27.602702106222825,1.3348990336323752,-5.570356159950318,9.247867941809318
0.85,9.046881861515448,9.111038553760846,27.69203999533747,0.6413294470424269,-6.313130750926277,8.562928092485933
0.86,9.049814910183041,9.044356393304502,27.773960668072544,-0.0535888531051576,-6.985185385467219,7.769599604535848
0.87,9.045810084453345,8.971334846051501,27.847431987428187,-0.7424874180745,-7.576204899949346,6.8790266018257995
0.88,9.034965161821551,8.892832295305515,27.91154120010906,-1.4177893336718483,-8.077395452778902,5.903819673116573
0.89,9.017454297779908,8.809786936995923,27.96550838089052,-2.0718830645559905,-8.48166724042354,4.857792149863016
0.9,8.993527500530432,8.723198950497045,28.00869704310632,-2.697294621520463,-8.783764027989083,3.755663036711887
0.91,8.963508405349499,8.634111656436142,28.040621641624757,-3.2868528838321254,-8.980334491201258,2.612739143789611
0.92,8.927790442853789,8.54359226067302,28.060951825982112,-3.833843076519816,-9.069943542352998,1.4445897074503833
0.93,8.886831543819103,8.452712785589082,28.069513435773764,-4.332143860974558,-9.053025037978646,0.2667266764289522
0.9400000000000001,8.841147565634298,8.362531759913447,28.06628635951069,-4.776344211396477,-8.931780292556546,-0.905697081688217
0.9500000000000001,8.791304659591173,8.27407717973795,28.05139949414,-5.161837165048766,-8.710029431474098,-2.058161027721006
0.96,8.737910822333323,8.188331171283965,28.02512313895627,-5.484888584083336,-8.39302463862266,-3.177013201283785
0.97,8.681606887909506,8.106216686965498,27.987859230114324,-5.742680174939796,-7.987235675974169,-4.249663544002935
