t,x,y,dx,dy
0.0,-0.46458226078101106,-0.40283541703098,-0.4036639611012749,-0.16495933194715096
0.01,-0.4686189003920238,-0.40448501035045153,-0.40447738979568215,-0.16267314732448246
0.02,-0.4726718085769247,-0.4060888799774697,-0.40608100652816115,-0.15802490804976976
0.03,-0.47674052052258703,-0.40764550851144693,-0.40763738015400786,-0.15322432403194197
0.04,-0.48082455618000486,-0.4091533664581085,-0.4091449813199671,-0.14827023387856963
0.05,-0.4849234201489864,-0.4106109131890183,-0.410602269583793,-0.14316157468559354
0.06,-0.4890366015716807,-0.4120165979518204,-0.4120076943874784,-0.13789738702343346
0.07,-0.49316357403673594,-0.413368860929487,-0.4133596960773783,-0.1324768193203374
0.08,-0.4973037954932283,-0.41466613433822713,-0.4146567070058893,-0.12689913233120131
0.09,-0.5014567081768537,-0.415906843576111,-0.41589715286035334,-0.12116370446237368
0.1,-0.5056217385504354,-0.4170894084274746,-0.4170794536183686,-0.1152700352264141
0.11,-0.5097982972492211,-0.4182122442806393,-0.4182020248359619,-0.10921774991136945
0.12,-0.5139857790471546,-0.419273763425702,-0.41926327906260386,-0.10300660447417342
0.13,-0.5181835628304732,-0.42027237637012277,-0.4202616270138515,-0.09663648912753287
0.14,-0.5223910115874316,-0.42120649320825265,-0.42119547902523813,-0.09010743286526901
0.15,-0.5266074724109779,-0.42207452502742815,-0.422063246425447,-0.08341960730936515
0.16,-0.5308322765159406,-0.42287488535443996,-0.4228633429879891,-0.07657333064133853
0.17,-0.5350647392707377,-0.4236059916402549,-0.42359418641191304,-0.06956907131805135
0.18,-0.5393041602441788,-0.424266266780801,-0.42425419985613333,-0.06240745158150318
0.19,-0.5435498232678604,-0.424854140671885,-0.4248418134833898,-0.0550892508391132
0.2,-0.5478009965138466,-0.42536805179758325,-0.425355466048738,-0.04761540882641524
0.21,-0.5520569325888351,-0.4258064488484133,-0.4257936065167778,-0.03998702854799974
0.22,-0.5563168686441822,-0.42616779236854324,-0.4261546957059881,-0.032205378968974685
0.23,-0.5605800265029549,-0.4264505564277928,-0.426437207971303,-0.02427189744892977
0.24,-0.5648456128036082,-0.42665323031752184,-0.4266396328895916,-0.01618819192837906
0.25,-0.5691128191607467,-0.42677432026636036,-0.42676047697838837,-0.0079560428178721
0.26,-0.573380822343176,-0.4268123511738793,-0.426798265429279,0.00042259540202205237
0.27,-0.5776487844693323,-0.4267658683583199,-0.4267515438530489,0.008945592920650558
0.28,-0.581915853220237,-0.42663343931546627,-0.42661888003779347,0.01761064365153886
0.29,-0.5861811620700882,-0.42641365548528914,-0.42639886571494423,0.026415264634604974
0.3,-0.5904438305345359,-0.42610513402277417,-0.42609011834922605,0.035356795706506516
0.31,-0.5947029644370727,-0.425706519571159,-0.4256912828777881,0.044432399772678655
0.32,-0.5989576561920916,-0.4252164860273206,-0.42520103347758464,0.053639063341490156
0.33,-0.6032069851066244,-0.4246337383043292,-0.42461807536219864,0.062973597265778
0.34,-0.6074500176993356,-0.42395701408200503,-0.42394114650169956,0.0724326381427165
0.35000000000000003,-0.6116858080366584,-0.4231850855414749,-0.42316901935134377,0.0820126501473839
0.36,-0.6159133980863625,-0.42231676107905736,-0.42230050259356444,0.09170992701655889
0.37,-0.6201318180885297,-0.4213508870011437,-0.4213344428193766,0.10152059466106977
0.38,-0.62434008694275,-0.42028634918583596,-0.4202697261735555,0.11144061434300301
0.39,-0.6285372126120008,-0.41912207471428364,-0.4191052800044781,0.12146578593467405
0.4,-0.6327221925428396,-0.4178570334671425,-0.41784007445411775,0.13159175192459238
0.41000000000000003,-0.6368940141010832,-0.4164902396757918,-0.41647312400343584,0.14181400177281922
0.42,-0.6410516550229083,-0.4150207534316861,-0.415003488986071,0.15212787663243243
0.43,-0.6451940838808046,-0.41344768214314315,-0.41343027704504043,0.162528574658255
0.44,-0.6493202605638091,-0.411770181938521,-0.4117526445325259,0.17301115659126287
0.45,-0.6534291367714551,-0.4099874590113179,-0.4099697978549366,0.18357055193465865
0.46,-0.6575196565209078,-0.4080987708998278,-0.4080809947538344,0.1942015654520457
0.47000000000000003,-0.6615907566665318,-0.406103427702277,-0.4060855455171819,0.2048988840959748
0.48,-0.6656413674312515,-0.4040007932179083,-0.40398281412180603,0.2156570844377953
0.49,-0.6696704129489679,-0.40179028601352107,-0.40177221929999507,0.22647064032413067
0.5,-0.6736768118172514,-0.3994713804114257,-0.3994532355234115,0.23733393110036416
0.51,-0.6776594776594361,-0.3970436073915138,-0.39702539390888414,0.24824125008389986
0.52,-0.681617319695429,-0.3945065554097477,-0.3944882830339058,0.2591868133966363
0.53,-0.6855492433201142,-0.39185987112358106,-0.3918415496597383,0.27016476923866495
0.54,-0.6894541506886238,-0.3891032600249744,-0.3890848993699625,0.2811692072886035
0.55,-0.6933309413075135,-0.386236486977809,-0.3862180970996276,0.29219416858813074
0.56,-0.6971785126306164,-0.3832593766532118,-0.3832409675760817,0.30323365557917703
0.5700000000000001,-0.7009957606590351,-0.38017181386622545,-0.38015339565434236,0.3142816423854833
0.58,-0.7047815805437032,-0.37697374380550214,-0.37695532654083985,0.3253320854236963
0.59,-0.7085348671898519,-0.3736651721577515,-0.37364676592868684,0.3363789340308676
0.6,-0.712254515862277,-0.3702461651248848,-0.3702277800017195,0.3474161414361132
0.61,-0.7159394227898863,-0.36671684932902926,-0.3666984953439423,0.3584376757821778
0.62,-0.7195884857691558,-0.36307741160924123,-0.36305909874730924,0.36943753116946143
0.63,-0.7232006047648325,-0.35932809870564003,-0.3593098368821934,0.38040973892818075
0.64,-0.7267746825067997,-0.3554692168306776,-0.3554510158682911,0.3913483789315414
0.65,-0.7303096250821983,-0.3515011311270092,-0.3514830007387726,0.40224759082316264
0.66,-0.7338043425215751,-0.34742426501421436,-0.34740621478608347,0.4131015852113451
0.67,-0.73725774937792,-0.3432390994227823,-0.3432211387934925,0.42390465497115504
0.68,-0.740668765297445,-0.33894617191479126,-0.33892831015862046,0.4346511863227015
0.6900000000000001,-0.7440363155810924,-0.33454607569632827,-0.33452832190585813,0.4453356697998373
0.7000000000000001,-0.7473593317355621,-0.3300394585187945,-0.3300218215837536,0.45595271126438464
0.71,-0.7506367520127675,-0.3254270214710406,-0.3254095100628518,0.4664970425039855
