t,x,y,u,v,dx,dy,du,dv
0.0,3.765543673201236,-2.5873909296877926,-2.561517601826048,4.715654668771489,-50.95472407221986,52.54361640706699,4.684720830884714,-6.05510072833555
0.01,3.2559964324790376,-2.0619547656171227,-2.514670393517201,4.655103661488133,-41.321953553716284,44.102173693606474,4.656315650429299,-5.69056904315226
0.02,2.9391046021269105,-1.7053474558156632,-2.468391288817462,4.601843287908443,-26.829114843557033,31.300682117833578,4.6029017062390265,-5.008095174969185
0.03,2.719414135607897,-1.435941123260451,-2.4226123593924203,4.5549417579887495,-19.14644548875588,24.3429138898961,4.555890877157243,-4.405185008377721
0.04,2.556175692351793,-1.2184891780177411,-2.377273471274317,4.513739587740889,-14.534636594668493,20.050520539288673,4.51460345111141,-3.8609086426645955
0.05,2.428721403714527,-1.0349307124746776,-2.332320290370192,4.4777235851354575,-11.542762170596887,17.17826434773998,4.478517452113251,-3.3633344748517313
0.06,2.325320448939855,-0.8749238910629415,-2.287703122232052,4.446472898243854,-9.498031529439176,15.14323320230984,4.447207485959748,-2.904612585984223
0.07,2.2387607731257435,-0.7320660484284808,-2.243376140650997,4.419631333415773,-8.049301664819296,13.638296017002954,4.420314696967997,-2.479084436776935
0.08,2.164334415643469,-0.6021579707228825,-2.199296828292692,4.396891209508316,-6.99699795862152,12.487212018385115,4.397529690045121,-2.082416942016563
0.09,2.098820813953313,-0.48232180806077846,-2.1554255468500947,4.377982994575442,-6.220094008077126,11.58206042935296,4.378581747133681,-1.7111530259456664
0.1,2.0399325354819267,-0.37051676213582324,-2.1117251933500185,4.362668148989402,-5.641334155555433,10.853269912112776,4.363231460577666,-1.3624549636628736
0.11,1.9859941308422044,-0.26525640981852294,-2.0681609176385414,4.350733895302184,-5.209293941228799,10.254072657986125,4.351265389376646,-1.0339462436646851
0.12,1.9357466566573507,-0.16543530897610073,-2.0246998855624856,4.341989224116109,-4.888518949816301,9.751912926024053,4.342491999212417,-0.7236079323532874
0.13,1.8882237518458784,-0.07021815129804188,-1.981311077654293,4.336261736655119,-4.6538152024353625,9.323446834502754,4.336738464601086,-0.42970723590269877
0.14,1.8426703526086434,0.021033627713954346,-1.9379651162704639,4.333395079398055,-4.486796934357462,8.951504242304427,4.333848077456015,-0.1507461713501801
0.15,1.7984878131587292,0.10881193354804666,-1.8946341161051727,4.333246813228115,-4.37372127310226,8.623174470719464,4.333678098685112,0.11457658801830028
0.16,1.7551959271465982,0.19349711712834364,-1.8512915542967616,4.335686611158421,-4.3040867427714735,8.328562137466646,4.336097943649375,0.3673948719348452
0.17,1.7124060783032997,0.2753831762973796,-1.8079121572321852,4.340594710666812,-4.269701217423926,8.0599566428991,4.340987625641268,0.6086978060804604
0.18,1.6698019027981197,0.35469624998632565,-1.7644718017839363,4.34786056728003,-4.264047350181232,7.811264812344345,4.348236402891603,0.8393479568769902
0.19,1.627125131299675,0.4316084725442665,-1.7209474291743532,4.357381669804352,-4.281841681786702,7.577615430391271,4.357741588794117,1.0600959898489748
0.2,1.5841650691623856,0.5062485585941511,-1.677316970008054,4.369062487077009,-4.3187229509105585,7.355078685295085,4.369407494765231,1.2715926512294473
0.21,1.540750672281464,0.5787100462501682,-1.6335592792790485,4.382813522828941,-4.371028511139918,7.140464003927415,4.383144482025814,1.4743986526910113
0.22,1.4967444989395873,0.6490578386726994,-1.5896540803675376,4.39855046013083,-4.4356320486300005,6.931172310513922,4.398868103568809,1.6689928847771096
0.23,1.4520380313088639,0.7173334924604466,-1.5455819172076724,4.416193380524483,-4.509824740457679,6.72508663550091,4.416498321270357,1.8557792783119975
0.24,1.4065480041304337,0.7835595713827176,-1.5013241139421305,4.43566604569707,-4.591227716513258,6.520490076380092,4.4359587858981415,2.035092558154794
