t,x,y,u,v,dx,dy,du,dv
0.0,-0.4981499561772491,-3.752342360145974,-3.7919906638365264,-0.5919080677202304,-3.7516155905014448,0.17634515402606965,-0.48933246973708044,20.291645829996995
0.01,-0.5356661120822636,-3.7505789086057133,-3.796883988533897,-0.38899160942026045,-3.7502642085027014,0.27075167235472986,-0.39117033615039265,19.63804214167623
0.02,-0.5731552403473031,-3.7469273266988794,-3.7998140705595342,-0.19914722488670575,-3.74660330541986,0.4623604830725103,-0.20121317851544696,18.364650565547024
0.03,-0.6105981781906608,-3.741331698944263,-3.800908252104206,-0.021698598109319976,-3.740998765683473,0.6594380761495877,-0.023651932910029316,17.15884727584762
0.04,-0.6479752156609726,-3.7337385651758876,-3.800287109217735,0.14402972063024672,-3.733397187712567,0.8617213493155251,0.142187531577731,16.020149698594565
0.05,-0.6852661219449121,-3.7240972719579526,-3.7980645014726515,0.29870439586257136,-3.7237479769254898,1.0689119782346213,0.296970826793963,14.947363196647114
0.06,-0.7224501751994824,-3.712360325611195,-3.7943476926818556,0.442976984563189,-3.7120036982731697,1.2806764034563267,0.441348692296506,13.93873148727353
0.07,-0.7595061959103755,-3.698483743888826,-3.7892375276267214,0.577479025608042,-3.698120427388801,1.496646123327272,0.5759520545282726,12.992068738790163
0.08,-0.7964125837472584,-3.68242740314465,-3.78282865159129,0.7028183593389923,-3.68205809720184,1.7164183108659303,0.7013883174510793,12.104873913197105
0.09,-0.8331473578544123,-3.6641553776715075,-3.7752097612777,0.8195765038719841,-3.6637808367012523,1.939556769186579,0.8182387119213042,11.274428366725719
0.1,-0.8696882004812835,-3.643636267760918,-3.766463877352864,0.9283069266735067,-3.643257298406699,2.165593236088603,0.9270565427245359,10.497878003760814
0.11,-0.9060125038225463,-3.6208435129497354,-3.756668630423209,1.0295340639472004,-3.620460971018069,2.394029043941548,1.0283661858289772,9.77230143717387
0.12,-0.9420974199016449,-3.5957556868820872,-3.7458965536362845,1.123752955416984,-3.5953704736849446,2.6243371360387124,1.1226627036515113,9.094765663049243
0.13,-0.9779199132962452,-3.568356770228961,-3.734215376350179,1.2114293772081852,-3.567969828345657,2.8559644352792235,1.2104119609213315,8.462370747802517
0.14,-1.013456816468558,-3.5386363981765028,-3.721688314417858,1.2930003703730344,-3.5382487066532295,3.088334555419503,1.2920511383793576,7.8722849639686565
0.15,-1.0486848874293098,-3.506590079120571,-3.7083743535825917,1.3688750764875584,-3.506202648140355,3.3208508393302916,1.3679895557833,7.3217717126998645
0.16,-1.0835808694313651,-3.472219381389897,-3.694328523302192,1.4394358046270317,-3.471833246453082,3.5528997028557274,1.4386097282191423,6.808209460897696
0.17,-1.1181215523583714,-3.4355320850634565,-3.679602159018209,1.5050392657055123,-3.4351483007295514,3.783854257043018,1.5042685915317433,6.329105797148316
0.18,-1.1522838354459561,-3.3965422962490366,-3.664243151471557,1.566017920569998,-3.396161929498309,4.013078175991414,1.5652988430277404,5.88210658799434
0.19,-1.1860447909483376,-3.3552705215436283,-3.648296182157654,1.622681397465399,-3.354894644825712,4.239929772314466,1.6220103528498342,5.465001095939625
0.2,-1.2193817283424704,-3.3117437008027473,-3.6318029444145603,1.6753179424887905,-3.3113733848482263,4.463766237422329,1.6746916095548015,5.075723806830745
0.21,-1.2522722586453021,-3.2659951967951817,-3.614802349966558,1.724195873602014,-3.2656315032709715,4.6839479997984546,1.7236111702259693,4.712353612269104
0.22,-1.2846943584078898,-3.218064740806778,-3.597330721010041,1.7695650147341726,-3.217708714901446,4.899843151044836,1.7690190915023996,4.373110898384069
0.23,-1.316626432943331,-3.167998333774285,-3.57942196813651,1.8116580915696954,-3.1676509968031286,5.11083188695296,1.811148323017897,4.05635300883439
0.24,-1.3480473783439524,-3.115848103067719,-3.561107754549683,1.8506920749108604,-3.1155104451888294,5.3163109092935645,1.8502160490260655,3.760568476950521
0.25,-1.3789366418471076,-3.0616721155884137,-3.5424176471559887,1.8868694611087058,-3.0613450887215565,5.515697733526759,1.8864249675761835,3.4843703588491204
0.26,-1.4092742801183835,-3.005534148397184,-3.5233792551981593,1.9203794820878428,-3.0052186594350494,5.708434848042376,1.9199644997099474,3.226488943499972
0.27,-1.4390410150358086,-2.947503418627566,-3.5040183571617898,1.9513992399787052,-2.947200323025645,5.893993672157283,1.9510119236229029,2.9857640693334297
0.28,-1.4682182865788964,-2.887654274954038,-3.4843590167257013,1.9800947634745114,-2.887364370780132,6.071878262717179,1.9797334308207626,2.7611372369975795
0.29,-1.4967883024514113,-2.8260658533732226,-3.4644236885453745,2.006621984718657,-2.825789875891016,6.241628722701664,2.006285103050054,2.5516436733727277
