  index    complexity    length          TE      TE_inf  expr_x                                                                                                 expr_y                                                                              index_column  method    data_version    system      snr    init
    306            55       260  0.00161466  0.00161466  (x1 + 9.27)*(-x2/(-x1 + 0.896*x1/(sin(x2*(-1.863*x1/(6.437 - x2) - 0.047)/x1) - 1.03)) - 0.428)        x2/(-0.498*x1 - 1.356/x1) + 10.005                                                           306  dso       all             bacres      inf       3
    305            52       257  0.00181467  0.00181467  (x1 + 9.27)*(-x2/(-x1 + 0.896*x1/(sin(x2*(-1.863*x1/(6.437 - x2) - 0.047)/x1) - 1.03)) - 0.428)        4.113*x2/(-2*x1 - 1.006) + 10.015                                                            305  dso       all             bacres      inf       3
    304            50       253  0.0018147   0.0018147   (x1 + 9.27)*(-x2/(-x1 + 0.896*x1/(sin(x2*(-1.863*x1/(6.437 - x2) - 0.047)/x1) - 1.03)) - 0.428)        -2.057*x2/(x1 + 0.503) + 10.015                                                              304  dso       all             bacres      inf       3
    327            49       270  0.00239496  0.00239496  2*x1*(-0.533 - 32.873/(-x1 + 2.539*x1/(sin(x2*(0.191*x1/(8.804 - x2) + 0.183)/x1) - 1.255) - 10.374))  -2.057*x2/(x1 + 0.503) + 10.015                                                              327  dso       all             bacres      inf       3
    303            48       231  0.00501218  0.00501218  (x1 + 9.27)*(-x2/(-x1 + 0.896*x1/(sin(x2*(-1.863*x1/(6.437 - x2) - 0.047)/x1) - 1.03)) - 0.428)        9.992 - 1.974*x2/x1                                                                          303  dso       all             bacres      inf       3
    326            47       248  0.00533748  0.00533748  2*x1*(-0.533 - 32.873/(-x1 + 2.539*x1/(sin(x2*(0.191*x1/(8.804 - x2) + 0.183)/x1) - 1.255) - 10.374))  9.992 - 1.974*x2/x1                                                                          326  dso       all             bacres      inf       3
    173            43       269  0.00792786  0.00792786  5.972 - 6.789*sin(2.472 + 51.799/(-x2 - 6.134))                                                        9.913 - (1.982*x2 - 1.633 - 0.754/(x1 - 0.114*x2 - 4.258) + 6.856/x1)/x1                     173  dso       all             bacres      inf       3
    171            40       265  0.00804807  0.00804807  5.972 - 6.789*sin(2.472 + 51.799/(-x2 - 6.134))                                                        24.153*x2/(-11.946*x1 - 3.53 + (cos(x2) - 48.645)/(79.121*x1 - 448.602)) + 9.999             171  dso       all             bacres      inf       3
    169            33       199  0.00883339  0.00883339  5.972 - 6.789*sin(2.472 + 51.799/(-x2 - 6.134))                                                        10.035 - (1.97*x2 + 2.258 - 19.799/x1)/x1                                                    169  dso       all             bacres      inf       3
    168            31       180  0.0110396   0.0110396   5.972 - 6.789*sin(2.472 + 51.799/(-x2 - 6.134))                                                        x2/(-0.498*x1 - 1.356/x1) + 10.005                                                           168  dso       all             bacres      inf       3
    167            28       177  0.0117168   0.0117168   5.972 - 6.789*sin(2.472 + 51.799/(-x2 - 6.134))                                                        4.113*x2/(-2*x1 - 1.006) + 10.015                                                            167  dso       all             bacres      inf       3
    166            26       173  0.011717    0.011717    5.972 - 6.789*sin(2.472 + 51.799/(-x2 - 6.134))                                                        -2.057*x2/(x1 + 0.503) + 10.015                                                              166  dso       all             bacres      inf       3
    165            24       151  0.0193141   0.0193141   5.972 - 6.789*sin(2.472 + 51.799/(-x2 - 6.134))                                                        9.992 - 1.974*x2/x1                                                                          165  dso       all             bacres      inf       3
    119            22       133  0.184897    0.184897    -1.786 - 35.137/(0.583*x1 - x2 + 3.529)                                                                9.992 - 1.974*x2/x1                                                                          119  dso       all             bacres      inf       3
     95            18       110  0.216617    0.216617    -3.06 - 97.049/(3.262 - x2)                                                                            8.246 - 0.002*x2**2                                                                           95  dso       all             bacres      inf       3
     94            16       107  0.323856    0.323856    -3.06 - 97.049/(3.262 - x2)                                                                            10.375 - 0.154*x2                                                                             94  dso       all             bacres      inf       3
     72            14        87  0.328458    0.328458    -3.931 + 141.014/x2                                                                                    8.246 - 0.002*x2**2                                                                           72  dso       all             bacres      inf       3
     71            12        84  0.354829    0.354829    -3.931 + 141.014/x2                                                                                    10.375 - 0.154*x2                                                                             71  dso       all             bacres      inf       3
      2            10        66  0.887754    0.887754    14.479 - x1                                                                                            10.375 - 0.154*x2                                                                              2  dso       all             bacres      inf       3
      0             8        45  1.44614     1.44614     14.479 - x1                                                                                            0.321*x1                                                                                       0  dso       all             bacres      inf       3
