	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
20	333	69	403	0.0012949861690668696	0.0012949861690668696	-x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199	2.137*x2/(-2*x2 + sin((0.425*x2 + 1.823)/(x1 - 3.254)) + 12.653) + 10.512 - (2.137*x2 - 19.336)/(x1 - 0.252)	333	dso	all	bacres	inf	2
19	332	62	406	0.0013492581809335501	0.0013492581809335501	-x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199	-2.033*x2*(x2 - 9.771)/((x1 + 0.36)*(x2 - 9.837) + 0.46) + 0.391*sin(x2) - 0.391*cos(x2 - 1.571) + 10.014	332	dso	all	bacres	inf	2
18	331	59	347	0.0013732896655037055	0.0013732896655037055	-x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199	x2*(-0.382 + 0.013/(0.963*x1 - 5.188))*(1.006 + (5.123 - x1)/x1) + 10.0	331	dso	all	bacres	inf	2
17	330	52	310	0.0013864137368697579	0.0013864137368697579	-x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199	-2.062*x2*(x2 - 5.411)/(x2 + (x1 - 0.504)*(x2 - 6.433)) + 10.133	330	dso	all	bacres	inf	2
16	328	48	292	0.0014486567599297324	0.0014486567599297324	-x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199	x2*(0.012 - 7.124/(3.012*x1 + 4.229)) + 9.985	328	dso	all	bacres	inf	2
14	326	44	251	0.001748441518547801	0.001748441518547801	-x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199	9.862 + (1.81 - 1.976*x2)/x1	326	dso	all	bacres	inf	2
15	327	43	253	0.0018850670163015316	0.0018850670163015316	-x1*(sin((0.179*x1*(x2/(x1 + 0.009*x2 - 4.408) - 6.809) + 0.179*x1 - 7.14)/x1) + 2.852) + x1 + 16.199	-2.057*x2/(x1 + 0.505) + 10.015	327	dso	all	bacres	inf	2
12	246	40	236	0.003272909080532468	0.003272909080532468	21.255*x2*(cos(0.971/x1) - 1.006 - 17.541/(x2*(2.195 + (x2 + 305.35)/x1))) + 21.416	9.862 + (1.81 - 1.976*x2)/x1	246	dso	all	bacres	inf	2
13	247	39	238	0.003472015459458419	0.003472015459458419	21.255*x2*(cos(0.971/x1) - 1.006 - 17.541/(x2*(2.195 + (x2 + 305.35)/x1))) + 21.416	-2.057*x2/(x1 + 0.505) + 10.015	247	dso	all	bacres	inf	2
10	206	34	208	0.004395698157568295	0.004395698157568295	3.721*x2*(cos(2.611/x1) - 1.021 + 1450.412/(x2*(x1 + 60.178))) - 66.785	9.862 + (1.81 - 1.976*x2)/x1	206	dso	all	bacres	inf	2
11	207	33	210	0.004960283543994188	0.004960283543994188	3.721*x2*(cos(2.611/x1) - 1.021 + 1450.412/(x2*(x1 + 60.178))) - 66.785	-2.057*x2/(x1 + 0.505) + 10.015	207	dso	all	bacres	inf	2
9	187	29	183	0.02856045678262556	0.02856045678262556	x1*(8.28*sin(19.277/x2) - 4.059)/(x2 - 8.027) - 0.519	-2.057*x2/(x1 + 0.505) + 10.015	187	dso	all	bacres	inf	2
8	167	24	159	0.04402413589140488	0.04402413589140488	-0.22*x1 - 0.75 + (0.22*x2 + 130.646)/x2	-2.057*x2/(x1 + 0.505) + 10.015	167	dso	all	bacres	inf	2
7	165	22	155	0.05051966809197754	0.05051966809197754	-0.22*x1 - 0.75 + (0.22*x2 + 130.646)/x2	0.302*x1 - 0.157*x2 + 6.297	165	dso	all	bacres	inf	2
6	105	20	118	0.07025048189957955	0.07025048189957955	-0.192*x1 - (x2 - 132.788)/x2	0.302*x1 - 0.157*x2 + 6.297	105	dso	all	bacres	inf	2
5	103	17	96	0.20059433665424115	0.20059433665424115	-0.192*x1 - (x2 - 132.788)/x2	10.373 - 0.154*x2	103	dso	all	bacres	inf	2
4	65	16	113	0.25879023533066153	0.25879023533066153	-x1 - 0.154*x2 + 20.346	0.302*x1 - 0.157*x2 + 6.297	65	dso	all	bacres	inf	2
3	62	13	90	0.2746028516747432	0.2746028516747432	-x1 - 0.154*x2 + 20.346	10.373 - 0.154*x2	62	dso	all	bacres	inf	2
2	60	11	69	0.736711154669152	0.736711154669152	-x1 - 0.154*x2 + 20.346	0.321*x1	60	dso	all	bacres	inf	2
1	2	10	65	0.8883045539184372	0.8883045539184372	14.466 - x1	10.373 - 0.154*x2	2	dso	all	bacres	inf	2
0	0	8	44	1.4462623910934318	1.4462623910934318	14.466 - x1	0.321*x1	0	dso	all	bacres	inf	2
