	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
17	395	53	326	3.5987139190844756e-05	3.5987139190844756e-05	-1.001*x1 - 2.0*(x2 + 0.153)/(x1 + 0.002 + 2.048/x1) + 20.041	-2.0*x2/(x1 + 0.005 + 0.991/(x1*x2 + x1) + 1.966/x1) + 10.001 - 0.029/x1	395	dso	allonger	bacres	inf	0
16	394	47	315	3.6531267535063554e-05	3.6531267535063554e-05	-1.001*x1 - 2.0*(x2 + 0.153)/(x1 + 0.002 + 2.048/x1) + 20.041	(-2.0*x2 - 0.471)/(x1 + 0.001 + 1.987/x1) + 10.0 + 0.459/x1	394	dso	allonger	bacres	inf	0
15	391	43	267	3.780604590067223e-05	3.780604590067223e-05	-1.001*x1 - 2.0*(x2 + 0.153)/(x1 + 0.002 + 2.048/x1) + 20.041	-2.0*x2/(x1 + 1.999/x1) + 10.0 + 0.002/x1	391	dso	allonger	bacres	inf	0
14	387	38	242	3.809332232149103e-05	3.809332232149103e-05	-1.001*x1 - 2.0*(x2 + 0.153)/(x1 + 0.002 + 2.048/x1) + 20.041	-2.0*x2/(x1 + 2.0/x1) + 10.0	387	dso	allonger	bacres	inf	0
13	238	36	191	4.137077240482606e-05	4.137077240482606e-05	-1.0*x1 - 2.0*x2/(x1 + 2.004/x1) + 19.998	-2.0*x2/(x1 + 2.0/x1) + 10.0 + 0.002/x2	238	dso	allonger	bacres	inf	0
12	235	31	165	4.2472616207278857e-05	4.2472616207278857e-05	-1.0*x1 - 2.0*x2/(x1 + 2.004/x1) + 19.998	-2.0*x2/(x1 + 2.0/x1) + 10.0	235	dso	allonger	bacres	inf	0
11	214	27	188	0.0010387652181562223	0.0010387652181562223	-1.0*x1 + x2*(0.003*x1 - 2.102)/(x1 + 0.567) + 20.003	-2.037*x2/(x1 + 0.385) + 10.008	214	dso	allonger	bacres	inf	0
10	195	26	184	0.0013895496268579413	0.0013895496268579413	-0.992*x1 + (1.172 - 2.033*x2)/(x1 + 0.369) + 19.804	-2.037*x2/(x1 + 0.385) + 10.008	195	dso	allonger	bacres	inf	0
9	176	23	160	0.0017501057244653198	0.0017501057244653198	-0.997*x1 - 2.041*x2/(x1 + 0.42) + 19.964	-2.037*x2/(x1 + 0.385) + 10.008	176	dso	allonger	bacres	inf	0
8	155	21	135	0.022968911522387312	0.022968911522387312	-0.997*x1 - 2.041*x2/(x1 + 0.42) + 19.964	9.906 - 1.942*x2/x1	155	dso	allonger	bacres	inf	0
7	117	18	111	0.23832176107646816	0.23832176107646816	-0.233*x1 - 0.533 + 138.381/x2	9.906 - 1.942*x2/x1	117	dso	allonger	bacres	inf	0
6	116	17	116	0.5590868623244091	0.5590868623244091	-0.233*x1 - 0.533 + 138.381/x2	x2*(0.513 - 0.01*x2)	116	dso	allonger	bacres	inf	0
5	115	15	110	0.5981738087379287	0.5981738087379287	-0.233*x1 - 0.533 + 138.381/x2	12.711 - 0.238*x2	115	dso	allonger	bacres	inf	0
4	114	13	90	1.1545985014561924	1.1545985014561924	-0.233*x1 - 0.533 + 138.381/x2	x1 - 9.928	114	dso	allonger	bacres	inf	0
3	58	12	84	1.6662213370085386	1.6662213370085386	-2.798 + 118.385/x2	12.711 - 0.238*x2	58	dso	allonger	bacres	inf	0
2	2	10	72	2.0200370890437345	2.0200370890437345	-0.004*x2	x2*(0.513 - 0.01*x2)	2	dso	allonger	bacres	inf	0
1	1	8	66	2.109103542059456	2.109103542059456	-0.004*x2	12.711 - 0.238*x2	1	dso	allonger	bacres	inf	0
0	0	6	46	5.939932422337897	5.939932422337897	-0.004*x2	x1 - 9.928	0	dso	allonger	bacres	inf	0
