  complexity    length          TE      TE_inf  expr_x                                                       expr_y                           index_column  method    exp_type    data_version    system      snr    init
           6         8  4.53847     4.53847     -0.006*y                                                     0.307*x                                     0  proged    numdif      all             bacres      inf       0
           8        13  3.08411     3.08411     5.467 - 0.131*y                                              0.307*x                                     1  proged    numdif      all             bacres      inf       0
          10        18  1.05992     1.05992     5.467 - 0.131*y                                              10.963 - 0.17*y                             2  proged    numdif      all             bacres      inf       0
          13        25  0.145434    0.145434    -0.634*x - 0.155*y + 15.276                                  10.963 - 0.17*y                             3  proged    numdif      all             bacres      inf       0
          15        28  0.115713    0.115713    -0.634*x - 0.155*y + 15.276                                  7.502                                       4  proged    numdif      all             bacres      inf       0
           7        10  4.39815     4.39815     0                                                            0.307*x                                     5  proged    numdif      all             bacres      inf       0
           9        15  1.42242     1.42242     -0.012*x*y + 6.931                                           0.307*x                                     6  proged    numdif      all             bacres      inf       0
          11        20  0.327043    0.327043    -0.012*x*y + 6.931                                           10.963 - 0.17*y                             7  proged    numdif      all             bacres      inf       0
          18        30  0.0346794   0.0346794   -0.999*x + 19.941 - 1.965*y/x                                7.502                                       8  proged    numdif      all             bacres      inf       0
          22        36  0.00864092  0.00864092  -0.999*x + 19.941 - 1.965*y/x                                -0.004*y + 10.007 - 1.926*y/x               9  proged    numdif      all             bacres      inf       0
          19        29  0.00892663  0.00892663  -0.999*x + 19.941 - 1.965*y/x                                9.973 - 1.968*y/x                          10  proged    numdif      all             bacres      inf       0
          32        58  0.00343706  0.00343706  0.003*x*y**2/(-2.444*x - 0.086*y + 20.0) - 1.007*x + 18.289  -0.004*y + 10.007 - 1.926*y/x              11  proged    numdif      all             bacres      inf       0
          29        51  0.00505244  0.00505244  0.003*x*y**2/(-2.444*x - 0.086*y + 20.0) - 1.007*x + 18.289  9.973 - 1.968*y/x                          12  proged    numdif      all             bacres      inf       0
          17        29  0.0782563   0.0782563   -7.285 + 6.392/sin(0.033*y)                                  7.502                                      13  proged    numdif      all             bacres      inf       0
          26        45  0.00510358  0.00510358  -0.975*x + 19.652 - 1.905*y/x                                -0.004*y + 10.007 - 1.926*y/x              14  proged    numdif      all             bacres      inf       0
          23        38  0.00720892  0.00720892  -0.975*x + 19.652 - 1.905*y/x                                9.973 - 1.968*y/x                          15  proged    numdif      all             bacres      inf       0
