  complexity    length          TE      TE_inf  expr_x                                                        expr_y                                                                  index_column  method    exp_type    data_version    system      snr    init
           6         8  5.05881     5.05881     0.026*x                                                       0.321*x                                                                            0  proged    numdif      all             bacres      inf       2
           8        13  3.36779     3.36779     6.851 - 0.163*y                                               0.321*x                                                                            1  proged    numdif      all             bacres      inf       2
          10        18  1.16198     1.16198     6.851 - 0.163*y                                               10.373 - 0.154*y                                                                   2  proged    numdif      all             bacres      inf       2
          13        25  0.131903    0.131903    -0.689*x - 0.157*y + 16.149                                   10.373 - 0.154*y                                                                   3  proged    numdif      all             bacres      inf       2
          15        28  0.0925748   0.0925748   -0.689*x - 0.157*y + 16.149                                   7.474                                                                              4  proged    numdif      all             bacres      inf       2
           9        15  1.49791     1.49791     -0.014*x*y + 8.045                                            0.321*x                                                                            5  proged    numdif      all             bacres      inf       2
          11        20  0.398626    0.398626    -0.014*x*y + 8.045                                            10.373 - 0.154*y                                                                   6  proged    numdif      all             bacres      inf       2
          44        83  0.00301152  0.00301152  -0.924*x - 0.005*y**2 + 17.532 + 7.017/(-0.443*x*y + 19.491)  11.429*y/(-5.556*x - 2.805) + 10.015                                               7  proged    numdif      all             bacres      inf       2
          43        80  0.003173    0.003173    -0.924*x - 0.005*y**2 + 17.532 + 7.017/(-0.443*x*y + 19.491)  -0.013*x + 10.186 - 1.98*y/x                                                       8  proged    numdif      all             bacres      inf       2
          54       106  0.00245318  0.00245318  -0.924*x - 0.005*y**2 + 17.532 + 7.017/(-0.443*x*y + 19.491)  -0.002*x*y + 0.005*x + 0.084*y - 18.064*y/(5.357*x + 15.883) + 9.921               9  proged    numdif      all             bacres      inf       2
          47        90  0.00252082  0.00252082  -0.924*x - 0.005*y**2 + 17.532 + 7.017/(-0.443*x*y + 19.491)  0.012*y - 19.912*y/(8.419*x + 11.813) + 9.985                                     10  proged    numdif      all             bacres      inf       2
          53       102  0.00250141  0.00250141  -0.924*x - 0.005*y**2 + 17.532 + 7.017/(-0.443*x*y + 19.491)  -3.732*y**2/(1.816*x*y - 4.128*x + 0.921*y + 19.991) + 10.219                     11  proged    numdif      all             bacres      inf       2
          17        31  0.0465314   0.0465314   16.935 - 0.963*x                                              7.474                                                                             12  proged    numdif      all             bacres      inf       2
          18        30  0.022225    0.022225    -1.001*x + 20.0 - 1.972*y/x                                   7.474                                                                             13  proged    numdif      all             bacres      inf       2
          19        29  0.00750353  0.00750353  -1.001*x + 20.0 - 1.972*y/x                                   9.992 - 1.974*y/x                                                                 14  proged    numdif      all             bacres      inf       2
          22        36  0.0074506   0.0074506   -1.001*x + 20.0 - 1.972*y/x                                   -0.013*x + 10.186 - 1.98*y/x                                                      15  proged    numdif      all             bacres      inf       2
          23        38  0.00633823  0.00633823  -0.99*x + 19.881 - 1.936*y/x                                  9.992 - 1.974*y/x                                                                 16  proged    numdif      all             bacres      inf       2
          26        45  0.00441595  0.00441595  -0.99*x + 19.881 - 1.936*y/x                                  -0.013*x + 10.186 - 1.98*y/x                                                      17  proged    numdif      all             bacres      inf       2
          37        71  0.00401303  0.00401303  -0.99*x + 19.881 - 1.936*y/x                                  -0.002*x*y + 0.005*x + 0.084*y - 18.064*y/(5.357*x + 15.883) + 9.921              18  proged    numdif      all             bacres      inf       2
          30        55  0.00423201  0.00423201  -0.99*x + 19.881 - 1.936*y/x                                  0.012*y - 19.912*y/(8.419*x + 11.813) + 9.985                                     19  proged    numdif      all             bacres      inf       2
          33        60  0.00419243  0.00419243  -0.99*x + 19.881 - 1.936*y/x                                  -9.645*x*y/(4.64*x**2 + 19.327) + 0.004*y + 9.987                                 20  proged    numdif      all             bacres      inf       2
          36        67  0.00413843  0.00413843  -0.99*x + 19.881 - 1.936*y/x                                  -3.732*y**2/(1.816*x*y - 4.128*x + 0.921*y + 19.991) + 10.219                     21  proged    numdif      all             bacres      inf       2
