	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	6	8	5.597205072495285	5.597205072495285	0.032*x	0.306*x	0	proged	numdif	all	bacres	inf	1
1	8	13	3.159777384968489	3.159777384968489	8.217 - 0.189*y	0.306*x	1	proged	numdif	all	bacres	inf	1
2	10	18	1.1100408832800388	1.1100408832800388	8.217 - 0.189*y	9.483 - 0.137*y	2	proged	numdif	all	bacres	inf	1
3	13	25	0.17323703152077985	0.17323703152077985	-0.616*x - 0.157*y + 15.144	9.483 - 0.137*y	3	proged	numdif	all	bacres	inf	1
4	15	28	0.07591346793884945	0.07591346793884945	-0.616*x - 0.157*y + 15.144	6.509	4	proged	numdif	all	bacres	inf	1
5	14	28	0.14478317086966516	0.14478317086966516	-0.616*x - 0.157*y + 15.144	6.652*sin(0.056*y)	5	proged	numdif	all	bacres	inf	1
6	16	27	0.06831343977227652	0.06831343977227652	-0.616*x - 0.157*y + 15.144	9.972 - 1.96*y/x	6	proged	numdif	all	bacres	inf	1
7	9	15	1.2632014376622116	1.2632014376622116	-0.015*x*y + 8.851	0.306*x	7	proged	numdif	all	bacres	inf	1
8	11	20	0.34143572835866676	0.34143572835866676	-0.015*x*y + 8.851	9.483 - 0.137*y	8	proged	numdif	all	bacres	inf	1
9	22	39	0.02303656014050421	0.02303656014050421	-0.042*x**2 + 0.014*x*y - 0.336*y + 14.373	9.972 - 1.96*y/x	9	proged	numdif	all	bacres	inf	1
10	33	61	0.0026440057502467537	0.0026440057502467537	-19.92*x*y/(9.959*x**2 + 19.994) - 0.999*x + 19.985	0.038*x - 18.251*y/(8.263*x + 12.798) + 9.485	10	proged	numdif	all	bacres	inf	1
11	38	74	0.0016666852614489187	0.0016666852614489187	-19.92*x*y/(9.959*x**2 + 19.994) - 0.999*x + 19.985	0.959*x - 11.72 - 19.953/(-0.182*y + 2.727*sin(0.097*y) - 1.843)	11	proged	numdif	all	bacres	inf	1
12	35	64	0.0023383316168623853	0.0023383316168623853	-19.92*x*y/(9.959*x**2 + 19.994) - 0.999*x + 19.985	-0.063*y - 4.938*y/(0.274*x**2 + 9.125) + 10.034	12	proged	numdif	all	bacres	inf	1
13	18	30	0.06008195759356511	0.06008195759356511	-1.007*x + 20.0 - 1.942*y/x	6.509	13	proged	numdif	all	bacres	inf	1
14	19	29	0.02755357386959778	0.02755357386959778	-1.007*x + 20.0 - 1.942*y/x	9.972 - 1.96*y/x	14	proged	numdif	all	bacres	inf	1
15	26	46	0.008799247329459834	0.008799247329459834	-0.984*x - 2.198*y/(1.041*x + 0.908) + 19.79	-0.018*y + 10.086 - 1.766*y/x	15	proged	numdif	all	bacres	inf	1
16	27	49	0.006265365754128768	0.006265365754128768	-0.984*x - 2.198*y/(1.041*x + 0.908) + 19.79	20.0*y/(-9.447*x - 8.376) + 10.019	16	proged	numdif	all	bacres	inf	1
17	23	39	0.014087993049790455	0.014087993049790455	-0.984*x - 2.198*y/(1.041*x + 0.908) + 19.79	9.972 - 1.96*y/x	17	proged	numdif	all	bacres	inf	1
18	30	56	0.004456233802931158	0.004456233802931158	-0.984*x - 2.198*y/(1.041*x + 0.908) + 19.79	0.038*x - 18.251*y/(8.263*x + 12.798) + 9.485	18	proged	numdif	all	bacres	inf	1
19	32	59	0.0032392130724909086	0.0032392130724909086	-0.984*x - 2.198*y/(1.041*x + 0.908) + 19.79	-0.063*y - 4.938*y/(0.274*x**2 + 9.125) + 10.034	19	proged	numdif	all	bacres	inf	1
