  complexity    length           TE       TE_inf  expr_x                                            expr_y                                         index_column  method    exp_type    data_version    system      snr    init
           6         8  3.35392      3.35392      -0.004*y                                          0.194*x                                                   0  proged    numdif      allonger        bacres      inf       0
           8        13  2.1091       2.1091       -0.004*y                                          12.711 - 0.238*y                                          1  proged    numdif      allonger        bacres      inf       0
          15        27  0.317399     0.317399     -0.393*x - 0.154*y + 11.741                       0.684*x - 0.136*y                                         2  proged    numdif      allonger        bacres      inf       0
           7        10  3.31474      3.31474      0                                                 0.194*x                                                   3  proged    numdif      allonger        bacres      inf       0
           9        15  2.03492      2.03492      0                                                 12.711 - 0.238*y                                          4  proged    numdif      allonger        bacres      inf       0
          10        18  2.0015       2.0015       0                                                 9.445*cos(0.03*y)                                         5  proged    numdif      allonger        bacres      inf       0
          16        30  0.223526     0.223526     3.962*cos(0.005*x*y) + 3.13                       0.684*x - 0.136*y                                         6  proged    numdif      allonger        bacres      inf       0
          17        30  0.206262     0.206262     3.962*cos(0.005*x*y) + 3.13                       9.906 - 1.942*y/x                                         7  proged    numdif      allonger        bacres      inf       0
          11        20  0.667824     0.667824     -0.011*x*y + 5.557                                12.711 - 0.238*y                                          8  proged    numdif      allonger        bacres      inf       0
          13        22  0.486379     0.486379     -0.011*x*y + 5.557                                0.684*x - 0.136*y                                         9  proged    numdif      allonger        bacres      inf       0
          14        22  0.475703     0.475703     -0.011*x*y + 5.557                                9.906 - 1.942*y/x                                        10  proged    numdif      allonger        bacres      inf       0
          12        23  0.625411     0.625411     -0.011*x*y + 5.557                                9.445*cos(0.03*y)                                        11  proged    numdif      allonger        bacres      inf       0
          18        30  0.149544     0.149544     -0.164*y + 8.428*sin(0.154*x)                     9.906 - 1.942*y/x                                        12  proged    numdif      allonger        bacres      inf       0
          30        54  0.00113592   0.00113592   19.964*x*y/(-9.982*x**2 - 20.0) - 1.0*x + 19.998  19.947*y/(-9.791*x - 3.769) + 10.008                     13  proged    numdif      allonger        bacres      inf       0
          36        66  4.22173e-05  4.22173e-05  19.964*x*y/(-9.982*x**2 - 20.0) - 1.0*x + 19.998  -19.816*x*y/(9.908*x**2 + 19.813) + 10.0                 14  proged    numdif      allonger        bacres      inf       0
          33        61  0.00012868   0.00012868   19.964*x*y/(-9.982*x**2 - 20.0) - 1.0*x + 19.998  0.003*y - 5.499*y/(2.619*x + 1.461) + 9.999              15  proged    numdif      allonger        bacres      inf       0
          22        36  0.0496806    0.0496806    -1.006*x + 20.0 - 1.948*y/x                       -0.006*y + 10.02 - 1.904*y/x                             16  proged    numdif      allonger        bacres      inf       0
          19        29  0.0519484    0.0519484    -1.006*x + 20.0 - 1.948*y/x                       9.906 - 1.942*y/x                                        17  proged    numdif      allonger        bacres      inf       0
          27        49  0.0017501    0.0017501    -0.997*x - 19.513*y/(9.559*x + 4.016) + 19.964    19.947*y/(-9.791*x - 3.769) + 10.008                     18  proged    numdif      allonger        bacres      inf       0
          26        46  0.00373425   0.00373425   -0.997*x - 19.513*y/(9.559*x + 4.016) + 19.964    -0.006*y + 10.02 - 1.904*y/x                             19  proged    numdif      allonger        bacres      inf       0
          23        39  0.0229688    0.0229688    -0.997*x - 19.513*y/(9.559*x + 4.016) + 19.964    9.906 - 1.942*y/x                                        20  proged    numdif      allonger        bacres      inf       0
