  complexity    length           TE       TE_inf  expr_x                                              expr_y                                                index_column  method    exp_type    data_version    system      snr    init
           6         8  4.32128      4.32128      0.013*x                                             0.202*x                                                          0  proged    numdif      allonger        bacres      inf       2
           8        13  2.56933      2.56933      0.013*x                                             12.07 - 0.225*y                                                  1  proged    numdif      allonger        bacres      inf       2
          15        27  0.38148      0.38148      -0.455*x - 0.171*y + 13.243                         0.695*x - 0.139*y                                                2  proged    numdif      allonger        bacres      inf       2
          16        27  0.31372      0.31372      -0.455*x - 0.171*y + 13.243                         9.918 - 1.944*y/x                                                3  proged    numdif      allonger        bacres      inf       2
          14        28  0.487097     0.487097     -0.455*x - 0.171*y + 13.243                         9.207*cos(0.03*y)                                                4  proged    numdif      allonger        bacres      inf       2
           9        15  2.15727      2.15727      -0.013*x*y + 6.734                                  0.202*x                                                          5  proged    numdif      allonger        bacres      inf       2
          11        20  0.666578     0.666578     -0.013*x*y + 6.734                                  12.07 - 0.225*y                                                  6  proged    numdif      allonger        bacres      inf       2
          13        22  0.525256     0.525256     -0.013*x*y + 6.734                                  0.695*x - 0.139*y                                                7  proged    numdif      allonger        bacres      inf       2
          12        23  0.620511     0.620511     -0.013*x*y + 6.734                                  9.207*cos(0.03*y)                                                8  proged    numdif      allonger        bacres      inf       2
          30        54  0.000990699  0.000990699  15.872*x*y/(-7.936*x**2 - 15.859) - 1.0*x + 19.999  19.799*y/(-9.713*x - 3.78) + 10.009                              9  proged    numdif      allonger        bacres      inf       2
          33        61  0.000298338  0.000298338  15.872*x*y/(-7.936*x**2 - 15.859) - 1.0*x + 19.999  0.003*y - 16.055*y/(7.63*x + 4.358) + 10.0                      10  proged    numdif      allonger        bacres      inf       2
          36        66  9.03792e-05  9.03792e-05  15.872*x*y/(-7.936*x**2 - 15.859) - 1.0*x + 19.999  -18.848*x*y/(9.422*x**2 + 18.937) + 10.0                        11  proged    numdif      allonger        bacres      inf       2
          40        75  8.16958e-05  8.16958e-05  15.872*x*y/(-7.936*x**2 - 15.859) - 1.0*x + 19.999  -19.825*x*y/(9.912*x**2 - 0.005*y + 19.995) + 10.0              12  proged    numdif      allonger        bacres      inf       2
          18        29  0.169182     0.169182     -1.006*x + 20.0 - 1.948*y/x                         0.695*x - 0.139*y                                               13  proged    numdif      allonger        bacres      inf       2
          22        36  0.0476207    0.0476207    -1.006*x + 20.0 - 1.948*y/x                         -0.006*y + 10.023 - 1.903*y/x                                   14  proged    numdif      allonger        bacres      inf       2
          19        29  0.0488257    0.0488257    -1.006*x + 20.0 - 1.948*y/x                         9.918 - 1.944*y/x                                               15  proged    numdif      allonger        bacres      inf       2
          17        30  0.286788     0.286788     9.89 - 0.182*y                                      0.695*x - 0.139*y                                               16  proged    numdif      allonger        bacres      inf       2
          27        49  0.00189397   0.00189397   -0.999*x + 17.56*y/(-8.602*x - 3.532) + 19.988      19.799*y/(-9.713*x - 3.78) + 10.009                             17  proged    numdif      allonger        bacres      inf       2
          26        46  0.00350832   0.00350832   -0.999*x + 17.56*y/(-8.602*x - 3.532) + 19.988      -0.006*y + 10.023 - 1.903*y/x                                   18  proged    numdif      allonger        bacres      inf       2
          23        39  0.0230591    0.0230591    -0.999*x + 17.56*y/(-8.602*x - 3.532) + 19.988      9.918 - 1.944*y/x                                               19  proged    numdif      allonger        bacres      inf       2
