	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
18	269	63	432	0.002619989572602395	0.002619989572602395	x2*(-x1 - (0.45*x2*(0.326*x1 + cos(x2 + 1.452)) - 0.308)*(-0.149*x1*x2 - x1 + 7.601) + 5.94)	0.135*x1*x2 - 0.627*x2 - 0.161*sin(1.978*x1) - sin(x2 - 0.211) - 0.161*sin(1.49*x1 - 1.49*x2 + 4.068) - 0.091	269	dso	all	barmag	inf	1
17	267	60	403	0.0026226882934924857	0.0026226882934924857	x2*(-x1 - (0.45*x2*(0.326*x1 + cos(x2 + 1.452)) - 0.308)*(-0.149*x1*x2 - x1 + 7.601) + 5.94)	0.324*x1 + 0.009*x2 - 0.382*sin(x1) - sin(x2 - 0.002) - 0.382*sin(1.138*x1 - 1.138*x2 + 5.62) - 1.949	267	dso	all	barmag	inf	1
16	261	53	351	0.00262442866130248	0.00262442866130248	x2*(-x1 - (0.45*x2*(0.326*x1 + cos(x2 + 1.452)) - 0.308)*(-0.149*x1*x2 - x1 + 7.601) + 5.94)	0.049*x2 - sin(x2 - 0.014) + 0.534*sin(0.964*x1 - 0.964*x2 + 3.248) - 0.09	261	dso	all	barmag	inf	1
15	260	50	336	0.0028383189170116787	0.0028383189170116787	x2*(-x1 - (0.45*x2*(0.326*x1 + cos(x2 + 1.452)) - 0.308)*(-0.149*x1*x2 - x1 + 7.601) + 5.94)	(0.715*x1 + x2 - 4.563)*(-0.418*x1 + 0.183*x2 + sin(x1 + 0.592) + 1.524)	260	dso	all	barmag	inf	1
14	210	48	367	0.0034399341113658783	0.0034399341113658783	x1*(-0.12*x1 - 0.003*x2 - 0.092*cos(1.007*x2*(x2 - 1.817) + 1.47) + 0.769)	0.033*x2 + 0.195*sin(x1 - 1.235) - sin(x2 + 0.074) - 0.703*sin(0.873*x1 - 0.873*x2 + 0.454)	210	dso	all	barmag	inf	1
13	209	46	371	0.0035426544304599642	0.0035426544304599642	x1*(-0.12*x1 - 0.003*x2 - 0.092*cos(1.007*x2*(x2 - 1.817) + 1.47) + 0.769)	-0.008*x1 + 0.064*x2 - sin(x2 - 0.001) + 0.565*sin(0.943*x1 - 0.943*x2 + 3.306) - 0.079	209	dso	all	barmag	inf	1
12	206	40	324	0.00355571181592251	0.00355571181592251	x1*(-0.12*x1 - 0.003*x2 - 0.092*cos(1.007*x2*(x2 - 1.817) + 1.47) + 0.769)	(0.715*x1 + x2 - 4.563)*(-0.418*x1 + 0.183*x2 + sin(x1 + 0.592) + 1.524)	206	dso	all	barmag	inf	1
10	152	37	254	0.006592374743857789	0.006592374743857789	x2*(-x1 + (1.247 - 0.323*x2)*(x2**2 + 4.946) + 0.251)	(0.715*x1 + x2 - 4.563)*(-0.418*x1 + 0.183*x2 + sin(x1 + 0.592) + 1.524)	152	dso	all	barmag	inf	1
11	204	36	272	0.00959890750594724	0.00959890750594724	x1*(-0.12*x1 - 0.003*x2 - 0.092*cos(1.007*x2*(x2 - 1.817) + 1.47) + 0.769)	0.327*x1*(0.119*x1*x2 - x2 - 4.095) + x1 + 2.187	204	dso	all	barmag	inf	1
9	149	34	206	0.010639345546101096	0.010639345546101096	x2*(-x1 + (1.247 - 0.323*x2)*(x2**2 + 4.946) + 0.251)	-0.115*x1*x2 - 0.51*x1 - x2 + sin(x2 - 0.875) + 4.099	149	dso	all	barmag	inf	1
8	148	30	177	0.010811204595292723	0.010811204595292723	x2*(-x1 + (1.247 - 0.323*x2)*(x2**2 + 4.946) + 0.251)	0.069*x1*x2 - 0.322*x1 - x2 + 2.102	148	dso	all	barmag	inf	1
6	113	29	203	0.0206910633289186	0.0206910633289186	-0.155*x1*(0.325*x1 + cos(x2 - 0.927)) + 2.575	-0.115*x1*x2 - 0.51*x1 - x2 + sin(x2 - 0.875) + 4.099	113	dso	all	barmag	inf	1
5	112	25	174	0.02092602270888412	0.02092602270888412	-0.155*x1*(0.325*x1 + cos(x2 - 0.927)) + 2.575	0.069*x1*x2 - 0.322*x1 - x2 + 2.102	112	dso	all	barmag	inf	1
7	145	23	145	0.03368921741370163	0.03368921741370163	x2*(-x1 + (1.247 - 0.323*x2)*(x2**2 + 4.946) + 0.251)	0.176 - 0.514*x2	145	dso	all	barmag	inf	1
4	110	21	167	0.03793072552122501	0.03793072552122501	-0.155*x1*(0.325*x1 + cos(x2 - 0.927)) + 2.575	-0.107*x1 - 0.56*x2 + 0.827	110	dso	all	barmag	inf	1
3	109	18	142	0.04535544183346698	0.04535544183346698	-0.155*x1*(0.325*x1 + cos(x2 - 0.927)) + 2.575	0.176 - 0.514*x2	109	dso	all	barmag	inf	1
2	39	16	119	0.20013508645626735	0.20013508645626735	0.097*x2**3	-0.274*x2 - 0.274*cos(x2 + 3.436) - 0.133	39	dso	all	barmag	inf	1
1	37	10	68	0.21389469755272605	0.21389469755272605	0.097*x2**3	0.176 - 0.514*x2	37	dso	all	barmag	inf	1
0	0	8	43	0.6879285078325275	0.6879285078325275	5.875 - x1	x1 - 5.959	0	dso	all	barmag	inf	1
