  index    complexity    length        TE    TE_inf  expr_x                                                                                                  expr_y                                                              index_column  method    data_version    system      snr    init
    333            35       268  0.916761  0.714232  3.833*cos(1.056*x1*(x1 - 1.537))*cos((6.747*x1 - 20.319)*(0.206*x1 + x2**2 + 0.206*x2 + 3.073)) + 0.03  0.654*cos(x2) - 0.647                                                        333  dso       allonger        barmag       30       1
    331            34       264  0.959001  0.789866  3.833*cos(1.056*x1*(x1 - 1.537))*cos((6.747*x1 - 20.319)*(0.206*x1 + x2**2 + 0.206*x2 + 3.073)) + 0.03  0.139 - 0.494*x2                                                             331  dso       allonger        barmag       30       1
     33            22       153  1.04893   0.754281  0.18*x2**2                                                                                              (0.325*x2 - 0.083)*(cos((x1 + 0.623)*(x1 + x2 - 1.017)) - 1.454)              33  dso       allonger        barmag       30       1
    179            19       142  1.10871   1.06245   0.275*x1*cos(2.083*x1*(x1 + 1.021*x2 - 2.349))                                                          0.654*cos(x2) - 0.647                                                        179  dso       allonger        barmag       30       1
    177            18       138  1.13853   1.10608   0.275*x1*cos(2.083*x1*(x1 + 1.021*x2 - 2.349))                                                          0.139 - 0.494*x2                                                             177  dso       allonger        barmag       30       1
    135            16       106  1.13887   1.11614   sin(2*x1*(0.759*x1 + x2 + 0.459))                                                                       0.654*cos(x2) - 0.647                                                        135  dso       allonger        barmag       30       1
    133            15       102  1.1682    1.15819   sin(2*x1*(0.759*x1 + x2 + 0.459))                                                                       0.139 - 0.494*x2                                                             133  dso       allonger        barmag       30       1
     27            12        62  1.23221   1.06119   0.18*x2**2                                                                                              (x1 + x2 - 6.069)*sin(x1)                                                     27  dso       allonger        barmag       30       1
     23            10        67  1.29806   1.41692   0.18*x2**2                                                                                              0.139 - 0.494*x2                                                              23  dso       allonger        barmag       30       1
      0             6        45  1.85307   2.06668   0.222*x2                                                                                                -0.338*x2                                                                      0  dso       allonger        barmag       30       1
