  index    complexity    length           TE       TE_inf  expr_x                                                                                                                                                                                     expr_y                                                                   index_column  method    data_version    system      snr    init
    323            69       471  3.1002e-05   3.1002e-05   0.082*x2*(x1 + (0.545*x2 - 2.117)*(-sin(x2)*cos(x1) - 0.31))*(x2 - 4.506) + 0.082*x2*(-x2*(x2 + 0.388) - x2 + 25.08) - 0.428*sin(x1) + 0.082*sin(x1 + x2) + 0.082*cos(x1 + 2.393) + 0.061  -1.0*sin(x2) - 0.5*sin(x1 - x2)                                                   323  dso       allonger        barmag      inf       3
    308            63       431  6.40089e-05  6.40089e-05  0.055*x2*(x1 + (0.312*x2 - 2.002)*(-sin(x2)*cos(x1) + 1.198))*(x2 - 5.612) + 0.055*x2*(-x2*(x1 - 12.617) - x2 + 14.003) - 0.422*sin(x1) + 0.055*cos(x1 + 3.288) + 0.055                    -1.0*sin(x2) - 0.5*sin(x1 - x2)                                                   308  dso       allonger        barmag      inf       3
    282            59       397  7.8507e-05   7.8507e-05   (0.118*x1 - 0.021*x2)*(0.039*x2 + 0.039*sin(x1) + sin(x1 + (2*x2 - 2.769)*(x2*(x2*(x2 + 0.133) + 0.48) + 1.124)) + 0.025)                                                                  0.003*x2 - cos(x2 - 1.574) - 0.499*cos(-x1 + 0.999*x2 + 1.57) - 0.003             282  dso       allonger        barmag      inf       3
    293            58       407  7.90884e-05  7.90884e-05  (0.091*x1 + 0.091*x2 + 0.091*cos(0.092*x1))*(-0.044*x2 + 0.01*sin(x1) + sin(x1 + (2*x2 - 2.809)*(x2*(x2*(x2 + 0.119) + 0.481) + 1.099)) + 0.047)                                           -1.0*sin(x2) - 0.5*sin(x1 - x2)                                                   293  dso       allonger        barmag      inf       3
    278            52       353  7.96811e-05  7.96811e-05  (0.118*x1 - 0.021*x2)*(0.039*x2 + 0.039*sin(x1) + sin(x1 + (2*x2 - 2.769)*(x2*(x2*(x2 + 0.133) + 0.48) + 1.124)) + 0.025)                                                                  -1.0*sin(x2) - 0.5*sin(x1 - x2)                                                   278  dso       allonger        barmag      inf       3
    234            51       379  0.000276651  0.000276651  x1*(0.02*x1*sin(2.023*x2 + 0.564)*cos(0.874*x1 + 0.625*x2 + 2.628) + 0.02*sin(0.574*x1 + 1.003)) + 0.252                                                                                   0.001*x2 - 0.5*sin(x1 - x2) - sin(x2 - 0.e-3) - 0.e-3                             234  dso       allonger        barmag      inf       3
    233            46       346  0.000302868  0.000302868  x1*(0.02*x1*sin(2.023*x2 + 0.564)*cos(0.874*x1 + 0.625*x2 + 2.628) + 0.02*sin(0.574*x1 + 1.003)) + 0.252                                                                                   -1.0*sin(x2) - 0.5*sin(x1 - x2)                                                   233  dso       allonger        barmag      inf       3
    218            44       289  0.000406593  0.000406593  x1*(-0.007*x1*cos(1.524*x1 - 3.363) - 0.089*x2*(x1 + x2*(1.071 - x2**2) - 5.953)) + 0.281                                                                                                  -1.0*sin(x2) - 0.5*sin(x1 - x2)                                                   218  dso       allonger        barmag      inf       3
    189            43       289  0.000662767  0.000662767  x2 - (0.05*x2 + 0.397)*(x2*(1.399*x1 - 5.098) + cos(0.868*x1 - 0.769))                                                                                                                     0.001*x2 - 0.5*sin(x1 - x2) - sin(x2 - 0.e-3) - 0.e-3                             189  dso       allonger        barmag      inf       3
    188            38       256  0.000685351  0.000685351  x2 - (0.05*x2 + 0.397)*(x2*(1.399*x1 - 5.098) + cos(0.868*x1 - 0.769))                                                                                                                     -1.0*sin(x2) - 0.5*sin(x1 - x2)                                                   188  dso       allonger        barmag      inf       3
    203            35       252  0.00111138   0.00111138   -0.344*x1*(0.024*x1*sin(1.761*x2) + cos(0.762*x1 + 6.959)) + x1 - 4.795                                                                                                                    -1.0*sin(x2) - 0.5*sin(x1 - x2)                                                   203  dso       allonger        barmag      inf       3
    158            30       207  0.00965726   0.00965726   0.034*x1 + (2.566 - 2.193*cos(x2))*sin(x1 - 2.43)                                                                                                                                          -1.0*sin(x2) - 0.5*sin(x1 - x2)                                                   158  dso       allonger        barmag      inf       3
    126            26       177  0.0127109    0.0127109    x1*(0.058*cos(0.31*x1*(x1 - 4.393)) + 0.059)                                                                                                                                               -0.904*x2 - 0.472*sin(x1 - x2 + 0.021)                                            126  dso       allonger        barmag      inf       3
     97            25       178  0.0239117    0.0239117    -0.168*x1*(sin(x1) + 0.047) - 0.785*x2                                                                                                                                                     -0.8*x2 - 0.387*sin(x1 - x2 + 0.104) + 0.043                                       97  dso       allonger        barmag      inf       3
    111            24       169  0.0244109    0.0244109    -0.53*sin(1.14*x1 + 0.799*x2 - 0.804)                                                                                                                                                      -0.904*x2 - 0.472*sin(x1 - x2 + 0.021)                                            111  dso       allonger        barmag      inf       3
     80            22       145  0.0912803    0.0912803    -0.101*x1*x2 - 0.682*sin(x1)                                                                                                                                                               (0.092*x1 - 0.255)*(-x2 - 1.349) + 0.474                                           80  dso       allonger        barmag      inf       3
     65            21       143  0.118131     0.118131     -0.654*x2 - 0.739*sin(x1)                                                                                                                                                                  (0.092*x1 - 0.255)*(-x2 - 1.349) + 0.474                                           65  dso       allonger        barmag      inf       3
     79            19       128  0.159986     0.159986     -0.101*x1*x2 - 0.682*sin(x1)                                                                                                                                                               (0.237*x1 - 1.273)*sin(x1) + 0.029                                                 79  dso       allonger        barmag      inf       3
     64            18       126  0.163875     0.163875     -0.654*x2 - 0.739*sin(x1)                                                                                                                                                                  (0.237*x1 - 1.273)*sin(x1) + 0.029                                                 64  dso       allonger        barmag      inf       3
     63            16       120  0.286769     0.286769     -0.654*x2 - 0.739*sin(x1)                                                                                                                                                                  0.316*sin(x1 - 1.179) + 0.3                                                        63  dso       allonger        barmag      inf       3
     19            15       117  0.400669     0.400669     2.428 - 0.403*x1                                                                                                                                                                           (0.237*x1 - 1.273)*sin(x1) + 0.029                                                 19  dso       allonger        barmag      inf       3
     17            13       112  0.426561     0.426561     2.428 - 0.403*x1                                                                                                                                                                           -0.148*x1 - 0.148*x2 + 0.913                                                       17  dso       allonger        barmag      inf       3
     31            12        90  1.04489      1.04489      1.342 - 0.037*x1**2                                                                                                                                                                        0.744 - 0.128*x1                                                                   31  dso       allonger        barmag      inf       3
     16            10        86  1.0872       1.0872       2.428 - 0.403*x1                                                                                                                                                                           0.744 - 0.128*x1                                                                   16  dso       allonger        barmag      inf       3
     15             8        68  2.07057      2.07057      2.428 - 0.403*x1                                                                                                                                                                           0                                                                                  15  dso       allonger        barmag      inf       3
      0             6        47  4.62448      4.62448      0.264*x2                                                                                                                                                                                   0                                                                                   0  dso       allonger        barmag      inf       3
