	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
8	56	39	250	2.028014926462792	2.3315898872748795	1.867*x1*(x2 - 0.323)	sin(6.202*x1 + 6.202*x2*(-x1*(0.902*x1*(0.169*x1 - x2 + 1.438) - x1) - 0.702*x1 + x2 - 0.15) - 7.02)	56	dso	allonger	barmag	13	3
7	55	36	231	2.0280284798040604	2.334438884151518	1.867*x1*(x2 - 0.323)	sin(5.925*x1 + 5.925*x2*(-0.926*x1*(x1*(0.158*x1 - x2 + 1.609) - x1) + x1 + x2 - 3.882) - 5.687)	55	dso	allonger	barmag	13	3
6	49	23	147	2.0315406381274137	2.469459843915594	1.867*x1*(x2 - 0.323)	0.767*sin(1.015*x1*(x1**2 + 9.216*x2) - 37.76*x2)	49	dso	allonger	barmag	13	3
5	29	22	129	2.1337974202626917	3.3760921956598597	x1*(x2 - 0.317)	0.767*sin(1.015*x1*(x1**2 + 9.216*x2) - 37.76*x2)	29	dso	allonger	barmag	13	3
9	106	21	115	2.1441983126867106	3.2684282448784745	x1*cos(x1*(x1 + 1.992) - 3.163)	sin(0.125*x2*(-x1 - 528.556*x2))	106	dso	allonger	barmag	13	3
4	27	17	108	2.1495085900097446	3.150156936145561	x1*(x2 - 0.317)	sin(4.459*x2*(x1 + 4.509)*(2*x2 - 0.388))	27	dso	allonger	barmag	13	3
3	26	16	87	2.1606088214195074	3.293400458778235	x1*(x2 - 0.317)	sin(0.125*x2*(-x1 - 528.556*x2))	26	dso	allonger	barmag	13	3
2	21	10	74	2.305595686407476	4.14414959024292	x1*(x2 - 0.317)	0.141 - 0.022*x1	21	dso	allonger	barmag	13	3
1	1	8	68	2.463660176840264	3.678261280342884	x2 - 0.275	0.141 - 0.022*x1	1	dso	allonger	barmag	13	3
0	0	6	45	3.0394919034258656	6.139115627771368	x2 - 0.275	0.04*x2	0	dso	allonger	barmag	13	3
