  complexity    length          TE      TE_inf  expr_x                                                                            expr_y                                                              index_column  method    exp_type    data_version    system      snr    init
          16        34  0.252433    0.252433    2.153*sin(0.536*x)                                                                0.669*sin(0.844*y - 4.217) - 0.484                                             0  proged    numdif      all             barmag      inf       1
          12        24  0.653807    0.653807    2.153*sin(0.536*x)                                                                1.246*sin(1.062*x)                                                             1  proged    numdif      all             barmag      inf       1
          14        29  0.262498    0.262498    2.153*sin(0.536*x)                                                                -3.352*cos(0.155*y + 4.659)                                                    2  proged    numdif      all             barmag      inf       1
          26        59  0.0226434   0.0226434   0.644*sin(1.77*x) - 0.177*sin(2.129*y - 0.56) + 0.618                             0.669*sin(0.844*y - 4.217) - 0.484                                             3  proged    numdif      all             barmag      inf       1
          31        71  0.00944449  0.00944449  0.644*sin(1.77*x) - 0.177*sin(2.129*y - 0.56) + 0.618                             -0.227*sin(2.962*x) + 0.318*cos(0.305*x*y) - 0.496                             4  proged    numdif      all             barmag      inf       1
          29        66  0.0169489   0.0169489   0.644*sin(1.77*x) - 0.177*sin(2.129*y - 0.56) + 0.618                             -1.922*cos(0.112*x + 0.35*y + 3.224) - 1.256                                   5  proged    numdif      all             barmag      inf       1
          23        49  0.0415224   0.0415224   0.679*cos(0.04*x*y**3 + 3.245) + 0.704                                            0.669*sin(0.844*y - 4.217) - 0.484                                             6  proged    numdif      all             barmag      inf       1
          21        44  0.0513442   0.0513442   0.679*cos(0.04*x*y**3 + 3.245) + 0.704                                            -3.352*cos(0.155*y + 4.659)                                                    7  proged    numdif      all             barmag      inf       1
          19        39  0.0657221   0.0657221   0.691 - 0.658*cos(0.044*x*y**3)                                                   -3.352*cos(0.155*y + 4.659)                                                    8  proged    numdif      all             barmag      inf       1
          22        47  0.0437154   0.0437154   0.67*cos(0.198*y**3 + 3.372) + 0.678                                              0.669*sin(0.844*y - 4.217) - 0.484                                             9  proged    numdif      all             barmag      inf       1
          27        61  0.0175995   0.0175995   -0.304*sin(0.27*x*y) - 0.619*cos(2.087*x - 0.175) + 0.765                         0.669*sin(0.844*y - 4.217) - 0.484                                            10  proged    numdif      all             barmag      inf       1
          32        73  0.00711687  0.00711687  -0.304*sin(0.27*x*y) - 0.619*cos(2.087*x - 0.175) + 0.765                         -0.227*sin(2.962*x) + 0.318*cos(0.305*x*y) - 0.496                            11  proged    numdif      all             barmag      inf       1
          34        78  0.00532211  0.00532211  -0.304*sin(0.27*x*y) - 0.619*cos(2.087*x - 0.175) + 0.765                         -0.541*sin(1.534*y - 2.264) + 0.112*cos(0.584*x*y) - 0.595                    12  proged    numdif      all             barmag      inf       1
          25        56  0.0367586   0.0367586   -0.304*sin(0.27*x*y) - 0.619*cos(2.087*x - 0.175) + 0.765                         -3.352*cos(0.155*y + 4.659)                                                   13  proged    numdif      all             barmag      inf       1
          33        76  0.00579396  0.00579396  -0.304*sin(0.27*x*y) - 0.619*cos(2.087*x - 0.175) + 0.765                         -0.025*sin(4.69*y - 3.149) + 0.512*cos(1.18*y) - 0.513                        14  proged    numdif      all             barmag      inf       1
          30        68  0.0108847   0.0108847   -0.304*sin(0.27*x*y) - 0.619*cos(2.087*x - 0.175) + 0.765                         -1.922*cos(0.112*x + 0.35*y + 3.224) - 1.256                                  15  proged    numdif      all             barmag      inf       1
          35        81  0.00486177  0.00486177  0.505*sin(2.165*x - 2.297) - 0.382*cos(1.328*y + 4.952) + 0.725                   -0.541*sin(1.534*y - 2.264) + 0.112*cos(0.584*x*y) - 0.595                    16  proged    numdif      all             barmag      inf       1
          37        86  0.00475309  0.00475309  0.505*sin(2.165*x - 2.297) - 0.382*cos(1.328*y + 4.952) + 0.725                   -0.213*sin(3.403*y - 0.746) + 0.518*cos(0.443*x*y + 5.0) - 0.413              17  proged    numdif      all             barmag      inf       1
          17        36  0.122726    0.122726    0.647*sin(2.954*x) + 0.664                                                        -3.352*cos(0.155*y + 4.659)                                                   18  proged    numdif      all             barmag      inf       1
          45        99  0.00311018  0.00311018  -0.304*sin(0.27*x*y) + 0.618*sin(2.09*x + 4.527) + 0.002*cos(3.295*x**2) + 0.765  -0.091*sin(0.337*x**2) + 1.061*cos(0.179*x + 0.594*y + 0.375)                 19  proged    numdif      all             barmag      inf       1
          38        83  0.00399736  0.00399736  -0.33*sin(2.246*x) - 0.759*sin(0.158*x*y - 0.46*y**2) + 0.452                     -0.541*sin(1.534*y - 2.264) + 0.112*cos(0.584*x*y) - 0.595                    20  proged    numdif      all             barmag      inf       1
          40        88  0.0039504   0.0039504   -0.33*sin(2.246*x) - 0.759*sin(0.158*x*y - 0.46*y**2) + 0.452                     -0.213*sin(3.403*y - 0.746) + 0.518*cos(0.443*x*y + 5.0) - 0.413              21  proged    numdif      all             barmag      inf       1
          41        86  0.00342455  0.00342455  -0.33*sin(2.246*x) - 0.759*sin(0.158*x*y - 0.46*y**2) + 0.452                     -0.091*sin(0.337*x**2) + 1.061*cos(0.179*x + 0.594*y + 0.375)                 22  proged    numdif      all             barmag      inf       1
