	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	16	34	0.08760647850388348	0.08760647850388348	0.252 - 0.279*cos(2.019*x)	0.094 - 0.118*cos(2.148*x)	0	proged	numdif	all	barmag	inf	3
1	20	43	0.029665460993337785	0.029665460993337785	0.252 - 0.279*cos(2.019*x)	0.332*cos(0.155*x*y + 0.438*x + 5.0)	1	proged	numdif	all	barmag	inf	3
2	19	41	0.03695482309954674	0.03695482309954674	0.252 - 0.279*cos(2.019*x)	-0.293*sin(0.563*x + 0.989*y - 3.612)	2	proged	numdif	all	barmag	inf	3
3	14	29	0.13700171233494796	0.13700171233494796	-0.531*sin(1.057*x)	0.094 - 0.118*cos(2.148*x)	3	proged	numdif	all	barmag	inf	3
4	12	24	0.5149236752112086	0.5149236752112086	-0.531*sin(1.057*x)	0.31*sin(0.551*x)	4	proged	numdif	all	barmag	inf	3
5	17	36	0.06626516511403927	0.06626516511403927	-0.531*sin(1.057*x)	-0.293*sin(0.563*x + 0.989*y - 3.612)	5	proged	numdif	all	barmag	inf	3
6	13	26	0.5087828864845088	0.5087828864845088	-0.531*sin(1.057*x)	0.603*cos(0.275*x)	6	proged	numdif	all	barmag	inf	3
7	30	64	0.008442414265796915	0.008442414265796915	0.093*sin(5.0*y + 1.292) + 0.496*cos(1.32*x)	1.107*sin(0.365*x) + 1.08*cos(0.801*y + 2.343)	7	proged	numdif	all	barmag	inf	3
8	34	76	0.004407947579940589	0.004407947579940589	0.093*sin(5.0*y + 1.292) + 0.496*cos(1.32*x)	-0.023*cos(2.946*x) + 0.383*cos(0.387*x + 1.069*y - 0.772) + 0.108	8	proged	numdif	all	barmag	inf	3
9	35	76	0.0032305690238007313	0.0032305690238007313	0.093*sin(5.0*y + 1.292) + 0.496*cos(1.32*x)	-0.189*sin(1.062*x) + 0.103*cos(5.0*y) + 0.01*cos(2.335*x*y)	9	proged	numdif	all	barmag	inf	3
10	31	66	0.007853539836538238	0.007853539836538238	0.485*sin(1.284*x - 4.542) + 0.1*cos(0.804*x*y)	1.107*sin(0.365*x) + 1.08*cos(0.801*y + 2.343)	10	proged	numdif	all	barmag	inf	3
11	36	78	0.002713942437583243	0.002713942437583243	0.485*sin(1.284*x - 4.542) + 0.1*cos(0.804*x*y)	-0.189*sin(1.062*x) + 0.103*cos(5.0*y) + 0.01*cos(2.335*x*y)	11	proged	numdif	all	barmag	inf	3
12	22	48	0.029016455863621556	0.029016455863621556	0.531*cos(1.127*x + 0.655*y + 0.898)	-0.293*sin(0.563*x + 0.989*y - 3.612)	12	proged	numdif	all	barmag	inf	3
13	23	47	0.01310080038226372	0.01310080038226372	0.254*sin(0.004*x**4) + 0.269	-0.285*sin(2.024*y) - 0.349*cos(0.711*x)	13	proged	numdif	all	barmag	inf	3
14	26	55	0.010022391288461453	0.010022391288461453	0.254*sin(0.004*x**4) + 0.269	0.355 - 0.474*sin(1.11*y)	14	proged	numdif	all	barmag	inf	3
15	32	71	0.00636081190626503	0.00636081190626503	0.529*cos(0.104*x**2 + 0.818*y - 2.402)	-0.023*cos(2.946*x) + 0.383*cos(0.387*x + 1.069*y - 0.772) + 0.108	15	proged	numdif	all	barmag	inf	3
16	33	71	0.005093261133044896	0.005093261133044896	0.529*cos(0.104*x**2 + 0.818*y - 2.402)	-0.189*sin(1.062*x) + 0.103*cos(5.0*y) + 0.01*cos(2.335*x*y)	16	proged	numdif	all	barmag	inf	3
17	39	88	0.002513527600012493	0.002513527600012493	0.447*cos(1.367*x) + 0.069*cos(-1.204*x + 4.884*y + 0.947) + 0.151	-0.189*sin(1.062*x) + 0.103*cos(5.0*y) + 0.01*cos(2.335*x*y)	17	proged	numdif	all	barmag	inf	3
