  complexity    length        TE    TE_inf  expr_x                                                                 expr_y                                         index_column  method    exp_type    data_version    system      snr    init
          14        29  19.5733   25.5334   -5.0*sin(1.542*x)                                                      -0.279*sin(2.596*x) - 0.045                               0  proged    numdif      allonger        barmag       13       2
          12        24  22.5753   29.04     -5.0*sin(1.542*x)                                                      -0.278*sin(2.596*x)                                       1  proged    numdif      allonger        barmag       13       2
          19        41   5.29767   8.8293   -5.0*sin(1.542*x)                                                      -0.439*sin(1.421*x - 5.0*y + 2.293) - 0.029               2  proged    numdif      allonger        barmag       13       2
          16        31   5.66663   9.26471  -5.0*sin(1.542*x)                                                      0.436*sin(1.277*x - 5.0*y)                                3  proged    numdif      allonger        barmag       13       2
          17        36   5.38938   8.93758  -5.0*sin(1.542*x)                                                      -0.441*sin(1.405*x - 5.0*y + 2.373)                       4  proged    numdif      allonger        barmag       13       2
          25        51   2.87939   4.64156  -5.0*sin(1.543*x) + 5.0*cos(3.351*x - 5.0*y)                           -0.279*sin(2.596*x) - 0.045                               5  proged    numdif      allonger        barmag       13       2
          23        46   3.17187   4.88913  -5.0*sin(1.543*x) + 5.0*cos(3.351*x - 5.0*y)                           -0.278*sin(2.596*x)                                       6  proged    numdif      allonger        barmag       13       2
          29        66   2.66463   4.36969  -5.0*cos(1.633*x - 2.121) + 5.0*cos(-3.373*x + 5.0*y + 0.116) + 0.275  -0.279*sin(2.596*x) - 0.045                               7  proged    numdif      allonger        barmag       13       2
          28        61   2.68256   4.39259  5.0*sin(1.632*x - 3.686) + 5.0*cos(3.353*x - 5.0*y) + 0.273            -0.279*sin(2.596*x) - 0.045                               8  proged    numdif      allonger        barmag       13       2
          26        56   2.86818   4.62756  -5.0*sin(1.544*x) + 5.0*sin(-3.365*x + 5.0*y + 1.65)                   -0.279*sin(2.596*x) - 0.045                               9  proged    numdif      allonger        barmag       13       2
          24        51   3.16117   4.87606  -5.0*sin(1.544*x) + 5.0*sin(-3.365*x + 5.0*y + 1.65)                   -0.278*sin(2.596*x)                                      10  proged    numdif      allonger        barmag       13       2
          27        56   2.77182   4.50366  -5.0*sin(1.636*x - 0.559) + 5.0*cos(3.352*x - 5.0*y)                   -0.279*sin(2.596*x) - 0.045                              11  proged    numdif      allonger        barmag       13       2
