	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	14	29	19.573297000215987	25.533373105428108	-5.0*sin(1.542*x)	-0.279*sin(2.596*x) - 0.045	0	proged	numdif	allonger	barmag	13	2
1	12	24	22.575332872610545	29.039996516871078	-5.0*sin(1.542*x)	-0.278*sin(2.596*x)	1	proged	numdif	allonger	barmag	13	2
2	19	41	5.2976673625921995	8.829295709238783	-5.0*sin(1.542*x)	-0.439*sin(1.421*x - 5.0*y + 2.293) - 0.029	2	proged	numdif	allonger	barmag	13	2
3	16	31	5.666630941819779	9.264710197955397	-5.0*sin(1.542*x)	0.436*sin(1.277*x - 5.0*y)	3	proged	numdif	allonger	barmag	13	2
4	17	36	5.389381430809483	8.937578346559054	-5.0*sin(1.542*x)	-0.441*sin(1.405*x - 5.0*y + 2.373)	4	proged	numdif	allonger	barmag	13	2
5	25	51	2.879389121207753	4.6415622170455	-5.0*sin(1.543*x) + 5.0*cos(3.351*x - 5.0*y)	-0.279*sin(2.596*x) - 0.045	5	proged	numdif	allonger	barmag	13	2
6	23	46	3.1718684936141	4.889129746297935	-5.0*sin(1.543*x) + 5.0*cos(3.351*x - 5.0*y)	-0.278*sin(2.596*x)	6	proged	numdif	allonger	barmag	13	2
7	29	66	2.6646278594184714	4.369685736930729	-5.0*cos(1.633*x - 2.121) + 5.0*cos(-3.373*x + 5.0*y + 0.116) + 0.275	-0.279*sin(2.596*x) - 0.045	7	proged	numdif	allonger	barmag	13	2
8	28	61	2.6825560527661416	4.392593823919691	5.0*sin(1.632*x - 3.686) + 5.0*cos(3.353*x - 5.0*y) + 0.273	-0.279*sin(2.596*x) - 0.045	8	proged	numdif	allonger	barmag	13	2
9	26	56	2.8681848599626716	4.627562121016771	-5.0*sin(1.544*x) + 5.0*sin(-3.365*x + 5.0*y + 1.65)	-0.279*sin(2.596*x) - 0.045	9	proged	numdif	allonger	barmag	13	2
10	24	51	3.1611698300086086	4.876059632798767	-5.0*sin(1.544*x) + 5.0*sin(-3.365*x + 5.0*y + 1.65)	-0.278*sin(2.596*x)	10	proged	numdif	allonger	barmag	13	2
11	27	56	2.7718175460217855	4.503659806624967	-5.0*sin(1.636*x - 0.559) + 5.0*cos(3.352*x - 5.0*y)	-0.279*sin(2.596*x) - 0.045	11	proged	numdif	allonger	barmag	13	2
