Unnamed: 0,system,snr,iinit,TE,TEinf,expr_model,method,data_version,exp_version,benchmark,duration,dM
0,barmag,inf,0,0.2495842376692243,0.2495842376692243,"[['-0.371 sin(x) + -0.306 sin(y) + -0.116 sin(x+y)', '-0.570 sin(x) + -0.664 sin(y)']]",sindy,allonger,e2,strogatz,0.0400009155273437,5
1,barmag,30.0,0,76.60670666118618,91.47703138556528,"[['0.503 1 + 2.846 sin(x) + 0.923 sin(y) + 2.770 cos(x) + -1.174 sin(x+y) + -3.111 cos(x+y) + -1.094 sin(x-y) + -0.432 cos(x-y) + 1.094 sin(y-x) + -0.432 cos(y-x)', '9.816 sin(x) + -0.140 sin(y) + -7.533 cos(y) + -5.240 sin(x+y) + -990345664715767.625 sin(x-y) + 652265077115215.750 cos(x-y) + -990345664715759.000 sin(y-x) + -652265077115210.125 cos(y-x)']]",sindy,allonger,e2,strogatz,0.7346012592315674,14
2,barmag,13.0,0,137.4167706339325,600.4365464474342,"[['3.303 1 + 3.987 sin(x) + -2.383 sin(y) + -5.537 cos(x) + -3.046 cos(y) + -2.372 sin(x+y) + 3.167 cos(x+y) + 587880658577603.875 sin(x-y) + 2990334510692.682 cos(x-y) + 587880658577609.625 sin(y-x) + -2990334510694.474 cos(y-x)', '-0.560 1 + -5.341 sin(x) + -4.119 sin(y) + 0.831 cos(x) + 0.850 cos(y) + 1.477 sin(x+y) + 0.215 cos(x+y) + -7213461999987924.000 sin(x-y) + -36692250451533.977 cos(x-y) + -7213461999987929.000 sin(y-x) + 36692250451530.523 cos(y-x)']]",sindy,allonger,e2,strogatz,0.0099976062774658,18
3,barmag,inf,1,0.0640438026466455,0.0640438026466455,"[['-1.000 sin(x) + -157309789999.268 sin(x-y) + -157309789999.768 sin(y-x)', '0.362 sin(x) + -0.712 sin(x+y) + -118073402497.988 sin(x-y) + -118073402497.832 sin(y-x)']]",sindy,allonger,e2,strogatz,0.020336627960205,5
4,barmag,30.0,1,1.5408463031570023,1.7651438020995731,"[['0.606 1 + -0.071 sin(x+y) + 0.252 sin(x-y) + -0.207 cos(x-y) + -0.252 sin(y-x) + -0.207 cos(y-x)', '0.516 sin(x) + 0.152 cos(y) + -0.438 sin(x+y)']]",sindy,allonger,e2,strogatz,0.4136185646057129,11
5,barmag,13.0,1,191.7594922129532,475.8048226415801,"[['2.302 1 + 9.667 sin(x) + 3.513 sin(y) + 22.858 cos(x) + -3.854 cos(y) + -15.493 sin(x+y) + -4.986 cos(x+y) + 3.847 sin(x-y) + -5.908 cos(x-y) + -3.847 sin(y-x) + -5.908 cos(y-x)', '1.829 sin(x) + -0.193 sin(y) + 0.702 cos(x) + 0.106 cos(y) + -1.228 sin(x+y) + 0.513 cos(x+y) + -7657240692955.582 sin(x-y) + 62159083399440.633 cos(x-y) + -7657240692955.295 sin(y-x) + -62159083399441.805 cos(y-x)']]",sindy,allonger,e2,strogatz,0.067861795425415,17
6,barmag,inf,2,0.3107709346590699,0.3107709346590699,"[['-0.824 sin(x+y)', '-1.000 sin(y) + 0.001 sin(x+y) + -244877907260.792 sin(x-y) + -244877907260.292 sin(y-x)']]",sindy,allonger,e2,strogatz,0.0299961566925048,5
7,barmag,30.0,2,0.8112998167530269,0.5190388656356217,"[['-0.352 sin(x) + -0.053 cos(x-y) + -0.053 cos(y-x)', '-0.598 sin(y) + 0.184 sin(x+y) + -0.154 sin(x-y) + 0.154 sin(y-x)']]",sindy,allonger,e2,strogatz,0.6589334011077881,5
8,barmag,13.0,2,448.31674657921593,639.2592990792527,"[['36.765 1 + -8.817 sin(y) + -34.810 cos(y) + -4.440 sin(x+y) + -14.818 cos(x+y) + -1.211 sin(x-y) + 7.058 cos(x-y) + 1.211 sin(y-x) + 7.058 cos(y-x)', '-0.063 1 + -1.057 sin(x+y) + 0.424 cos(x+y) + 36648602146071.758 sin(x-y) + 15314348984355.172 cos(x-y) + 36648602146070.578 sin(y-x) + -15314348984354.734 cos(y-x)']]",sindy,allonger,e2,strogatz,2.2722792625427246,16
9,barmag,inf,3,2.256890151124104,2.256890151124104,"[['-0.077 sin(x) + -0.492 sin(x+y)', '-0.159 sin(x+y)']]",sindy,allonger,e2,strogatz,0.0300023555755615,5
10,barmag,30.0,3,34.549609443533726,39.15441614155789,"[['49.601 1 + -15.947 sin(y) + -44.005 cos(y) + 0.613 sin(x+y) + -2.979 cos(x+y)', '-0.097 sin(x+y)']]",sindy,allonger,e2,strogatz,6.60400652885437,10
11,barmag,13.0,3,2.375673032570159,4.512527973371409,"[['-5.105 1 + -472.747 sin(x) + 14.816 sin(y) + 212.982 sin(x+y) + -88.738 cos(x+y) + 113.042 sin(x-y) + 46.993 cos(x-y) + -113.042 sin(y-x) + 46.993 cos(y-x)', '-0.152 1 + -0.153 sin(x-y) + 0.136 cos(x-y) + 0.153 sin(y-x) + 0.136 cos(y-x)']]",sindy,allonger,e2,strogatz,6.696881532669067,12
