  index    complexity    length          TE      TE_inf  expr_x                                                                                               expr_y                          index_column  method    data_version    system      snr    init
    704            43       278  0.0023827   0.0023827   -0.001*x2 + 0.008*(-sin(x1) + sin(x2*(x1 + 3.046)))*sin(x1) + 0.796*sin(x1) + 0.775*sin(x2) + 2.002  0.58*cos(x2 - 1.572) + 4.528             704  dso       all             cphase      inf       3
    703            41       257  0.00239039  0.00239039  -0.001*x2 + 0.008*(-sin(x1) + sin(x2*(x1 + 3.046)))*sin(x1) + 0.796*sin(x1) + 0.775*sin(x2) + 2.002  0.58*sin(x2) + 4.528                     703  dso       all             cphase      inf       3
    675            39       272  0.00261978  0.00261978  -0.001*x2 + 0.797*sin(x1) + 0.774*sin(x2) + 1.994                                                    0.58*sin(x2) + 4.528                     675  dso       all             cphase      inf       3
    508            34       273  0.00276205  0.00276205  -0.003*x1 - (0.001*x1*(sin(x1 + 0.401) + 1.143) - 0.806)*sin(x1 - 0.002) + 0.775*sin(x2) + 2.011     0.58*cos(x2 - 1.572) + 4.528             508  dso       all             cphase      inf       3
    507            32       252  0.0027699   0.0027699   -0.003*x1 - (0.001*x1*(sin(x1 + 0.401) + 1.143) - 0.806)*sin(x1 - 0.002) + 0.775*sin(x2) + 2.011     0.58*sin(x2) + 4.528                     507  dso       all             cphase      inf       3
    284            25       192  0.00277805  0.00277805  (1.508 - 0.001*x2)*(0.533*sin(x1) + 1.326) + 0.776*sin(x2)                                           0.58*cos(x2 - 1.572) + 4.528             284  dso       all             cphase      inf       3
    283            23       171  0.00278557  0.00278557  (1.508 - 0.001*x2)*(0.533*sin(x1) + 1.326) + 0.776*sin(x2)                                           0.58*sin(x2) + 4.528                     283  dso       all             cphase      inf       3
    256            21       170  0.00350349  0.00350349  -0.001*x2 + 0.792*sin(x1) + 0.776*sin(x2) + 1.996                                                    0.58*cos(x2 - 1.572) + 4.528             256  dso       all             cphase      inf       3
    255            19       149  0.00351142  0.00351142  -0.001*x2 + 0.792*sin(x1) + 0.776*sin(x2) + 1.996                                                    0.58*sin(x2) + 4.528                     255  dso       all             cphase      inf       3
    172            18       143  0.00783002  0.00783002  0.783*sin(x1) + 0.783*sin(x2) + 1.97                                                                 0.58*cos(x2 - 1.572) + 4.528             172  dso       all             cphase      inf       3
    171            16       122  0.00783376  0.00783376  0.783*sin(x1) + 0.783*sin(x2) + 1.97                                                                 0.58*sin(x2) + 4.528                     171  dso       all             cphase      inf       3
    141            11        82  0.0431451   0.0431451   sin(x1) + sin(x2) + 2.047                                                                            4.522 - 0.004*x1                         141  dso       all             cphase      inf       3
     59            10        74  0.0705981   0.0705981   sin(x2) + 1.774                                                                                      0.58*sin(x2) + 4.528                      59  dso       all             cphase      inf       3
     30             9        70  0.0855335   0.0855335   0.001*x2 + 1.668                                                                                     sin(x2) + 4.563                           30  dso       all             cphase      inf       3
     58             8        54  0.0895115   0.0895115   sin(x2) + 1.774                                                                                      sin(x2) + 4.563                           58  dso       all             cphase      inf       3
     56             7        49  0.764993    0.764993    sin(x2) + 1.774                                                                                      0.328*x1                                  56  dso       all             cphase      inf       3
      0             6        43  2.45406     2.45406     0.124*x1                                                                                             0.328*x1                                   0  dso       all             cphase      inf       3
