	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
16	704	43	278	0.0023826950465045678	0.0023826950465045678	-0.001*x2 + 0.008*(-sin(x1) + sin(x2*(x1 + 3.046)))*sin(x1) + 0.796*sin(x1) + 0.775*sin(x2) + 2.002	0.58*cos(x2 - 1.572) + 4.528	704	dso	all	cphase	inf	3
15	703	41	257	0.0023903893612896875	0.0023903893612896875	-0.001*x2 + 0.008*(-sin(x1) + sin(x2*(x1 + 3.046)))*sin(x1) + 0.796*sin(x1) + 0.775*sin(x2) + 2.002	0.58*sin(x2) + 4.528	703	dso	all	cphase	inf	3
14	675	39	272	0.0026197788153700437	0.0026197788153700437	-0.001*x2 + 0.797*sin(x1) + 0.774*sin(x2) + 1.994	0.58*sin(x2) + 4.528	675	dso	all	cphase	inf	3
13	508	34	273	0.0027620460771559134	0.0027620460771559134	-0.003*x1 - (0.001*x1*(sin(x1 + 0.401) + 1.143) - 0.806)*sin(x1 - 0.002) + 0.775*sin(x2) + 2.011	0.58*cos(x2 - 1.572) + 4.528	508	dso	all	cphase	inf	3
12	507	32	252	0.002769899271085439	0.002769899271085439	-0.003*x1 - (0.001*x1*(sin(x1 + 0.401) + 1.143) - 0.806)*sin(x1 - 0.002) + 0.775*sin(x2) + 2.011	0.58*sin(x2) + 4.528	507	dso	all	cphase	inf	3
11	284	25	192	0.0027780511989703195	0.0027780511989703195	(1.508 - 0.001*x2)*(0.533*sin(x1) + 1.326) + 0.776*sin(x2)	0.58*cos(x2 - 1.572) + 4.528	284	dso	all	cphase	inf	3
10	283	23	171	0.002785571782673783	0.002785571782673783	(1.508 - 0.001*x2)*(0.533*sin(x1) + 1.326) + 0.776*sin(x2)	0.58*sin(x2) + 4.528	283	dso	all	cphase	inf	3
9	256	21	170	0.003503494373489318	0.003503494373489318	-0.001*x2 + 0.792*sin(x1) + 0.776*sin(x2) + 1.996	0.58*cos(x2 - 1.572) + 4.528	256	dso	all	cphase	inf	3
8	255	19	149	0.00351141684176059	0.00351141684176059	-0.001*x2 + 0.792*sin(x1) + 0.776*sin(x2) + 1.996	0.58*sin(x2) + 4.528	255	dso	all	cphase	inf	3
7	172	18	143	0.007830024704859495	0.007830024704859495	0.783*sin(x1) + 0.783*sin(x2) + 1.97	0.58*cos(x2 - 1.572) + 4.528	172	dso	all	cphase	inf	3
6	171	16	122	0.007833763732515186	0.007833763732515186	0.783*sin(x1) + 0.783*sin(x2) + 1.97	0.58*sin(x2) + 4.528	171	dso	all	cphase	inf	3
5	141	11	82	0.043145093479725234	0.043145093479725234	sin(x1) + sin(x2) + 2.047	4.522 - 0.004*x1	141	dso	all	cphase	inf	3
4	59	10	74	0.07059814395313999	0.07059814395313999	sin(x2) + 1.774	0.58*sin(x2) + 4.528	59	dso	all	cphase	inf	3
1	30	9	70	0.08553354365568688	0.08553354365568688	0.001*x2 + 1.668	sin(x2) + 4.563	30	dso	all	cphase	inf	3
3	58	8	54	0.08951153855496527	0.08951153855496527	sin(x2) + 1.774	sin(x2) + 4.563	58	dso	all	cphase	inf	3
2	56	7	49	0.7649931477823826	0.7649931477823826	sin(x2) + 1.774	0.328*x1	56	dso	all	cphase	inf	3
0	0	6	43	2.454061274309899	2.454061274309899	0.124*x1	0.328*x1	0	dso	all	cphase	inf	3
