	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
12	207	42	331	4.3633275976097986e-05	4.3633275976097986e-05	-0.001*x2 - 0.8*sin(x2 - 3.142) + 0.8*cos(1.0*x1 + 4.712) + 2.002	0.6*sin(x2)*cos(0.001*x1) + 4.53	207	dso	allonger	cphase	inf	2
11	197	28	237	4.44110191394844e-05	4.44110191394844e-05	-0.001*x2 - 0.8*sin(x2 - 3.142) + 0.8*cos(1.0*x1 + 4.712) + 2.002	0.6*sin(x2) + 4.53	197	dso	allonger	cphase	inf	2
9	181	26	216	4.529329755531473e-05	4.529329755531473e-05	-0.001*x2 + 0.8*cos(x1 - 1.571) + 0.8*cos(x2 - 1.571) + 2.002	0.6*sin(x2) + 4.53	181	dso	allonger	cphase	inf	2
10	195	25	212	4.670059996801953e-05	4.670059996801953e-05	-0.001*x2 - 0.8*sin(x2 - 3.142) + 0.8*cos(1.0*x1 + 4.712) + 2.002	0.6*sin(x2) + 4.53	195	dso	allonger	cphase	inf	2
8	179	23	191	4.7582835911101066e-05	4.7582835911101066e-05	-0.001*x2 + 0.8*cos(x1 - 1.571) + 0.8*cos(x2 - 1.571) + 2.002	0.6*sin(x2) + 4.53	179	dso	allonger	cphase	inf	2
7	131	20	164	0.02026582172112627	0.02026582172112627	0.799*cos(x1 - 1.571) + 0.799*cos(x2 - 1.571) + 1.953	0.6*sin(x2) + 4.53	131	dso	allonger	cphase	inf	2
6	97	13	103	0.026968626105345145	0.026968626105345145	sin(x1) + cos(x2 - 1.571) + 2.017	0.001*x2 + 4.464	97	dso	allonger	cphase	inf	2
5	81	11	80	0.026974274447667295	0.026974274447667295	sin(x1) + sin(x2) + 2.017	0.001*x2 + 4.464	81	dso	allonger	cphase	inf	2
4	35	10	75	0.038004819737171014	0.038004819737171014	sin(x2) + 1.767	0.6*sin(x2) + 4.53	35	dso	allonger	cphase	inf	2
1	18	9	72	0.05877365231447892	0.05877365231447892	1.707	sin(x2) + 4.558	18	dso	allonger	cphase	inf	2
3	34	8	55	0.10135626312998777	0.10135626312998777	sin(x2) + 1.767	sin(x2) + 4.558	34	dso	allonger	cphase	inf	2
2	32	7	50	0.856506976190114	0.856506976190114	sin(x2) + 1.767	0.182*x1	32	dso	allonger	cphase	inf	2
0	0	6	44	3.2106347782913933	3.2106347782913933	0.069*x1	0.182*x1	0	dso	allonger	cphase	inf	2
