  index    complexity    length        TE    TE_inf  expr_x                             expr_y                                        index_column  method    data_version    system      snr    init
    103            26       134  0.214259  0.158656  -0.215*x1 - sin(x2) + 0.204        0.623 - 28.78/(-x1 - x2 + cos(x2 - 4.045))             103  dso       all             glider       30       2
    126            24       170  0.258632  0.20619   -0.221*x1 - 0.883*sin(x2) + 0.221  (9.288 - 0.065*x2**2)/(x2 + 2.939) + 2.712             126  dso       all             glider       30       2
    101            21       143  0.2784    0.233137  -0.215*x1 - sin(x2) + 0.204        0.433*x1 + 0.887 + 8.515/(x2 + 2.928)                  101  dso       all             glider       30       2
    124            19       131  0.32527   0.301589  -0.221*x1 - 0.883*sin(x2) + 0.221  (x2 + 20.239)/(x1 + x2 - 1.794)                        124  dso       all             glider       30       2
    123            18       125  0.345528  0.325114  -0.221*x1 - 0.883*sin(x2) + 0.221  (x2 + 26.036)/(x2 + 3.835)                             123  dso       all             glider       30       2
    122            16       102  0.361799  0.337624  -0.221*x1 - 0.883*sin(x2) + 0.221  36.241/(x1 + x2)                                       122  dso       all             glider       30       2
     28            15       100  0.399805  0.376544  0.045*x2 - 0.969                   (x2 + 20.239)/(x1 + x2 - 1.794)                         28  dso       all             glider       30       2
     27            14        94  0.410061  0.394293  0.045*x2 - 0.969                   (x2 + 26.036)/(x2 + 3.835)                              27  dso       all             glider       30       2
     26            12        71  0.449877  0.42825   0.045*x2 - 0.969                   36.241/(x1 + x2)                                        26  dso       all             glider       30       2
      2            10        50  0.476499  0.462378  -0.148*x1                          36.241/(x1 + x2)                                         2  dso       all             glider       30       2
     24             8        64  0.66497   0.658101  0.045*x2 - 0.969                   1.104*x1                                                24  dso       all             glider       30       2
      0             6        43  0.694457  0.699952  -0.148*x1                          1.104*x1                                                 0  dso       all             glider       30       2
