  index    complexity    length          TE      TE_inf  expr_x                                               expr_y                                                   index_column  method    data_version    system      snr    init
    368            58       342  0.00466755  0.00466755  -0.05*x1**2 - (0.996 - 0.0004*x1**3)*sin(x2)         x1 - 0.003 + (0.997*cos(0.999*x2 - 3.121) + 0.004)/x1             368  dso       all             glider      inf       2
    188            35       210  0.0050939   0.0050939   -x1**2/(sin(x2 + 12.77) + 19.969) + sin(x2 + 9.425)  x1 - 0.003 + (0.997*cos(0.999*x2 - 3.121) + 0.004)/x1             188  dso       all             glider      inf       2
    186            30       167  0.00532499  0.00532499  -x1**2/(sin(x2 + 12.77) + 19.969) + sin(x2 + 9.425)  x1 + 0.999*cos(x2 + 3.143)/x1                                     186  dso       all             glider      inf       2
    171            26       146  0.00713638  0.00713638  0.006*x1*(-8.39*x1 + sin(x2)) - sin(x2)              x1 + 0.999*cos(x2 + 3.143)/x1                                     171  dso       all             glider      inf       2
     81            22       135  0.00867975  0.00867975  -0.05*x1**2 - 0.987*sin(x2)                          x1 + 0.999*cos(x2 + 3.143)/x1                                      81  dso       all             glider      inf       2
    135            16       125  0.101233    0.101233    -0.051*x1*(x1 - 0.067) - 0.987*cos(x2 - 1.575)       x1 + 0.067                                                        135  dso       all             glider      inf       2
     75            13        80  0.109391    0.109391    -0.05*x1**2 - 0.987*sin(x2)                          x1 + 0.067                                                         75  dso       all             glider      inf       2
     60            12        78  0.176724    0.176724    -0.295*x1 - sin(x2) + 0.368                          x1 + 0.067                                                         60  dso       all             glider      inf       2
     16            10        84  0.389785    0.389785    0.054*x2 - 1.108                                     4.53 - 0.134*x2                                                    16  dso       all             glider      inf       2
      1             8        64  0.404436    0.404436    -0.161*x1                                            4.53 - 0.134*x2                                                     1  dso       all             glider      inf       2
      0             6        47  0.573776    0.573776    -0.161*x1                                            x1 + 0.067                                                          0  dso       all             glider      inf       2
