	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
15	372	55	344	0.015799642158275246	0.015799642158275246	(x1 + sin(x2)/(0.052*x1 - 0.003))*(0.001*x1**2 - 0.053*x1 + 0.003)	0.991*x1 + (x1 - cos(x2))/(0.213*x1*sin(1.431 + 0.359/(x1 - 0.012)) + 0.769*x1 + 0.027) - 0.986	372	dso	all	glider	inf	1
14	366	51	296	0.01584849430727492	0.01584849430727492	(x1 + sin(x2)/(0.052*x1 - 0.003))*(0.001*x1**2 - 0.053*x1 + 0.003)	x1*(1.001 - 1.067*cos(x2)/((-sin(x1 + 3.757) - 3.633)*(-sin(x1 + 4.645) - 1.003)))	366	dso	all	glider	inf	1
13	339	47	263	0.018715426870380882	0.018715426870380882	(x1 + sin(x2)/(0.052*x1 - 0.003))*cos(0.052*x1 - 4.716)	x1*(1.001 - 1.067*cos(x2)/((-sin(x1 + 3.757) - 3.633)*(-sin(x1 + 4.645) - 1.003)))	339	dso	all	glider	inf	1
11	210	45	286	0.020787997013912336	0.020787997013912336	-0.052*x1*(x1 - 0.057) - sin(x2)	0.991*x1 + (x1 - cos(x2))/(0.213*x1*sin(1.431 + 0.359/(x1 - 0.012)) + 0.769*x1 + 0.027) - 0.986	210	dso	all	glider	inf	1
9	183	43	263	0.020818316575367153	0.020818316575367153	-0.052*x1*(x1 - 0.058) - sin(x2)	0.991*x1 + (x1 - cos(x2))/(0.213*x1*sin(1.431 + 0.359/(x1 - 0.012)) + 0.769*x1 + 0.027) - 0.986	183	dso	all	glider	inf	1
10	204	41	238	0.022618274056831575	0.022618274056831575	-0.052*x1*(x1 - 0.057) - sin(x2)	x1*(1.001 - 1.067*cos(x2)/((-sin(x1 + 3.757) - 3.633)*(-sin(x1 + 4.645) - 1.003)))	204	dso	all	glider	inf	1
8	177	39	215	0.02264015677996957	0.02264015677996957	-0.052*x1*(x1 - 0.058) - sin(x2)	x1*(1.001 - 1.067*cos(x2)/((-sin(x1 + 3.757) - 3.633)*(-sin(x1 + 4.645) - 1.003)))	177	dso	all	glider	inf	1
12	252	32	169	0.02654286347075702	0.02654286347075702	-0.049*x1*(x1 + 0.223/x2) - 0.992*sin(x2)	x1 - 0.014 + 0.027/(x1 - 0.081) - cos(x2)/x1	252	dso	all	glider	inf	1
7	113	18	89	0.03775977567005984	0.03775977567005984	-0.129*x1 - sin(x2) + 0.064	x1 - 0.879*cos(x2)/x1	113	dso	all	glider	inf	1
6	86	17	67	0.1022874784011997	0.1022874784011997	-0.09*x1 - sin(x2)	x1 - 0.879*cos(x2)/x1	86	dso	all	glider	inf	1
4	58	16	81	0.4656176031908888	0.4656176031908888	-sin(x2) - 0.113	x1 - 0.071*x2 + 0.796/x1	58	dso	all	glider	inf	1
5	59	15	64	0.8201877491293057	0.8201877491293057	-sin(x2) - 0.113	x1 - 0.879*cos(x2)/x1	59	dso	all	glider	inf	1
3	29	12	48	0.9635014794984729	0.9635014794984729	-1.113/x2	x1 + 0.568/x1	29	dso	all	glider	inf	1
2	3	11	70	1.0159598699015682	1.0159598699015682	-0.118*x1	x1 - 0.578 + 0.716/x1	3	dso	all	glider	inf	1
1	2	10	49	1.1606191347650554	1.1606191347650554	-0.118*x1	x1 + 0.568/x1	2	dso	all	glider	inf	1
0	0	8	45	1.2847658261863046	1.2847658261863046	-0.118*x1	3.055 - x1	0	dso	all	glider	inf	1
