  index    complexity    length           TE       TE_inf  expr_x                                                       expr_y                                        index_column  method    data_version    system      snr    init
    318            48       306  0.000108983  0.000108983  -0.049978094237551662*x1**2 + cos(x2 + 1.571)                x1 - 1.0*cos(x2)/x1                                    318  dso       allonger        glider      inf       1
    295            47       303  0.000115589  0.000115589  -0.04996004875498063*x1**2 + cos(x2 + 1.571)                 x1 - 1.0*cos(x2)/x1                                    295  dso       allonger        glider      inf       1
    272            45       304  0.000128908  0.000128908  -0.05004411290655933*x1**2 + cos(x2 + 1.571)                 x1 - 1.0*cos(x2)/x1                                    272  dso       allonger        glider      inf       1
    262            31       216  0.00213467   0.00213467   -0.05004411290655933*x1**2 + cos(x2 + 1.571)                 x1 + 0.001 - (0.003*x1 + 0.998)*cos(x2)/x1             262  dso       allonger        glider      inf       1
    238            30       179  0.00224728   0.00224728   -868.588*x1/(x2 - 112.769 + 17602.725/x1) + cos(x2 + 1.571)  x1 - 0.999*cos(1.0*x2)/x1                              238  dso       allonger        glider      inf       1
    236            28       161  0.00240362   0.00240362   -868.588*x1/(x2 - 112.769 + 17602.725/x1) + cos(x2 + 1.571)  x1 - 0.999*cos(x2)/x1                                  236  dso       allonger        glider      inf       1
    259            26       190  0.00310019   0.00310019   -0.05004411290655933*x1**2 + cos(x2 + 1.571)                 x1 - 0.999*cos(x2)/x1                                  259  dso       allonger        glider      inf       1
    169            24       180  0.0431533    0.0431533    -0.092*x1 + 0.004*x2 + cos(x2 + 1.598) - 0.024               x1 - 0.999*cos(1.0*x2)/x1                              169  dso       allonger        glider      inf       1
    166            22       160  0.043351     0.043351     -0.092*x1 + 0.004*x2 + cos(x2 + 1.598) - 0.024               x1 - 0.999*cos(x2)/x1                                  166  dso       allonger        glider      inf       1
     31            17       122  1.00661      1.00661      0.112 - 0.139*x1                                             x1 - 0.999*cos(1.0*x2)/x1                               31  dso       allonger        glider      inf       1
     28            15       102  1.00661      1.00661      0.112 - 0.139*x1                                             x1 - 0.999*cos(x2)/x1                                   28  dso       allonger        glider      inf       1
      2             9        35  1.1177       1.1177       -0.062*x1                                                    x1 - cos(x2)                                             2  dso       allonger        glider      inf       1
     23             8        65  1.31094      1.31094      0.112 - 0.139*x1                                             0.75*x1                                                 23  dso       allonger        glider      inf       1
      0             6        44  1.3457       1.3457       -0.062*x1                                                    0.75*x1                                                  0  dso       allonger        glider      inf       1
