  complexity    length         TE     TE_inf  expr_x                                 expr_y                                                                   index_column  method    exp_type    data_version    system      snr    init
           6         8  0.523126   0.523126   -0.161*x                               0.999*x                                                                             0  proged    numdif      all             glider      inf       2
           8        13  0.370527   0.370527   0.054*y - 1.108                        0.999*x                                                                             1  proged    numdif      all             glider      inf       2
          13        26  0.345235   0.345235   0.054*y - 1.108                        4.864 - 3.281*sin(0.059*y)                                                          2  proged    numdif      all             glider      inf       2
          14        28  0.323982   0.323982   -0.307*x - 0.982*sin(0.996*y) + 0.401  0.999*x                                                                             3  proged    numdif      all             glider      inf       2
          16        33  0.145165   0.145165   -0.307*x - 0.982*sin(0.996*y) + 0.401  4.53 - 0.134*y                                                                      4  proged    numdif      all             glider      inf       2
          19        41  0.0608864  0.0608864  -0.307*x - 0.982*sin(0.996*y) + 0.401  4.864 - 3.281*sin(0.059*y)                                                          5  proged    numdif      all             glider      inf       2
          15        26  0.261424   0.261424   -0.05*x**2 - 0.987*sin(1.0*y)          0.999*x                                                                             6  proged    numdif      all             glider      inf       2
          17        31  0.12777    0.12777    -0.05*x**2 - 0.987*sin(1.0*y)          4.53 - 0.134*y                                                                      7  proged    numdif      all             glider      inf       2
          22        41  0.0355931  0.0355931  -0.05*x**2 - 0.987*sin(1.0*y)          0.004*y**2 - 0.228*y + 4.92                                                         8  proged    numdif      all             glider      inf       2
          20        39  0.0372393  0.0372393  -0.05*x**2 - 0.987*sin(1.0*y)          4.864 - 3.281*sin(0.059*y)                                                          9  proged    numdif      all             glider      inf       2
          28        56  0.0152418  0.0152418  -0.05*x**2 - 0.987*sin(1.0*y)          0.088*x**2 - 0.062*y - 0.226*cos(0.991*y) + 2.822                                  10  proged    numdif      all             glider      inf       2
          24        48  0.0172481  0.0172481  -0.05*x**2 - 0.987*sin(1.0*y)          0.946*x - 0.031*y*cos(1.0*y) + 0.195                                               11  proged    numdif      all             glider      inf       2
          35        69  0.0104917  0.0104917  -0.05*x**2 - 0.987*sin(1.0*y)          -0.673*x*y/(3.568*x + 4.999) + 0.306*x + 0.006*y*sin(0.813*y) + 3.386              12  proged    numdif      all             glider      inf       2
