  complexity    length         TE     TE_inf  expr_x                                                                     expr_y                                                 index_column  method    exp_type    data_version    system      snr    init
           6         8  0.4925     0.4925     -0.166*x                                                                   1.008*x                                                           0  proged    numdif      all             glider      inf       3
           8        13  0.434663   0.434663   -0.166*x                                                                   3.93 - 0.113*y                                                    1  proged    numdif      all             glider      inf       3
          11        21  0.415588   0.415588   -0.166*x                                                                   1.089*cos(0.151*y) + 2.719                                        2  proged    numdif      all             glider      inf       3
          15        28  0.229831   0.229831   -0.147*x - 1.0*sin(1.002*y)                                                3.93 - 0.113*y                                                    3  proged    numdif      all             glider      inf       3
          14        28  0.309207   0.309207   -0.256*x - 1.0*sin(0.997*y) + 0.28                                         1.008*x                                                           4  proged    numdif      all             glider      inf       3
          16        33  0.134589   0.134589   -0.256*x - 1.0*sin(0.997*y) + 0.28                                         3.93 - 0.113*y                                                    5  proged    numdif      all             glider      inf       3
          19        41  0.0803726  0.0803726  -0.256*x - 1.0*sin(0.997*y) + 0.28                                         1.089*cos(0.151*y) + 2.719                                        6  proged    numdif      all             glider      inf       3
          20        43  0.0757922  0.0757922  -0.256*x - 1.0*sin(0.997*y) + 0.28                                         0.501*x*cos(0.101*y) + 1.981                                      7  proged    numdif      all             glider      inf       3
          24        50  0.0555577  0.0555577  -0.256*x - 1.0*sin(0.997*y) + 0.28                                         0.242*x - 0.111*y + 3.109 + 0.598/x**2                            8  proged    numdif      all             glider      inf       3
          22        45  0.0601154  0.0601154  -0.256*x - 1.0*sin(0.997*y) + 0.28                                         -0.139*y + 4.111 + 0.022*y/x**2                                   9  proged    numdif      all             glider      inf       3
          21        43  0.0612398  0.0612398  -0.256*x - 1.0*sin(0.997*y) + 0.28                                         -0.132*y + 4.072 + 0.315/x**3                                    10  proged    numdif      all             glider      inf       3
          42        84  0.0181021  0.0181021  -0.058*x**2 - 0.009*y - 0.993*sin(0.999*y) + 0.126                         0.999*x + 4.96*cos(1.0*y)/(-4.91*x - 0.059)                      11  proged    numdif      all             glider      inf       3
          40        82  0.0182062  0.0182062  -0.058*x**2 - 0.009*y - 0.993*sin(0.999*y) + 0.126                         0.997*x - 0.008*y*cos(1.0*y)/sin(0.008*x*y) + 0.008              12  proged    numdif      all             glider      inf       3
          17        31  0.128574   0.128574   -0.05*x**2 - 0.991*sin(1.0*y)                                              3.93 - 0.113*y                                                   13  proged    numdif      all             glider      inf       3
          29        55  0.0520413  0.0520413  -0.05*x**2 - 0.991*sin(1.0*y)                                              -0.07*x*y - 0.072*y + 4.539                                      14  proged    numdif      all             glider      inf       3
          25        48  0.0550414  0.0550414  -0.05*x**2 - 0.991*sin(1.0*y)                                              0.242*x - 0.111*y + 3.109 + 0.598/x**2                           15  proged    numdif      all             glider      inf       3
          31        60  0.0305197  0.0305197  -0.05*x**2 - 0.991*sin(1.0*y)                                              0.997*x - 0.008*y*cos(1.0*y)/sin(0.008*x*y) + 0.008              16  proged    numdif      all             glider      inf       3
          37        74  0.0185829  0.0185829  -0.055*x**2 + 0.023*x - 0.99*sin(1.0*y) - 0.021                            0.999*x + 4.96*cos(1.0*y)/(-4.91*x - 0.059)                      17  proged    numdif      all             glider      inf       3
          35        72  0.0186824  0.0186824  -0.055*x**2 + 0.023*x - 0.99*sin(1.0*y) - 0.021                            0.997*x - 0.008*y*cos(1.0*y)/sin(0.008*x*y) + 0.008              18  proged    numdif      all             glider      inf       3
          45        90  0.0108936  0.0108936  0.009*x*y - 0.173*x - 0.983*sin(1.006*y) - 0.142 - 0.152/(4.834*y - 1.11)  0.999*x + 4.96*cos(1.0*y)/(-4.91*x - 0.059)                      19  proged    numdif      all             glider      inf       3
          43        88  0.0117504  0.0117504  0.009*x*y - 0.173*x - 0.983*sin(1.006*y) - 0.142 - 0.152/(4.834*y - 1.11)  0.997*x - 0.008*y*cos(1.0*y)/sin(0.008*x*y) + 0.008              20  proged    numdif      all             glider      inf       3
