  index    complexity    length       TE    TE_inf  expr_x                                                 expr_y                                                                            expr_z                                 index_column  method    data_version    system      snr    init
   6342            47       345  3.20822   3.23084  -4.82*x1 + 4.82*x2 - 0.329*x3 + 13.917 - 94.497/x3     -6.48*x1 + (-0.021*x1 - 0.106*x3 + 4.382)*(2.2*x2 + x3 - 15.966) + 10.873         30.155*x1*x2/(x3 + 33.186) - 32.775            6342  dso       all             lorenz       13       2
   7794            45       306  3.3714    3.39185  -4.892*x1 + 4.835*x2 + 3.164 + (4.835*x1 - 57.764)/x3  -4.96*x1 + (x2 + x3)*(-0.072*x1 - 0.137*x3 + 7.371) - 68.482                      30.155*x1*x2/(x3 + 33.186) - 32.775            7794  dso       all             lorenz       13       2
   7090            44       306  3.47447   3.49516  -5.037*x1 + 14.332*x1/x3 + 4.632*x2                    -6.48*x1 + (-0.021*x1 - 0.106*x3 + 4.382)*(2.2*x2 + x3 - 15.966) + 10.873         30.155*x1*x2/(x3 + 33.186) - 32.775            7090  dso       all             lorenz       13       2
   4802            41       277  3.50167   3.59561  -4.862*x1 + 4.862*x2 + 4.808 - 76.274/x3               -4.96*x1 + (x2 + x3)*(-0.072*x1 - 0.137*x3 + 7.371) - 68.482                      30.155*x1*x2/(x3 + 33.186) - 32.775            4802  dso       all             lorenz       13       2
   3371            39       304  3.56585   3.66832  -4.452*x1 + 4.819*x2 - 1.445                           -7.797*x1 + (-0.019*x1 - 0.091*x3 + 4.111)*(x1 + 1.941*x2 + x3 - 14.749) + 6.393  0.305*x2*(x1 + 0.49*x2) - 31.111               3371  dso       all             lorenz       13       2
   4490            23       117  3.77336   4.10469  -4.862*x1 + 4.862*x2 + 4.808 - 76.274/x3               -x1 + x2                                                                          0.21*x2**2                                     4490  dso       all             lorenz       13       2
   4488            21       115  4.29102   4.67226  -4.862*x1 + 4.862*x2 + 4.808 - 76.274/x3               -x1 + x2                                                                          0.197*x2                                       4488  dso       all             lorenz       13       2
   3014            18       132  4.69081   5.02724  -4.452*x1 + 4.819*x2 - 1.445                           -4.747*x1 + 4.747*x2                                                              0.197*x2                                       3014  dso       all             lorenz       13       2
   2992            16        94  4.91419   5.38792  -4.452*x1 + 4.819*x2 - 1.445                           -x1 + x2                                                                          0.197*x2                                       2992  dso       all             lorenz       13       2
      2            15        40  5.23521   5.72082  -x1 + x2                                               -x1 + x2                                                                          0.21*x2**2                                        2  dso       all             lorenz       13       2
      0            13        38  5.6924    6.23307  -x1 + x2                                               -x1 + x2                                                                          0.197*x2                                          0  dso       all             lorenz       13       2
