  index    complexity    length        TE    TE_inf  expr_x                                                                                                               expr_y                                                        expr_z                    index_column  method    data_version    system      snr    init
  11023            69       390   1.50718   1.46525  -10.066*x1 + 10.066*x2 - (0.241 + 1.912/(47.807 + (x1 + x2 - x3**2 - 8.887)/(2*x1 - x2)))*(2*x1 + 148.533) + 31.334  x1*(-x3 + (-0.031*x1 - 0.94)*(0.158*x1 - 0.158*x3) + 23.452)  x1*x2 - 2.656*x3                 11023  dso       allonger        lorenz       30       3
  11004            68       348   1.50734   1.46542  -10.066*x1 + 10.066*x2 - (0.241 + 1.912/(47.807 + (x1 + x2 - x3**2 - 8.887)/(2*x1 - x2)))*(2*x1 + 148.533) + 31.334  x1*(-x3 - (0.005*x1 + 0.149)*(x1 - x3) + 23.452)              x1*x2 - 2.656*x3                 11004  dso       allonger        lorenz       30       3
   8059            53       289   1.55435   1.5146   -7.357*x1 + 8.986*x2 - 7.357*x3*(0.006*x1 + 0.006*x3/(x1 + x2/x1))                                                   x1*(-x3 + (-0.031*x1 - 0.94)*(0.158*x1 - 0.158*x3) + 23.452)  x1*x2 - 2.656*x3                  8059  dso       allonger        lorenz       30       3
   8040            52       247   1.55445   1.5147   -7.357*x1 + 8.986*x2 - 7.357*x3*(0.006*x1 + 0.006*x3/(x1 + x2/x1))                                                   x1*(-x3 - (0.005*x1 + 0.149)*(x1 - x3) + 23.452)              x1*x2 - 2.656*x3                  8040  dso       allonger        lorenz       30       3
   6083            43       275   1.57326   1.53436  11.639*x1 + (-2.219*x1 + x2)*(0.036*x3 + 8.225) - 3.286                                                              x1*(-x3 + (-0.031*x1 - 0.94)*(0.158*x1 - 0.158*x3) + 23.452)  x1*x2 - 2.656*x3                  6083  dso       allonger        lorenz       30       3
   6064            42       233   1.57337   1.53448  11.639*x1 + (-2.219*x1 + x2)*(0.036*x3 + 8.225) - 3.286                                                              x1*(-x3 - (0.005*x1 + 0.149)*(x1 - x3) + 23.452)              x1*x2 - 2.656*x3                  6064  dso       allonger        lorenz       30       3
   2131            34       201   1.57429   1.53589  -9.707*x1 + 9.728*x2                                                                                                 x1*(-x3 + (-0.031*x1 - 0.94)*(0.158*x1 - 0.158*x3) + 23.452)  x1*x2 - 2.656*x3                  2131  dso       allonger        lorenz       30       3
   2112            33       159   1.57432   1.53592  -9.707*x1 + 9.728*x2                                                                                                 x1*(-x3 - (0.005*x1 + 0.149)*(x1 - x3) + 23.452)              x1*x2 - 2.656*x3                  2112  dso       allonger        lorenz       30       3
   1657            31       209   1.72109   1.68863  -9.707*x1 + 9.728*x2                                                                                                 (0.145 - 0.272*x1)*(0.027*x1**2 + 3.187*x3 - 88.138)          0.967*x1*x2 - 2.569*x3            1657  dso       allonger        lorenz       30       3
    668            30       190   1.7359    1.70161  -9.727*x1 + 9.727*x2                                                                                                 (0.145 - 0.272*x1)*(0.027*x1**2 + 3.187*x3 - 88.138)          x1*x2 - 2.656*x3                   668  dso       allonger        lorenz       30       3
   3537            28       188   3.12695   3.13936  -0.025*x1*(x3 + 344.006) + 9.459*x2                                                                                  (23.696 - 0.902*x3)*(x1 - 0.72) + 5.011                       x1*x2 - 2.656*x3                  3537  dso       allonger        lorenz       30       3
   1087            26       186   4.67245   4.7001   -9.727*x1 + 9.727*x2                                                                                                 -0.902*x1*(x3 - 26.265) + 0.65*x3 - 12.055                    0.967*x1*x2 - 2.569*x3            1087  dso       allonger        lorenz       30       3
   2055            25       160   4.90291   4.93313  -9.707*x1 + 9.728*x2                                                                                                 (23.696 - 0.902*x3)*(x1 - 0.72) + 5.011                       x1*x2 - 2.656*x3                  2055  dso       allonger        lorenz       30       3
   5434            23       129   5.34609   5.36906  -0.036*x1*(x3 + 227.655) + 9.366*x2 - 0.072*x3                                                                       -x1 + x2                                                      27.92 - x3                        5434  dso       allonger        lorenz       30       3
   3458            20       103   6.23676   6.26355  -0.025*x1*(x3 + 344.006) + 9.459*x2                                                                                  -x1 + x2                                                      27.92 - x3                        3458  dso       allonger        lorenz       30       3
    494            17        75   6.25644   6.28331  -9.727*x1 + 9.727*x2                                                                                                 -x1 + x2                                                      27.92 - x3                         494  dso       allonger        lorenz       30       3
      0            15        39  19.4765   19.5444   -x1 + x2                                                                                                             -x1 + x2                                                      27.92 - x3                           0  dso       allonger        lorenz       30       3
