  index    complexity    length         TE     TE_inf  expr_x                expr_y                                      expr_z                                      index_column  method    data_version    system      snr    init
   1773            45       326   0.571535   0.571535  -9.977*x1 + 9.977*x2  -0.999*x1*(x3 - 27.935) - 0.954*x2 + 0.116  0.999*x2*(x1 + 0.009) - 2.691*x3 + 0.577            1773  dso       allonger        lorenz      inf       1
    973            44       305   0.579725   0.579725  -9.977*x1 + 9.977*x2  -0.999*x1*(x3 - 27.935) - 0.954*x2 + 0.116  0.999*x2*(x1 + 0.009) - 2.691*x3 + 0.577             973  dso       allonger        lorenz      inf       1
   1764            33       259   1.03702    1.03702   -9.977*x1 + 9.977*x2  -0.999*x1*(x3 - 27.935) - 0.954*x2 + 0.116  0.997*x1*x2 - 2.659*x3 + 0.042                      1764  dso       allonger        lorenz      inf       1
    964            32       238   1.03975    1.03975   -9.977*x1 + 9.977*x2  -0.999*x1*(x3 - 27.935) - 0.954*x2 + 0.116  0.997*x1*x2 - 2.659*x3 + 0.042                       964  dso       allonger        lorenz      inf       1
    865            28       214   1.86816    1.86816   -9.977*x1 + 9.977*x2  -0.996*x1*(x3 - 27.997) - 0.996*x2          0.997*x1*(x2 + 0.001) - 2.66*x3 + 0.042              865  dso       allonger        lorenz      inf       1
    864            26       186   2.12529    2.12529   -9.977*x1 + 9.977*x2  -0.996*x1*(x3 - 27.997) - 0.996*x2          0.997*x1*x2 - 2.659*x3 + 0.042                       864  dso       allonger        lorenz      inf       1
    843            23       148   3.94679    3.94679   -9.977*x1 + 9.977*x2  x1*(25.62 - 0.952*x3)                       x1*(x2 - 0.002) - 2.666*x3                           843  dso       allonger        lorenz      inf       1
   1642            21       159   5.18414    5.18414   -9.977*x1 + 9.977*x2  x1*(25.62 - 0.952*x3)                       0.928*x1*x2 - 62.398                                1642  dso       allonger        lorenz      inf       1
    842            20       138   5.3479     5.3479    -9.977*x1 + 9.977*x2  x1*(25.62 - 0.952*x3)                       0.928*x1*x2 - 62.398                                 842  dso       allonger        lorenz      inf       1
   1241            19       115   6.8584     6.8584    -9.977*x1 + 9.977*x2  x1*(25.62 - 0.952*x3)                       0.382*x2**2                                         1241  dso       allonger        lorenz      inf       1
     42            18       100  12.1409    12.1409    -x1 + x2              x1*(25.62 - 0.952*x3)                       0.928*x1*x2 - 62.398                                  42  dso       allonger        lorenz      inf       1
    801            17        79  16.3046    16.3046    -9.977*x1 + 9.977*x2  -x1 + x2                                    0.382*x2**2                                          801  dso       allonger        lorenz      inf       1
    800            15        76  22.1783    22.1783    -9.977*x1 + 9.977*x2  -x1 + x2                                    x2 - 4.025                                           800  dso       allonger        lorenz      inf       1
      0            13        38  53.8784    53.8784    -x1 + x2              -x1 + x2                                    x2 - 4.025                                             0  dso       allonger        lorenz      inf       1
