	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	42	84	1.3008859353466955	1.2557399173534547	0.1*x*y - 7.258*x + 7.916*y - 12.266	0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37	0.713*x*y - 1.873*z	0	proged	numdif	all	lorenz	30	3
1	17	30	7.760589752413404	7.730580541714197	0.531*y	-0.033*x*z	0.032*x*y*z - 3.428*z + 30.0	1	proged	numdif	all	lorenz	30	3
2	9	12	10.774161249713172	10.731018070759037	0.531*y	0.142*z	-1.029*y	2	proged	numdif	all	lorenz	30	3
3	15	26	9.254786938694416	9.211114227547437	0.531*y	0.142*z	0.705*x*y - 2.082*z + 6.307	3	proged	numdif	all	lorenz	30	3
4	22	38	6.97188052993234	6.967357188129959	0.531*y	0.001*x**4	-3.886*x*y/(y - 14.528) - 6.698*y + 7.711	4	proged	numdif	all	lorenz	30	3
5	24	42	3.1244744338990147	3.150545564189865	-6.77*x + 7.014*y - 1.742	-0.548*x*z + 14.677*x	0.713*x*y - 1.873*z	5	proged	numdif	all	lorenz	30	3
6	28	54	2.9081980497271394	2.9203565998697965	-6.77*x + 7.014*y - 1.742	-0.548*x*z + 14.677*x	0.644*x*y - 1.435*x - 1.836*z + 15.028	6	proged	numdif	all	lorenz	30	3
7	38	75	1.411383007161288	1.365445428130781	-6.77*x + 7.014*y - 1.742	0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37	0.713*x*y - 1.873*z	7	proged	numdif	all	lorenz	30	3
8	41	82	1.3801539814279975	1.3473876960302955	-6.77*x + 7.014*y - 1.742	0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37	0.669*x*y - 1.268*x - 1.401*z	8	proged	numdif	all	lorenz	30	3
9	43	85	1.174180271444442	1.1377187603642291	-7.455*x + 0.099*y**2 + 8.598*y - 16.498	0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37	0.713*x*y - 1.873*z	9	proged	numdif	all	lorenz	30	3
10	11	15	10.620076063475109	10.576020237745087	0.004*y**3	0.142*z	-1.029*y	10	proged	numdif	all	lorenz	30	3
11	18	31	7.5983336528506715	7.565673807739477	0.004*y**3	0.142*z	0.032*x*y*z - 3.428*z + 30.0	11	proged	numdif	all	lorenz	30	3
12	13	19	9.843329845278046	9.794675313305381	-6.894*x + 6.961*y	0.142*z	-1.029*y	12	proged	numdif	all	lorenz	30	3
13	23	37	3.2690454453567295	3.2933568342605675	-6.894*x + 6.961*y	-0.548*x*z + 14.677*x	0.713*x*y - 1.873*z	13	proged	numdif	all	lorenz	30	3
14	27	49	3.0320266491601173	3.04539905124816	-6.894*x + 6.961*y	-0.548*x*z + 14.677*x	0.644*x*y - 1.435*x - 1.836*z + 15.028	14	proged	numdif	all	lorenz	30	3
15	37	70	1.439689213246528	1.3958753563427888	-6.894*x + 6.961*y	0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37	0.713*x*y - 1.873*z	15	proged	numdif	all	lorenz	30	3
16	40	77	1.4078636646624767	1.3770167538802103	-6.894*x + 6.961*y	0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37	0.669*x*y - 1.268*x - 1.401*z	16	proged	numdif	all	lorenz	30	3
17	32	59	2.3002323282114174	2.3009097397004057	-8.315*x + 7.442*y - 0.075*z**2 + 3.447*z - 30.0	-0.548*x*z + 14.677*x	0.713*x*y - 1.873*z	17	proged	numdif	all	lorenz	30	3
18	46	92	1.0355486922709833	0.9820862134187471	-8.315*x + 7.442*y - 0.075*z**2 + 3.447*z - 30.0	0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37	0.713*x*y - 1.873*z	18	proged	numdif	all	lorenz	30	3
19	30	54	2.697770288272339	2.712440370396181	-0.009*x*y**2 - 7.225*x + 9.475*y - 12.927	-0.548*x*z + 14.677*x	0.713*x*y - 1.873*z	19	proged	numdif	all	lorenz	30	3
20	44	87	1.1318663591837947	1.084891852870121	-0.009*x*y**2 - 7.225*x + 9.475*y - 12.927	0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37	0.713*x*y - 1.873*z	20	proged	numdif	all	lorenz	30	3
21	31	63	2.6216304214201163	2.6352258254869847	-0.216*x*z + 0.279*y*z - 13.782	-0.533*x*z + 13.575*x + 6.677	0.644*x*y - 1.435*x - 1.836*z + 15.028	21	proged	numdif	all	lorenz	30	3
