	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	17	30	7.8295258393111276	7.8295258393111276	0.511*y	-0.034*x*z	0.035*x*y*z - 3.611*z + 30.0	0	proged	numdif	all	lorenz	inf	3
1	9	12	10.723067581802892	10.723067581802892	0.511*y	0.151*z	-1.127*y	1	proged	numdif	all	lorenz	inf	3
2	12	17	10.718340155839362	10.718340155839362	0.511*y	0.001*x**4	0.181*x*y	2	proged	numdif	all	lorenz	inf	3
3	25	47	3.6327573258143895	3.6327573258143895	-6.9*x + 7.097*y - 1.476	-0.483*x*z + 12.527*x + 3.98	0.768*x*y - 2.018*z	3	proged	numdif	all	lorenz	inf	3
4	28	54	3.0596755393332935	3.0596755393332935	-6.9*x + 7.097*y - 1.476	-0.493*x*z + 13.216*x	0.695*x*y - 1.587*x - 1.892*z + 13.967	4	proged	numdif	all	lorenz	inf	3
5	38	75	1.451697814229441	1.451697814229441	-6.9*x + 7.097*y - 1.476	0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755	0.768*x*y - 2.018*z	5	proged	numdif	all	lorenz	inf	3
6	41	82	1.296892362963959	1.296892362963959	-6.9*x + 7.097*y - 1.476	0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755	0.72*x*y - 1.399*x - 1.502*z	6	proged	numdif	all	lorenz	inf	3
7	43	85	1.21379319798142	1.21379319798142	-7.593*x + 0.097*y**2 + 8.657*y - 15.859	0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755	0.768*x*y - 2.018*z	7	proged	numdif	all	lorenz	inf	3
8	13	19	9.718198163453312	9.718198163453312	-7.007*x + 7.052*y	0.151*z	-1.127*y	8	proged	numdif	all	lorenz	inf	3
9	24	42	3.690705370522915	3.690705370522915	-7.007*x + 7.052*y	-0.483*x*z + 12.527*x + 3.98	0.768*x*y - 2.018*z	9	proged	numdif	all	lorenz	inf	3
10	26	44	3.4683020445949992	3.4683020445949992	-7.007*x + 7.052*y	-0.445*x*z + 10.928*x + 0.346*z	0.768*x*y - 2.018*z	10	proged	numdif	all	lorenz	inf	3
11	23	37	3.8104690236930434	3.8104690236930434	-7.007*x + 7.052*y	-0.493*x*z + 13.216*x	0.768*x*y - 2.018*z	11	proged	numdif	all	lorenz	inf	3
12	27	49	3.1680056738947	3.1680056738947	-7.007*x + 7.052*y	-0.493*x*z + 13.216*x	0.695*x*y - 1.587*x - 1.892*z + 13.967	12	proged	numdif	all	lorenz	inf	3
13	37	70	1.469211679505025	1.469211679505025	-7.007*x + 7.052*y	0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755	0.768*x*y - 2.018*z	13	proged	numdif	all	lorenz	inf	3
14	40	77	1.322856484194959	1.322856484194959	-7.007*x + 7.052*y	0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755	0.72*x*y - 1.399*x - 1.502*z	14	proged	numdif	all	lorenz	inf	3
15	32	59	2.607758398112621	2.607758398112621	-9.174*x + 7.903*y - 0.082*z**2 + 3.746*z - 30.0	-0.493*x*z + 13.216*x	0.768*x*y - 2.018*z	15	proged	numdif	all	lorenz	inf	3
16	46	92	0.9692868286590354	0.9692868286590354	-9.174*x + 7.903*y - 0.082*z**2 + 3.746*z - 30.0	0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755	0.768*x*y - 2.018*z	16	proged	numdif	all	lorenz	inf	3
17	49	99	0.9155180157939532	0.9155180157939532	-9.174*x + 7.903*y - 0.082*z**2 + 3.746*z - 30.0	0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755	0.72*x*y - 1.399*x - 1.502*z	17	proged	numdif	all	lorenz	inf	3
18	31	59	2.9016189352889468	2.9016189352889468	-0.01*x*y**2 - 7.409*x + 9.661*y - 12.885	-0.483*x*z + 12.527*x + 3.98	0.768*x*y - 2.018*z	18	proged	numdif	all	lorenz	inf	3
19	34	66	2.446402419155679	2.446402419155679	-0.01*x*y**2 - 7.409*x + 9.661*y - 12.885	-0.493*x*z + 13.216*x	0.695*x*y - 1.587*x - 1.892*z + 13.967	19	proged	numdif	all	lorenz	inf	3
20	44	87	1.120852592831825	1.120852592831825	-0.01*x*y**2 - 7.409*x + 9.661*y - 12.885	0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755	0.768*x*y - 2.018*z	20	proged	numdif	all	lorenz	inf	3
21	33	65	2.6054693305838175	2.6054693305838175	-0.211*x*z + 0.275*y*z - 14.28	-0.445*x*z + 10.928*x + 0.346*z	0.695*x*y - 1.587*x - 1.892*z + 13.967	21	proged	numdif	all	lorenz	inf	3
