  complexity    length        TE    TE_inf  expr_x                                  expr_y                                                  expr_z                index_column  method    exp_type    data_version    system      snr    init
           9        12  14.8151   15.1285   0.454*y                                 -0.451*x                                                -0.757*y                         0  proged    numdif      allonger        lorenz       30       0
          10        14  13.9697   14.2551   0.454*y                                 -0.451*x                                                0.197*x*y                        1  proged    numdif      allonger        lorenz       30       0
          11        15  13.887    14.1698   0.454*y                                 -0.451*x                                                -0.015*y**3                      2  proged    numdif      allonger        lorenz       30       0
          22        41   8.88593   9.02776  -9.366*x + 9.434*y - 0.48               -0.896*x*z + 23.831*x + 3.179                           -0.015*y**3                      3  proged    numdif      allonger        lorenz       30       0
          14        21  12.6199   12.8506   -9.413*x + 9.428*y                      -0.035*x*z                                              -0.757*y                         4  proged    numdif      allonger        lorenz       30       0
          13        19  13.6179   13.891    -9.413*x + 9.428*y                      -0.451*x                                                -0.757*y                         5  proged    numdif      allonger        lorenz       30       0
          23        41   7.86926   7.94511  -9.413*x + 9.428*y                      -0.896*x*z + 23.831*x + 3.179                           0.469*y**2 - 30.0                6  proged    numdif      allonger        lorenz       30       0
          21        36   8.99639   9.1415   -9.413*x + 9.428*y                      -0.896*x*z + 23.831*x + 3.179                           -0.015*y**3                      7  proged    numdif      allonger        lorenz       30       0
          25        43   3.44074   3.46569  -9.413*x + 9.428*y                      -0.874*x*z + 22.872*x + 0.235*z                         0.469*y**2 - 30.0                8  proged    numdif      allonger        lorenz       30       0
          20        31   9.31772   9.46933  -9.413*x + 9.428*y                      -0.907*x*z + 24.482*x                                   -0.015*y**3                      9  proged    numdif      allonger        lorenz       30       0
          26        48   3.32352   3.3482   -9.413*x + 9.428*y                      -0.846*x*z + 22.126*x + 0.853*z - 16.959                0.469*y**2 - 30.0               10  proged    numdif      allonger        lorenz       30       0
          27        49   2.65299   2.65628  -9.413*x + 9.428*y                      -0.846*x*z + 22.126*x + 0.853*z - 16.959                0.994*x*y - 2.64*z              11  proged    numdif      allonger        lorenz       30       0
          24        43   7.34333   7.45413  -9.413*x + 9.428*y                      -0.846*x*z + 22.126*x + 0.853*z - 16.959                -0.015*y**3                     12  proged    numdif      allonger        lorenz       30       0
          41        77   1.25892   1.19067  -9.413*x + 9.428*y                      -0.e-3*x*y*z - 0.818*x*z + 21.931*x + 0.829*z - 18.318  0.994*x*y - 2.64*z              13  proged    numdif      allonger        lorenz       30       0
          32        63   1.95972   1.93193  -0.033*x*z - 8.023*x + 9.099*y - 1.431  -0.846*x*z + 22.126*x + 0.853*z - 16.959                0.994*x*y - 2.64*z              14  proged    numdif      allonger        lorenz       30       0
          18        30  12.6194   12.8499   -9.368*x - 0.007*y*z + 9.578*y          -0.035*x*z                                              -0.757*y                        15  proged    numdif      allonger        lorenz       30       0
          31        58   2.38274   2.37464  -9.368*x - 0.007*y*z + 9.578*y          -0.846*x*z + 22.126*x + 0.853*z - 16.959                0.994*x*y - 2.64*z              16  proged    numdif      allonger        lorenz       30       0
          45        86   1.25647   1.18781  -9.368*x - 0.007*y*z + 9.578*y          -0.e-3*x*y*z - 0.818*x*z + 21.931*x + 0.829*z - 18.318  0.994*x*y - 2.64*z              17  proged    numdif      allonger        lorenz       30       0
