  complexity    length         TE     TE_inf  expr_x                        expr_y                                                         expr_z                                               index_column  method    exp_type    data_version    system      snr    init
           9        12  15.0222    15.0222    0.453*y                       -0.449*x                                                       -0.758*y                                                        0  proged    numdif      allonger        lorenz      inf       0
          10        14  14.1257    14.1257    0.453*y                       -0.449*x                                                       0.194*x*y                                                       1  proged    numdif      allonger        lorenz      inf       0
          14        21  13.0009    13.0009    0.453*y                       -0.449*x                                                       0.995*x*y - 2.653*z                                             2  proged    numdif      allonger        lorenz      inf       0
          15        26  12.9727    12.9727    0.453*y                       -0.449*x                                                       0.995*x*y - 2.663*z + 0.273                                     3  proged    numdif      allonger        lorenz      inf       0
          11        15  14.0295    14.0295    0.453*y                       -0.449*x                                                       -0.015*y**3                                                     4  proged    numdif      allonger        lorenz      inf       0
          18        33  12.9589    12.9589    0.453*y                       -0.449*x                                                       0.994*x*y - 0.02*x - 2.66*z + 0.403                             5  proged    numdif      allonger        lorenz      inf       0
          20        36   8.32567    8.32567   0.453*y                       -0.992*x*z + 27.696*x - 0.942*y + 0.166                        -0.015*y**3                                                     6  proged    numdif      allonger        lorenz      inf       0
          54       107   0.258723   0.258723  -9.967*x + 9.965*y + 0.001*z  -0.996*x*z + 27.796*x + 0.555*x/(x + 22.782) - 0.908*y         0.996*x*y - 0.063*x + 0.002*y*z - 2.663*z + 0.233               7  proged    numdif      allonger        lorenz      inf       0
          31        61   0.954515   0.954515  -9.967*x + 9.965*y + 0.001*z  -0.992*x*z + 27.696*x - 0.942*y + 0.166                        0.995*x*y - 2.663*z + 0.273                                     8  proged    numdif      allonger        lorenz      inf       0
          37        73   0.713446   0.713446  -9.967*x + 9.965*y + 0.001*z  -0.992*x*z + 27.696*x - 0.942*y + 0.166                        0.997*x*y - 2.664*z + 0.083                                     9  proged    numdif      allonger        lorenz      inf       0
          43        87   0.701075   0.701075  -9.967*x + 9.965*y + 0.001*z  -0.99*x*z + 27.566*x - 0.917*y - 0.003*z**2 + 0.123*z - 0.841  0.995*x*y - 2.663*z + 0.273                                    10  proged    numdif      allonger        lorenz      inf       0
          49        99   0.467056   0.467056  -9.967*x + 9.965*y + 0.001*z  -0.99*x*z + 27.566*x - 0.917*y - 0.003*z**2 + 0.123*z - 0.841  0.997*x*y - 2.664*z + 0.083                                    11  proged    numdif      allonger        lorenz      inf       0
          13        19  13.8905    13.8905    -9.966*x + 9.966*y            -0.449*x                                                       -0.758*y                                                       12  proged    numdif      allonger        lorenz      inf       0
          44        84   0.499726   0.499726  -9.966*x + 9.966*y            -0.996*x*z + 27.796*x + 0.555*x/(x + 22.782) - 0.908*y         0.995*x*y - 2.663*z + 0.273                                    13  proged    numdif      allonger        lorenz      inf       0
          51       100   0.26816    0.26816   -9.966*x + 9.966*y            -0.996*x*z + 27.796*x + 0.555*x/(x + 22.782) - 0.908*y         0.996*x*y - 0.063*x + 0.002*y*z - 2.663*z + 0.233              14  proged    numdif      allonger        lorenz      inf       0
          50        96   0.282194   0.282194  -9.966*x + 9.966*y            -0.996*x*z + 27.796*x + 0.555*x/(x + 22.782) - 0.908*y         0.997*x*y - 2.664*z + 0.083                                    15  proged    numdif      allonger        lorenz      inf       0
          27        49   1.28784    1.28784   -9.966*x + 9.966*y            -0.992*x*z + 27.696*x - 0.942*y + 0.166                        0.995*x*y - 2.653*z                                            16  proged    numdif      allonger        lorenz      inf       0
          28        54   0.968264   0.968264  -9.966*x + 9.966*y            -0.992*x*z + 27.696*x - 0.942*y + 0.166                        0.995*x*y - 2.663*z + 0.273                                    17  proged    numdif      allonger        lorenz      inf       0
          34        66   0.727738   0.727738  -9.966*x + 9.966*y            -0.992*x*z + 27.696*x - 0.942*y + 0.166                        0.997*x*y - 2.664*z + 0.083                                    18  proged    numdif      allonger        lorenz      inf       0
          46        92   0.480328   0.480328  -9.966*x + 9.966*y            -0.99*x*z + 27.566*x - 0.917*y - 0.003*z**2 + 0.123*z - 0.841  0.997*x*y - 2.664*z + 0.083                                    19  proged    numdif      allonger        lorenz      inf       0
          57       113   0.249255   0.249255  -9.96*x + 9.995*y - 0.214     -0.996*x*z + 27.796*x + 0.555*x/(x + 22.782) - 0.908*y         0.997*x*y - 2.664*z + 0.083                                    20  proged    numdif      allonger        lorenz      inf       0
          41        83   0.712226   0.712226  -9.96*x + 9.995*y - 0.214     -0.992*x*z + 27.696*x - 0.942*y + 0.166                        0.997*x*y - 2.664*z + 0.083                                    21  proged    numdif      allonger        lorenz      inf       0
