	complexity	length	TE	TE_inf	expr_x	expr_y	expr_z	index_column	method	exp_type	data_version	system	snr	init
0	9	12	12.429657548891537	12.62008057529257	0.604*y	-0.633*x	-0.114*y	0	proged	numdif	allonger	lorenz	30	3
1	11	15	9.042832998935923	9.144846403744786	0.604*y	-0.633*x	0.241*y**2	1	proged	numdif	allonger	lorenz	30	3
2	24	46	6.853487610104387	6.909390957092256	-9.644*x + 9.734*y - 0.639	-0.91*x*z + 24.117*x + 3.522	0.491*y**2 - 30.0	2	proged	numdif	allonger	lorenz	30	3
3	26	48	3.2900845646432577	3.3072496122867827	-9.644*x + 9.734*y - 0.639	-0.899*x*z + 23.507*x + 0.236*z	0.491*y**2 - 30.0	3	proged	numdif	allonger	lorenz	30	3
4	28	50	3.2728086226184523	3.289661666850176	-9.629*x + 9.734*y - 0.029*z	-0.899*x*z + 23.507*x + 0.236*z	0.491*y**2 - 30.0	4	proged	numdif	allonger	lorenz	30	3
5	23	41	6.901403736303029	6.956358653272122	-9.707*x + 9.728*y	-0.91*x*z + 24.117*x + 3.522	0.491*y**2 - 30.0	5	proged	numdif	allonger	lorenz	30	3
6	25	43	3.293720473744459	3.310882650902238	-9.707*x + 9.728*y	-0.899*x*z + 23.507*x + 0.236*z	0.491*y**2 - 30.0	6	proged	numdif	allonger	lorenz	30	3
7	21	35	8.874314848901	8.93903281813676	-9.707*x + 9.728*y	-0.923*x*z + 24.87*x	0.554*x*y - 30.0	7	proged	numdif	allonger	lorenz	30	3
8	22	36	8.357596783404723	8.427103956047633	-9.707*x + 9.728*y	-0.923*x*z + 24.87*x	0.491*y**2 - 30.0	8	proged	numdif	allonger	lorenz	30	3
9	30	57	3.232604202577448	3.24960817133845	-9.707*x + 9.728*y	-0.007*x*y - 0.902*x*z + 23.674*x + 0.661*z - 11.8	0.491*y**2 - 30.0	9	proged	numdif	allonger	lorenz	30	3
10	35	65	1.9315141692051254	1.90713998261022	-9.707*x + 9.728*y	-0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818	0.967*x*y - 2.569*z	10	proged	numdif	allonger	lorenz	30	3
11	36	70	1.901719874744732	1.8755099133347817	-9.707*x + 9.728*y	-0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818	0.967*x*y - 2.625*z + 1.58	11	proged	numdif	allonger	lorenz	30	3
12	39	77	1.8951334136657003	1.8687990718221081	-9.707*x + 9.728*y	-0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818	0.966*x*y - 0.186*x - 2.59*z + 2.185	12	proged	numdif	allonger	lorenz	30	3
13	51	103	1.873823794353611	1.8461293982020686	-0.119*x**3/(x - 30.0) - 0.068*x*z - 7.555*x + 9.027*y - 0.365	-0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818	0.967*x*y - 2.625*z + 1.58	13	proged	numdif	allonger	lorenz	30	3
14	31	58	3.1729800371272523	3.181295589183028	-9.606*x - 0.013*y*z + 9.985*y	-0.899*x*z + 23.507*x + 0.236*z	0.967*x*y - 2.625*z + 1.58	14	proged	numdif	allonger	lorenz	30	3
15	34	65	1.9518497935487362	1.931880398418393	-9.606*x - 0.013*y*z + 9.985*y	-0.899*x*z + 23.507*x + 0.236*z	0.966*x*y - 0.186*x - 2.59*z + 2.185	15	proged	numdif	allonger	lorenz	30	3
16	40	79	1.8937628707811178	1.8667657133296243	-9.606*x - 0.013*y*z + 9.985*y	-0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818	0.967*x*y - 2.625*z + 1.58	16	proged	numdif	allonger	lorenz	30	3
17	43	86	1.887685627156463	1.8605754897862592	-9.606*x - 0.013*y*z + 9.985*y	-0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818	0.966*x*y - 0.186*x - 2.59*z + 2.185	17	proged	numdif	allonger	lorenz	30	3
18	46	94	1.8857902489809506	1.8584761610990537	-0.e-3*x*z**2 - 8.599*x + 9.372*y - 2.367	-0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818	0.966*x*y - 0.186*x - 2.59*z + 2.185	18	proged	numdif	allonger	lorenz	30	3
