  index    complexity    length        TE    TE_inf  expr_x                                   expr_y                                                                                               index_column  method    data_version    system      snr    init
    271            48       280  0.262334  0.198197  x2**2*(x2*(3.623*x1 - 41.363) + 15.182)  x2*(-x2 + (0.024*x1**2 - x2 + 0.345)*(9.134*x2 - 4.567*x2/(0.013*x1 + 1.276*x2) + 0.405) - 0.202)             271  dso       all             lv           30       2
    264            33       202  0.28149   0.224365  x2**2*(x2*(3.623*x1 - 41.363) + 15.182)  x2**2*(x2 - 0.583)*(1.979*x1 - 4.331*x2 - 8.275) - x2 + 0.002                                                 264  dso       all             lv           30       2
    257            27       143  0.376086  0.327242  x2**2*(x2*(3.623*x1 - 41.363) + 15.182)  1.76/(4.639 - (x1 + 1.663)/x2)                                                                                257  dso       all             lv           30       2
    260            26       144  0.749399  0.706934  x2**2*(x2*(3.623*x1 - 41.363) + 15.182)  -2.132*x1/(x1 - 10.686 + 9.605/x2)                                                                            260  dso       all             lv           30       2
    178            25       125  0.861263  0.812782  x2**3*(2*x1 - 20.749)                    x1/(-2.716*x2 + 7.263 - 5.704/x2) - 0.005                                                                     178  dso       all             lv           30       2
     59            16        78  1.04643   0.997501  x2*(x1 - 13.948*x2)                      x2*(-5.67 + 10.75/x1)                                                                                          59  dso       all             lv           30       2
     58            14        61  1.21      1.16361   x2*(x1 - 13.948*x2)                      x2**2*(x2 - 4.037)                                                                                             58  dso       all             lv           30       2
     84            12        68  1.53112   1.49189   x2*(-27.447 + 60.155/x1)                 -2.822*x2                                                                                                      84  dso       all             lv           30       2
      4            11        74  3.08235   3.08252   -11.511*x2                               x2*(x1 - 1.893)*(x2 - 2.665)                                                                                    4  dso       all             lv           30       2
     28             8        45  3.32691   3.29644   -9.957*x2**2                             -2.822*x2                                                                                                      28  dso       all             lv           30       2
      0             6        44  5.10208   5.07112   -11.511*x2                               -2.822*x2                                                                                                       0  dso       all             lv           30       2
