	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
12	239	61	294	1.2866462524949664	1.5605286582364526	x1/(x2*(-x1*(x1 - 2.586) - 3.655*x2 + 15.782) - 19.14)	-0.002*x1/((1.066 - x2)*(3*x1 - 1.435*x1/(1.024 - x2) + 2*x2 - 3.118)) - 1.43 - (-x1 - 2.921)/x2	239	dso	all	lv	13	0
11	158	58	280	1.3131651637440673	1.6659822288791248	0.252/(1.263 + 0.987/(x1*(x1 - 1.759)))	-0.002*x1/((1.066 - x2)*(3*x1 - 1.435*x1/(1.024 - x2) + 2*x2 - 3.118)) - 1.43 - (-x1 - 2.921)/x2	158	dso	all	lv	13	0
10	104	51	222	1.3273898076583388	1.6337099746376744	x1**2*(x1*x2 - 5.426)	-0.002*x1/((1.066 - x2)*(3*x1 - 1.435*x1/(1.024 - x2) + 2*x2 - 3.118)) - 1.43 - (-x1 - 2.921)/x2	104	dso	all	lv	13	0
7	77	49	219	1.3373987182321754	1.6649359236007342	x1**2*(x1 - 4.733)	-0.002*x1/((1.066 - x2)*(3*x1 - 1.435*x1/(1.024 - x2) + 2*x2 - 3.118)) - 1.43 - (-x1 - 2.921)/x2	77	dso	all	lv	13	0
9	97	47	234	1.3542500992931175	1.7967369970664497	x1**2*(x1*x2 - 5.426)	-0.017*x1 - (0.017*x2 + 0.008/(1.07 - x2))/((x2 - 0.967)*(x2 + 0.502/(1.285 - x2))) + 0.086	97	dso	all	lv	13	0
6	70	45	231	1.3622779704834789	1.8106441932888497	x1**2*(x1 - 4.733)	-0.017*x1 - (0.017*x2 + 0.008/(1.07 - x2))/((x2 - 0.967)*(x2 + 0.502/(1.285 - x2))) + 0.086	70	dso	all	lv	13	0
14	466	44	235	1.3733942196283195	2.2007448817639657	x1**2*x2/(-x1 - (0.078*x1 + 0.013)/(x1 + x2 - 2.156) - 1.753 + 4.187/x2)	x1 + 0.006/(-x2*(x2 - 0.865) + 1.173)	466	dso	all	lv	13	0
13	439	42	217	1.3737036700616585	2.230090609887192	x1**2*x2/(-x1 - 1.116*x2 - (0.122*x1 + 0.02)/(x1 + x2 - 2.156) + 2.702)	x1 + 0.006/(-x2*(x2 - 0.865) + 1.173)	439	dso	all	lv	13	0
8	94	38	184	1.3851390415687501	1.8111764354629876	x1**2*(x1*x2 - 5.426)	0.007 + 0.002/(x2 + 0.929/(1.018 - x2)) - 0.001/(x1*(0.97 - x2))	94	dso	all	lv	13	0
5	67	36	181	1.4000424848624657	1.8448429296330136	x1**2*(x1 - 4.733)	0.007 + 0.002/(x2 + 0.929/(1.018 - x2)) - 0.001/(x1*(0.97 - x2))	67	dso	all	lv	13	0
2	7	17	100	1.425789456945238	1.787087480783482	-2.492*x1	x1 + 0.006/(-x2*(x2 - 0.865) + 1.173)	7	dso	all	lv	13	0
1	4	13	69	1.5128842339446726	2.4844437980069287	-2.492*x1	-1.262*x1/(0.964 - x2)	4	dso	all	lv	13	0
4	55	12	71	1.6518009271918221	3.1622515352533918	x1**2*(x1 - 4.733)	2.28*x1 - 0.212	55	dso	all	lv	13	0
3	28	10	66	1.7532983550324337	3.636175704420964	-3.806*x1**2	2.28*x1 - 0.212	28	dso	all	lv	13	0
0	0	6	43	1.8005183170691712	3.861704675594582	-2.492*x1	1.806*x1	0	dso	all	lv	13	0
