  complexity    length         TE     TE_inf  expr_x                                                     expr_y                                                             index_column  method    exp_type    data_version    system      snr    init
          12        22  0.433182   0.433182   -0.933*x*y                                                 -2.312*x - 2.38*y + 4.755                                                     0  proged    numdif      all             lv          inf       0
           9        13  0.801491   0.801491   -0.933*x*y                                                 -5.0*x**2                                                                     1  proged    numdif      all             lv          inf       0
           7        10  2.74907    2.74907    -2.244*x                                                   -1.398*x*y                                                                    2  proged    numdif      all             lv          inf       0
           6         8  3.2982     3.2982     -2.244*x                                                   -3.304*x                                                                      3  proged    numdif      all             lv          inf       0
          11        20  0.557461   0.557461   -2.244*x                                                   -2.312*x - 2.38*y + 4.755                                                     4  proged    numdif      all             lv          inf       0
           8        11  0.940323   0.940323   -2.244*x                                                   -5.0*x**2                                                                     5  proged    numdif      all             lv          inf       0
          10        16  0.648064   0.648064   -2.244*x                                                   0.021 - 5.0*x**2                                                              6  proged    numdif      all             lv          inf       0
          16        32  0.19386    0.19386    -1.742*x - 1.14*y + 2.267                                  -2.312*x - 2.38*y + 4.755                                                     7  proged    numdif      all             lv          inf       0
          14        25  0.235545   0.235545   -0.353*x*y**2                                              -2.312*x - 2.38*y + 4.755                                                     8  proged    numdif      all             lv          inf       0
          17        34  0.11489    0.11489    -0.788*x*y - 0.675*y + 1.343                               -2.312*x - 2.38*y + 4.755                                                     9  proged    numdif      all             lv          inf       0
          49        94  0.0489337  0.0489337  -0.043*x**2*y/(x - 1.052) + 5.0*x*y/(x - 2.921) + 2.476*x  -5.0*x**2*y/(x + 1.432) - 1.106*y - 0.054*y/(y - 3.054) + 2.111              10  proged    numdif      all             lv          inf       0
          46        90  0.0534499  0.0534499  -0.043*x**2*y/(x - 1.052) + 5.0*x*y/(x - 2.921) + 2.476*x  -4.713*x**3 - 1.431*x - 1.761*y - 0.074*y/(y - 3.061) + 3.384                11  proged    numdif      all             lv          inf       0
          21        38  0.111723   0.111723   1.009*x*y/(y - 1.384) - 4.854*x                            -2.312*x - 2.38*y + 4.755                                                    12  proged    numdif      all             lv          inf       0
          29        56  0.0890491  0.0890491  -0.95*x**2*y**2 - 1.272*y - 0.94*y/(y - 3.337) + 1.136     -2.312*x - 2.38*y + 4.755                                                    13  proged    numdif      all             lv          inf       0
          36        70  0.0782618  0.0782618  -0.95*x**2*y**2 - 1.272*y - 0.94*y/(y - 3.337) + 1.136     0.47*x**5*y - 1.178*x*y - 2.335*y + 4.666                                    14  proged    numdif      all             lv          inf       0
          45        86  0.0554918  0.0554918  -0.95*x**2*y**2 - 1.272*y - 0.94*y/(y - 3.337) + 1.136     -5.0*x**2*y/(x + 1.432) - 1.106*y - 0.054*y/(y - 3.054) + 2.111              15  proged    numdif      all             lv          inf       0
          42        82  0.0648392  0.0648392  -0.95*x**2*y**2 - 1.272*y - 0.94*y/(y - 3.337) + 1.136     -4.713*x**3 - 1.431*x - 1.761*y - 0.074*y/(y - 3.061) + 3.384                16  proged    numdif      all             lv          inf       0
