  complexity    length         TE     TE_inf  expr_x                                                            expr_y                                                                       index_column  method    exp_type    data_version    system      snr    init
           7        10  5.36       5.36       -1.425*x*y                                                        -1.32*y                                                                                 0  proged    numdif      all             lv          inf       1
           9        13  2.14112    2.14112    -5.0*y**2                                                         -0.483*x*y                                                                              1  proged    numdif      all             lv          inf       1
           8        11  2.9576     2.9576     -5.0*y**2                                                         -1.32*y                                                                                 2  proged    numdif      all             lv          inf       1
           6         8  5.46672    5.46672    -3.543*y                                                          -1.32*y                                                                                 3  proged    numdif      all             lv          inf       1
          18        35  0.264804   0.264804   -0.478*x**2 - 5.0*y + 4.261                                       -0.501*x - 1.689*y + 1.489                                                              4  proged    numdif      all             lv          inf       1
          17        31  0.441317   0.441317   -0.478*x**2 - 5.0*y + 4.261                                       -2.175*y**2 - 0.011                                                                     5  proged    numdif      all             lv          inf       1
          11        18  1.72917    1.72917    -2.241*x*y**2 + 0.155                                             -1.32*y                                                                                 6  proged    numdif      all             lv          inf       1
          13        24  0.463905   0.463905   -1.77*x*y - 1.641*x + 5.0                                         -0.483*x*y                                                                              7  proged    numdif      all             lv          inf       1
          12        22  0.571156   0.571156   -1.77*x*y - 1.641*x + 5.0                                         -1.32*y                                                                                 8  proged    numdif      all             lv          inf       1
          44        85  0.0954057  0.0954057  0.091*x**4*y**3 - 2.208*x**2*y**2 + 3.923*y - 0.005               -1.178*x*y - 0.008*x*y/(y - 1.025) - 1.152*y**2 + 2.435*y + 0.001                       9  proged    numdif      all             lv          inf       1
          46        90  0.06148    0.06148    0.091*x**4*y**3 - 2.208*x**2*y**2 + 3.923*y - 0.005               -0.737*x**2 - 1.152*x*y + 2.371*x - 1.417*x/(x - 4.972) + 1.574*y - 2.632              10  proged    numdif      all             lv          inf       1
          47        94  0.0485346  0.0485346  0.037*x**2*y**3/(0.77*y - 1)**2 - 4.678*x*y**3 - 0.745*x + 2.242  -1.178*x*y - 0.008*x*y/(y - 1.025) - 1.152*y**2 + 2.435*y + 0.001                      11  proged    numdif      all             lv          inf       1
          29        60  0.119448   0.119448   -0.21*x*y - 1.667*x - 5.0*y**2 - 1.262*y + 5.0                    -0.244*x*y - 0.382*x - 0.909*y + 1.139                                                 12  proged    numdif      all             lv          inf       1
          33        66  0.111071   0.111071   -0.21*x*y - 1.667*x - 5.0*y**2 - 1.262*y + 5.0                    0.073*x**3 - 0.826*x*y**2 - 1.562*x + 2.723                                            13  proged    numdif      all             lv          inf       1
          25        51  0.148098   0.148098   -1.666*x - 5.0*y**2 - 1.87*y + 5.0                                -0.244*x*y - 0.382*x - 0.909*y + 1.139                                                 14  proged    numdif      all             lv          inf       1
          21        42  0.185308   0.185308   -1.666*x - 5.0*y**2 - 1.87*y + 5.0                                -0.501*x - 1.689*y + 1.489                                                             15  proged    numdif      all             lv          inf       1
          27        54  0.134614   0.134614   -1.666*x - 5.0*y**2 - 1.87*y + 5.0                                0.337*x**2 - 0.602*x*y - 2.145*x + 3.41                                                16  proged    numdif      all             lv          inf       1
