	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	7	10	2.90489450330524	2.90489450330524	-1.142*x*y	-1.465*x	0	proged	numdif	all	lv	inf	3
1	9	13	2.3503717267986812	2.3503717267986812	-1.142*x*y	-0.928*x**2	1	proged	numdif	all	lv	inf	3
2	24	50	0.22400532785448468	0.22400532785448468	-0.438*x*y - 1.794*x - 2.032*y + 3.987	0.197*x*y - 2.484*x - 2.232*y + 4.441	2	proged	numdif	all	lv	inf	3
3	20	41	0.2714037614089251	0.2714037614089251	-0.438*x*y - 1.794*x - 2.032*y + 3.987	-2.023*x - 2.017*y + 4.025	3	proged	numdif	all	lv	inf	3
4	6	8	3.3408421251640013	3.3408421251640013	-2.223*x	-1.465*x	4	proged	numdif	all	lv	inf	3
5	10	16	1.0648518588475158	1.0648518588475158	-2.223*x	0.126 - 0.96*x**2	5	proged	numdif	all	lv	inf	3
6	16	32	0.41015938407553104	0.41015938407553104	-2.818*x - 2.509*y + 4.911	-2.023*x - 2.017*y + 4.025	6	proged	numdif	all	lv	inf	3
7	13	23	0.5796832833425535	0.5796832833425535	-1.324*x**2	-2.023*x - 2.017*y + 4.025	7	proged	numdif	all	lv	inf	3
8	12	19	0.8762267296922299	0.8762267296922299	-1.324*x**2	0.126 - 0.96*x**2	8	proged	numdif	all	lv	inf	3
9	30	60	0.16546884708210488	0.16546884708210488	-1.142*x**3 - 1.764*y - 1.089*y/(y - 3.138) + 1.616	0.197*x*y - 2.484*x - 2.232*y + 4.441	9	proged	numdif	all	lv	inf	3
10	26	51	0.1761340733334476	0.1761340733334476	-1.142*x**3 - 1.764*y - 1.089*y/(y - 3.138) + 1.616	-2.023*x - 2.017*y + 4.025	10	proged	numdif	all	lv	inf	3
11	31	61	0.15835553299316024	0.15835553299316024	-1.142*x**3 - 1.764*y - 1.089*y/(y - 3.138) + 1.616	0.006*x**5 - 2.264*x - 2.316*y + 4.607	11	proged	numdif	all	lv	inf	3
12	43	83	0.15233413524138018	0.15233413524138018	-1.142*x**3 - 1.764*y - 1.089*y/(y - 3.138) + 1.616	-4.435*x**2*y/(x + 4.69) - 0.03*x*y/(x - 3.031) - 0.701*y + 1.408	12	proged	numdif	all	lv	inf	3
13	40	79	0.15440159285409547	0.15440159285409547	-1.142*x**3 - 1.764*y - 1.089*y/(y - 3.138) + 1.616	-0.693*x**2*y - 0.728*x - 1.205*x/(x - 3.256) - 0.865*y + 1.739	13	proged	numdif	all	lv	inf	3
