  complexity    length        TE    TE_inf  expr_x                                                  expr_y                                    index_column  method    exp_type    data_version    system      snr    init
           6         8  5.82916   6.02759   -5.0*y                                                  -2.862*y                                             0  proged    numdif      allonger        lv           30       2
          12        20  1.92241   1.95058   -2.589*x*y**2 + 0.114                                   -0.814*x*y                                           1  proged    numdif      allonger        lv           30       2
          11        18  2.52222   2.5742    -2.589*x*y**2 + 0.114                                   -2.862*y                                             2  proged    numdif      allonger        lv           30       2
          22        41  1.33813   1.33168   -2.727*x*y**2 + 1.381*y                                 -1.082*x*y - 0.165*x + 1.419*y + 0.498               3  proged    numdif      allonger        lv           30       2
          19        34  1.85733   1.89173   -2.727*x*y**2 + 1.381*y                                 -1.216*x*y + 1.933*y + 0.01                          4  proged    numdif      allonger        lv           30       2
          27        53  1.14743   1.12873   -2.75*x*y**4/(y + 0.002)**2 + 1.449*y                   -1.082*x*y - 0.165*x + 1.419*y + 0.498               5  proged    numdif      allonger        lv           30       2
          20        39  1.42427   1.42048   -2.726*x*y**4/(y + 0.002)**2 + 1.214*y + 0.071          -0.814*x*y                                           6  proged    numdif      allonger        lv           30       2
          28        58  0.923923  0.885734  -2.726*x*y**4/(y + 0.002)**2 + 1.214*y + 0.071          -1.082*x*y - 0.165*x + 1.419*y + 0.498               7  proged    numdif      allonger        lv           30       2
          24        46  1.19299   1.18357   -2.726*x*y**4/(y + 0.002)**2 + 1.214*y + 0.071          -1.221*x*y + 1.97*y                                  8  proged    numdif      allonger        lv           30       2
           9        13  4.21027   4.34307   -5.0*y**4                                               -0.814*x*y                                           9  proged    numdif      allonger        lv           30       2
          10        14  2.90903   2.97238   -5.0*y**4                                               -2.154*y**3                                         10  proged    numdif      allonger        lv           30       2
           8        11  5.65192   5.83909   -5.0*y**4                                               -2.862*y                                            11  proged    numdif      allonger        lv           30       2
          33        65  0.699572  0.635874  -0.069*x**3*y**2/(y - 0.016) - 1.643*x - 3.945*y + 5.0  -1.082*x*y - 0.165*x + 1.419*y + 0.498              12  proged    numdif      allonger        lv           30       2
