  complexity    length         TE     TE_inf  expr_x                                               expr_y                                         index_column  method    exp_type    data_version    system      snr    init
           7        10  2.13563    2.13563    -1.287*x*y                                           -1.348*x                                                  0  proged    numdif      allonger        lv          inf       3
           6         8  4.45477    4.45477    -2.096*x                                             -1.348*x                                                  1  proged    numdif      allonger        lv          inf       3
          11        20  1.32699    1.32699    -2.096*x                                             -2.357*x - 2.433*y + 4.855                                2  proged    numdif      allonger        lv          inf       3
          13        23  1.20015    1.20015    -2.096*x                                             -1.24*x**2 - 0.774*y + 1.547                              3  proged    numdif      allonger        lv          inf       3
          12        22  1.24264    1.24264    -2.096*x                                             -1.075*x*y - 1.559*y + 3.127                              4  proged    numdif      allonger        lv          inf       3
          20        39  0.120097   0.120097   -0.64*x*y**2 - 0.832*y + 1.664                       -1.075*x*y - 1.559*y + 3.127                              5  proged    numdif      allonger        lv          inf       3
          22        42  0.0224729  0.0224729  -0.64*x*y**2 - 0.832*y + 1.664                       -0.994*x*y - 0.159*y**3 + 1.276                           6  proged    numdif      allonger        lv          inf       3
          14        25  0.565087   0.565087   -0.71*x**2*y                                         -2.357*x - 2.433*y + 4.855                                7  proged    numdif      allonger        lv          inf       3
          16        28  0.374255   0.374255   -0.71*x**2*y                                         -1.24*x**2 - 0.774*y + 1.547                              8  proged    numdif      allonger        lv          inf       3
          33        66  0.0141155  0.0141155  -2.595*x*y + 2.563*x - 0.784*y**2 + 2.022*y - 0.911  1.153*x**3 - 1.552*x**2*y - 0.882*y + 1.763               9  proged    numdif      allonger        lv          inf       3
          32        61  0.014909   0.014909   -2.555*x*y + 2.488*x - 0.139*y**3 + 0.556*y          1.153*x**3 - 1.552*x**2*y - 0.882*y + 1.763              10  proged    numdif      allonger        lv          inf       3
