	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	7	10	4.878937650872037	4.878937650872037	-0.994*x*y	-3.204*x	0	proged	numdif	allonger	lv	inf	0
1	12	22	0.5429311517090283	0.5429311517090283	-0.994*x*y	-2.515*x - 2.5*y + 5.0	1	proged	numdif	allonger	lv	inf	0
2	9	13	0.9165281451136038	0.9165281451136038	-0.994*x*y	-5.0*x**2	2	proged	numdif	allonger	lv	inf	0
3	13	24	0.5382853109554374	0.5382853109554374	-0.994*x*y	-1.119*x*y - 2.214*y + 4.427	3	proged	numdif	allonger	lv	inf	0
4	15	27	0.523355810507045	0.523355810507045	-0.994*x*y	-0.992*x*y - 0.162*y**3 + 1.296	4	proged	numdif	allonger	lv	inf	0
5	26	53	0.013772975634045687	0.013772975634045687	-2.441*x*y + 3.51*x - 0.133*y + 0.266	-1.006*x*y - 0.928*y**2 + 1.705*y + 0.302	5	proged	numdif	allonger	lv	inf	0
6	23	46	0.01730212477518011	0.01730212477518011	-2.441*x*y + 3.51*x - 0.133*y + 0.266	-0.992*x*y - 0.162*y**3 + 1.296	6	proged	numdif	allonger	lv	inf	0
7	6	8	5.483859271653569	5.483859271653569	-2.211*x	-3.204*x	7	proged	numdif	allonger	lv	inf	0
8	11	20	0.6294965469790947	0.6294965469790947	-2.211*x	-2.515*x - 2.5*y + 5.0	8	proged	numdif	allonger	lv	inf	0
9	8	11	1.741004350952249	1.741004350952249	-2.211*x	-5.0*x**2	9	proged	numdif	allonger	lv	inf	0
10	20	38	0.05283234116833027	0.05283234116833027	-2.657*x*y + 3.979*x	-2.214*x*y + 2.416*x - 1.687*y + 3.376	10	proged	numdif	allonger	lv	inf	0
11	16	29	0.14957550317582452	0.14957550317582452	-2.657*x*y + 3.979*x	-2.515*x - 2.5*y + 5.0	11	proged	numdif	allonger	lv	inf	0
12	17	31	0.10772313877930237	0.10772313877930237	-2.657*x*y + 3.979*x	-1.119*x*y - 2.214*y + 4.427	12	proged	numdif	allonger	lv	inf	0
13	18	32	0.09900128841832515	0.09900128841832515	-2.657*x*y + 3.979*x	-2.104*x - 0.199*y**3 + 1.585	13	proged	numdif	allonger	lv	inf	0
14	19	34	0.062051827268898574	0.062051827268898574	-2.657*x*y + 3.979*x	-0.992*x*y - 0.162*y**3 + 1.296	14	proged	numdif	allonger	lv	inf	0
15	21	43	0.04460960661429311	0.04460960661429311	-2.65*x*y + 3.957*x + 0.002	-2.214*x*y + 2.416*x - 1.687*y + 3.376	15	proged	numdif	allonger	lv	inf	0
16	28	56	0.011159863813843054	0.011159863813843054	-2.391*x*y + 3.41*x - 0.037*y**2 + 0.147	-1.006*x*y - 0.928*y**2 + 1.705*y + 0.302	16	proged	numdif	allonger	lv	inf	0
17	25	49	0.0159717451327092	0.0159717451327092	-2.391*x*y + 3.41*x - 0.037*y**2 + 0.147	-0.992*x*y - 0.162*y**3 + 1.296	17	proged	numdif	allonger	lv	inf	0
18	31	63	0.0036198227103442114	0.0036198227103442114	-2.168*x*y + 2.966*x - 0.21*y**2 + 0.635*y - 0.43	-1.006*x*y - 0.928*y**2 + 1.705*y + 0.302	18	proged	numdif	allonger	lv	inf	0
19	30	57	0.0045175821437058485	0.0045175821437058485	-2.223*x*y + 1.673*x + 2.6*x/(x + 1.485)	-1.006*x*y - 0.928*y**2 + 1.705*y + 0.302	19	proged	numdif	allonger	lv	inf	0
