  index    complexity    length       TE    TE_inf  expr_x                                 expr_y                                                                                                                                     index_column  method    data_version    system      snr    init
    164            70       311  1.1717   0.988923  x1*(5.049 - x2)/(4.047 - 0.246*x1)     x1*(x1*(x1*x2 + x2) + 1.335)/(x2*(x1 + 0.146)) - x2*(0.609*x1 + 0.108)*(x2 - 2.503)/(x1*(x1*(0.602*x2/(0.565*x2**2 - x2) - 1.73) + x2))             164  dso       all             predprey     13       1
    136            65       313  1.17202  0.9878    -0.026*x1*(x1 + 8.641)*(x2 - 5.062)    x1*(x1*(x1*x2 + x2) + 1.335)/(x2*(x1 + 0.146)) - x2*(0.609*x1 + 0.108)*(x2 - 2.503)/(x1*(x1*(0.602*x2/(0.565*x2**2 - x2) - 1.73) + x2))             136  dso       all             predprey     13       1
     80            63       286  1.18936  1.02776   x1*(1.616 - 0.325*x2)                  x1*(x1*(x1*x2 + x2) + 1.335)/(x2*(x1 + 0.146)) - x2*(0.609*x1 + 0.108)*(x2 - 2.503)/(x1*(x1*(0.602*x2/(0.565*x2**2 - x2) - 1.73) + x2))              80  dso       all             predprey     13       1
    173            26       149  1.37811  1.14007   x1*x2*(0.005*x2 - 0.088)*(x2 - 5.444)  (-0.523 - 1.041/(0.854 - x2))/x1                                                                                                                    173  dso       all             predprey     13       1
     62            22       134  1.50565  1.2555    x1*(1.616 - 0.325*x2)                  (-0.523 + 9.881/(9.495*x2 - 8.106))/x1                                                                                                               62  dso       all             predprey     13       1
     35            21       126  1.9113   1.76175   -0.136*x1*x2                           (-0.118*x2*(x1 - 10.248)/(x2 - 0.853) - 1.734)/x1                                                                                                    35  dso       all             predprey     13       1
     84            11        92  1.93312  1.85983   -0.324*x1*(x2 - 4.88) + 0.065          -0.1*x2                                                                                                                                              84  dso       all             predprey     13       1
     56            10        70  2.03707  1.97485   x1*(1.616 - 0.325*x2)                  -0.1*x2                                                                                                                                              56  dso       all             predprey     13       1
      0             8        47  2.04403  1.97003   0.455 - x1                             -0.1*x2                                                                                                                                               0  dso       all             predprey     13       1
     28             7        48  2.06278  2.00076   -0.136*x1*x2                           -0.1*x2                                                                                                                                              28  dso       all             predprey     13       1
