  index    complexity    length        TE    TE_inf  expr_x                                                                                                             expr_y                                    index_column  method    data_version    system      snr    init
    480            55       295  0.154836  0.120121  -0.762*x1*(-4.676*x1/x2 + x2 - (0.185*x1 + 2.07/x2)*(0.066*x1*(x1 + 0.441)*(3.603*x1 - x2 - 13.074) - x1 + 2*x2))  x2*(-0.067*x1*(x1 - 6.57) - 0.067*x2)              480  dso       all             predprey     30       0
    307            40       287  0.19061   0.149557  x2 + (0.389*x1 - 2.807)*(-0.614*x1 + x2 + (x1 - 2.745)*(0.225*x1**2 + 0.225*x2 - 0.008)) + 0.38                    -0.067*x2*(x1*(x1 - 6.54) + x2) + 0.04             307  dso       all             predprey     30       0
    282            39       262  0.191005  0.150073  x2 + (0.389*x1 - 2.809)*(-0.624*x1 + x2 + (x1 - 2.748)*(0.225*x1**2 + 0.225*x2)) + 0.316                           -0.067*x2*(x1*(x1 - 6.54) + x2) + 0.04             282  dso       all             predprey     30       0
    407            36       252  0.242144  0.215664  x1*(0.768 - 0.129*x1)*(-0.114*x1*(x1 - 4.479)*(x2 + 1.11) - x1 - 1.186*x2 + 5.119)                                 -0.067*x2*(x1*(x1 - 6.54) + x2) + 0.04             407  dso       all             predprey     30       0
    403            34       221  0.31511   0.298915  x1*(0.768 - 0.129*x1)*(-0.114*x1*(x1 - 4.479)*(x2 + 1.11) - x1 - 1.186*x2 + 5.119)                                 -x2/(x1 + 1.086) + 2.479                           403  dso       all             predprey     30       0
    203            27       169  0.346219  0.332622  x1*(-0.809*x1 - 0.009*x2/(0.008*x1 + 0.011) + 3.557)                                                               -x2/(x1 + 1.086) + 2.479                           203  dso       all             predprey     30       0
     52            14        94  0.593533  0.589787  0.351*x1*(5.399 - x2)                                                                                              x1 - 0.463*x2 + 0.971                               52  dso       all             predprey     30       0
     51            13        73  0.66056   0.646638  0.351*x1*(5.399 - x2)                                                                                              x1 - 0.314*x2                                       51  dso       all             predprey     30       0
     27            11        88  1.19206   1.17298   2.486 - 0.546*x2                                                                                                   x1 - 0.463*x2 + 0.971                               27  dso       all             predprey     30       0
     26            10        67  1.69962   1.67219   2.486 - 0.546*x2                                                                                                   x1 - 0.314*x2                                       26  dso       all             predprey     30       0
      2             9        71  3.83783   3.81751   -0.163*x2                                                                                                          x1 - 0.463*x2 + 0.971                                2  dso       all             predprey     30       0
      1             8        50  4.12694   4.10288   -0.163*x2                                                                                                          x1 - 0.314*x2                                        1  dso       all             predprey     30       0
      0             6        46  7.0534    7.00674   -0.163*x2                                                                                                          x1 - 1.446                                           0  dso       all             predprey     30       0
