  index    complexity    length         TE     TE_inf  expr_x                                                                                    expr_y                                                                                                                                                    index_column  method    data_version    system      snr    init
    179            89       454  0.019525   0.019525   -0.982*x1*(x1 + (-2*x1 - 227.124)*(x1 - x2 + 1.171)/(229.206*x1 + x2 + 210.992) - 2.964)  x2*(0.999*x1/(x1 - x1*(-x1*(x1 - 5.922) - 0.717*x2)*(-x1*(x1 + 1.567) + x2*(1.626*x1 - x1/x2))/(x2**2*(x2 + 3467.909)) + 0.998) - 0.075*x2 + 1.0) - x2             179  dso       allonger        predprey    inf       1
    178            68       383  0.0195533  0.0195533  -0.982*x1*(x1 + (-2*x1 - 227.124)*(x1 - x2 + 1.171)/(229.206*x1 + x2 + 210.992) - 2.964)  x2*(0.997*x1/(x1 - x1*(-x1*(x1 - 2.699) + x2 - 1.288)/(x2*(x2 + 803.542)) + 0.996) - 0.075*x2 + 1.0) - x2                                                          178  dso       allonger        predprey    inf       1
    174            51       335  0.0195684  0.0195684  -0.982*x1*(x1 + (-2*x1 - 227.124)*(x1 - x2 + 1.171)/(229.206*x1 + x2 + 210.992) - 2.964)  x2*(1.001*x1/(x1 + 1.002 - 0.004/(x2 + 1.345)) - 0.075*x2)                                                                                                         174  dso       allonger        predprey    inf       1
    173            47       312  0.0196305  0.0196305  -0.982*x1*(x1 + (-2*x1 - 227.124)*(x1 - x2 + 1.171)/(229.206*x1 + x2 + 210.992) - 2.964)  x2*(1.001*x1/(x1 + 1.001) - 0.075*x2)                                                                                                                              173  dso       allonger        predprey    inf       1
    171            44       284  0.0196767  0.0196767  -0.982*x1*(x1 + (-2*x1 - 227.124)*(x1 - x2 + 1.171)/(229.206*x1 + x2 + 210.992) - 2.964)  x2*(1.001*x1/(x1 + 1.001) - 0.075*x2)                                                                                                                              171  dso       allonger        predprey    inf       1
    143            41       247  0.0639036  0.0639036  x1*(-x1 + x1*(x2 + 0.024)/(x1 + 1) - 0.999*x2 + 3.981)                                    x2*(1.001*x1/(x1 + 1.001) - 0.075*x2)                                                                                                                              143  dso       allonger        predprey    inf       1
    141            38       219  0.0639686  0.0639686  x1*(-x1 + x1*(x2 + 0.024)/(x1 + 1) - 0.999*x2 + 3.981)                                    x2*(1.001*x1/(x1 + 1.001) - 0.075*x2)                                                                                                                              141  dso       allonger        predprey    inf       1
    139            35       191  0.544649   0.544649   x1*(-x1 + x1*(x2 + 0.024)/(x1 + 1) - 0.999*x2 + 3.981)                                    0.417*x1 + 3.57*x1/(x1 + 0.708) - 0.417*x2                                                                                                                         139  dso       allonger        predprey    inf       1
     32            15       105  1.07089    1.07089    -0.437*x1*(x2 - 5.643)                                                                    x1 + x2*(-0.03*x2 - 0.034)                                                                                                                                          32  dso       allonger        predprey    inf       1
     31            11        73  1.30903    1.30903    -0.437*x1*(x2 - 5.643)                                                                    x1 - 0.246*x2                                                                                                                                                       31  dso       allonger        predprey    inf       1
      1            10        48  2.64974    2.64974    0.731 - x1                                                                                x1 - 0.246*x2                                                                                                                                                        1  dso       allonger        predprey    inf       1
      0             8        46  4.67214    4.67214    0.731 - x1                                                                                x1 - 1.211                                                                                                                                                           0  dso       allonger        predprey    inf       1
