	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	11	17	2.154184760236793	2.1444637668894346	-0.122*x*y	1.312*x - 0.375*y	0	proged	numdif	all	predprey	30	0
1	12	22	1.88578613483342	1.8792036567993309	-0.122*x*y	1.306*x - 0.521*y + 0.961	1	proged	numdif	all	predprey	30	0
2	7	10	2.201832509099443	2.1950363520042133	-0.122*x*y	-0.119*y	2	proged	numdif	all	predprey	30	0
3	22	44	0.6814361015007333	0.6770268359001625	-0.329*x*y + 1.773*x - 0.057*y + 0.3	1.296*x - 0.039*y**2 - 0.417	3	proged	numdif	all	predprey	30	0
4	6	8	5.08176656244338	5.059741720638165	-0.163*y	-0.119*y	4	proged	numdif	all	predprey	30	0
5	18	32	0.6860431075528107	0.6841580207794478	-0.351*x*y + 1.893*x	1.296*x - 0.039*y**2 - 0.417	5	proged	numdif	all	predprey	30	0
6	15	24	0.7283447925306712	0.7127670684843446	-0.351*x*y + 1.893*x	1.312*x - 0.375*y	6	proged	numdif	all	predprey	30	0
7	16	29	0.7209187061451718	0.7173954503765957	-0.351*x*y + 1.893*x	1.306*x - 0.521*y + 0.961	7	proged	numdif	all	predprey	30	0
8	14	25	1.6054865223936423	1.6024394481662263	0	1.306*x - 0.521*y + 0.961	8	proged	numdif	all	predprey	30	0
9	9	13	2.1617050679657903	2.1544886059301627	0	-0.119*y	9	proged	numdif	all	predprey	30	0
10	30	53	0.4434223989147372	0.41322561011911846	0.078*x**3 - 1.377*x**2 - 0.977*x*y/(x + 0.901) + 4.435*x	1.312*x - 0.375*y	10	proged	numdif	all	predprey	30	0
11	31	58	0.3270949120972966	0.30588038996716693	0.078*x**3 - 1.377*x**2 - 0.977*x*y/(x + 0.901) + 4.435*x	1.306*x - 0.521*y + 0.961	11	proged	numdif	all	predprey	30	0
12	36	68	0.2000714812814342	0.15175881516636217	0.078*x**3 - 1.377*x**2 - 0.977*x*y/(x + 0.901) + 4.435*x	-0.047*x**3 + 1.727*x - 0.499*y + 0.705	12	proged	numdif	all	predprey	30	0
