  complexity    length          TE      TE_inf  expr_x                                                    expr_y                                index_column  method    exp_type    data_version    system      snr    init
           7        10   5.03586     5.03586    -0.106*x*y                                                0.317*x                                          0  proged    numdif      allonger        predprey    inf       3
          11        17   3.34162     3.34162    -0.106*x*y                                                1.336*x - 0.31*y                                 1  proged    numdif      allonger        predprey    inf       3
           9        15   4.36544     4.36544    -0.106*x*y                                                0.891*x - 1.103                                  2  proged    numdif      allonger        predprey    inf       3
           6         8  12.4634     12.4634     -0.108*y                                                  0.317*x                                          3  proged    numdif      allonger        predprey    inf       3
          15        24   1.05218     1.05218    -0.398*x*y + 2.252*x                                      1.336*x - 0.31*y                                 4  proged    numdif      allonger        predprey    inf       3
          12        18   2.68231     2.68231    -0.022*x**4                                               1.336*x - 0.31*y                                 5  proged    numdif      allonger        predprey    inf       3
          13        23   2.40222     2.40222    -0.022*x**4                                               1.35*x - 0.463*y + 0.937                         6  proged    numdif      allonger        predprey    inf       3
          14        21   2.31286     2.31286    -0.022*x**4                                               1.285*x - 0.041*y**2                             7  proged    numdif      allonger        predprey    inf       3
          35        62   0.74697     0.74697    0.004*x**3 - 1.02*x**2 - 0.999*x*y/(x + 0.991) + 4.029*x  5.0*x/(x + 0.972) - 0.408*y                      8  proged    numdif      allonger        predprey    inf       3
          43        81   0.0166522   0.0166522  0.004*x**3 - 1.02*x**2 - 0.999*x*y/(x + 0.991) + 4.029*x  1.001*x*y/(x + 1.001) - 0.075*y**2               9  proged    numdif      allonger        predprey    inf       3
          38        67   0.0166606   0.0166606  0.004*x**3 - 1.02*x**2 - 0.999*x*y/(x + 0.991) + 4.029*x  1.0*x*y/(x + 1.0) - 0.075*y**2                  10  proged    numdif      allonger        predprey    inf       3
