  index    complexity    length       TE    TE_inf  expr_x                                                                                        expr_y                                                                                                                                                               index_column  method    data_version    system       snr    init
    219            89       394  2.0066    2.25156  (-x1 - 4.886 + 22.773/x1)*sin(x1**2*(5.042 - 2.313*x2))                                       2.822*cos(x1*(1.314*x1*x2**2 + 2*x1 - 8.757 - (0.059*x1 - 1.314*x2 + 13.913 + 1.314*(-7.149 - 27.89/(x2*(-x1**2*x2**2 + x2)))/(x2*(-x1 + x2)) + 0.749/x2)/x2))/x2             219  dso       all             shearflow     13       3
    313            58       367  2.00743   2.03106  -0.018*x1/((x1 - 1.253)*(cos(x2**3*(0.36*x1/(1.201 - x1) - 3.096) - 0.544) - 0.994)) - 0.641  2.797*cos(x1*((0.951*x1 + 0.702)*(2*x2 - 1.708) - 1.205) - 2.226)/(x1 - 0.792)                                                                                                313  dso       all             shearflow     13       3
    310            49       276  2.00755   2.0309   -0.018*x1/((x1 - 1.253)*(cos(x2**3*(0.36*x1/(1.201 - x1) - 3.096) - 0.544) - 0.994)) - 0.641  1.314*cos(4.747*x1*(x1 - x2 + 1.493/x2))                                                                                                                                      310  dso       all             shearflow     13       3
    175            47       276  2.00858   2.04538  3.287*cos(1.097*x1*(x1**2*(1.515 - x2) + 1.928) - x2)                                         5.13*cos(x2 + (x1 - 0.668)*((0.191*x1 + 3.448)*(2*x2 - 17.663) + 61.793) - 11.045)/x1                                                                                         175  dso       all             shearflow     13       3
    172            45       237  2.00934   2.14595  3.287*cos(1.097*x1*(x1**2*(1.515 - x2) + 1.928) - x2)                                         1.508*cos(0.634*x1*(-2*x1 + (3.768 - x2)*(-x1 + x2) + 2.724) + 2.067)                                                                                                         172  dso       all             shearflow     13       3
    210            37       182  2.01071   2.2833   (-x1 - 4.886 + 22.773/x1)*sin(x1**2*(5.042 - 2.313*x2))                                       1.314*cos(4.747*x1*(x1 - x2 + 1.493/x2))                                                                                                                                      210  dso       all             shearflow     13       3
    201            26       128  2.01764   1.68072  (-x1 - 4.886 + 22.773/x1)*sin(x1**2*(5.042 - 2.313*x2))                                       -0.101/x1                                                                                                                                                                     201  dso       all             shearflow     13       3
     10            21       101  2.01835   2.14608  -x2 - 1.557                                                                                   1.314*cos(4.747*x1*(x1 - x2 + 1.493/x2))                                                                                                                                       10  dso       all             shearflow     13       3
    101            16        98  2.01871   1.6145   -0.002/sin(1.021*x1 + x2 + 0.857)                                                             -0.101/x1                                                                                                                                                                     101  dso       all             shearflow     13       3
     61            14        90  2.0274    1.8441   -0.139 + 0.228/(x1 - 1.251)                                                                   -0.101/x1                                                                                                                                                                      61  dso       all             shearflow     13       3
     60            12        90  2.05153   2.23807  -0.139 + 0.228/(x1 - 1.251)                                                                   0.016*x2                                                                                                                                                                       60  dso       all             shearflow     13       3
     22            10        87  2.09707   3.20364  -0.815*x2 - 1.274                                                                             0.136*x1 - 0.469                                                                                                                                                               22  dso       all             shearflow     13       3
      3             9        33  2.33872   5.53635  -x2 - 1.557                                                                                   sin(2*x1)                                                                                                                                                                       3  dso       all             shearflow     13       3
     20             8        66  2.34888   4.17921  -0.815*x2 - 1.274                                                                             0.016*x2                                                                                                                                                                       20  dso       all             shearflow     13       3
