  index    complexity    length          TE      TE_inf  expr_x                                                                 expr_y                                        index_column  method    data_version    system       snr    init
    292            37       276  0.00313535  0.00313535  1.427*cos(1.97*x1) + 2.551 + 1.427/(0.152*x2 + cos(0.834*x1) - 1.318)  -x1*(-1.134*sin(1.083*x2 + 6.413) - 1.204)             292  dso       all             shearflow    inf       0
    293            35       274  0.00314466  0.00314466  1.427*cos(1.97*x1) + 2.551 + 1.427/(0.152*x2 + cos(0.834*x1) - 1.318)  x1*(1.204 - 1.134*sin(1.083*x2 + 3.271))               293  dso       all             shearflow    inf       0
    291            33       249  0.00315178  0.00315178  1.427*cos(1.97*x1) + 2.551 + 1.427/(0.152*x2 + cos(0.834*x1) - 1.318)  x1*(1.204 - 1.134*sin(1.083*x2 + 3.271))               291  dso       all             shearflow    inf       0
    197            32       240  0.00524942  0.00524942  -0.753*x2 - 0.753*sin(x2 - 2.181) + 0.753*cos(2.241*x1)                -x1*(-1.134*sin(1.083*x2 + 6.413) - 1.204)             197  dso       all             shearflow    inf       0
    196            28       213  0.00525393  0.00525393  -0.753*x2 - 0.753*sin(x2 - 2.181) + 0.753*cos(2.241*x1)                x1*(1.204 - 1.134*sin(1.083*x2 + 3.271))               196  dso       all             shearflow    inf       0
    195            26       200  0.0158715   0.0158715   -0.753*x2 - 0.753*sin(x2 - 2.181) + 0.753*cos(2.241*x1)                x1*(1.315*sin(x2) + 1.385)                             195  dso       all             shearflow    inf       0
    194            24       180  0.208081    0.208081    -0.753*x2 - 0.753*sin(x2 - 2.181) + 0.753*cos(2.241*x1)                x1*(cos(x1 - 0.002) - 0.08)                            194  dso       all             shearflow    inf       0
    193            22       156  0.254984    0.254984    -0.753*x2 - 0.753*sin(x2 - 2.181) + 0.753*cos(2.241*x1)                x1*(cos(x1) - 0.08)                                    193  dso       all             shearflow    inf       0
    156            21       148  0.619082    0.619082    1.0*cos(2.022*x1) + 1.135 + 0.276/x2                                   x1*(cos(x1 - 0.002) - 0.08)                            156  dso       all             shearflow    inf       0
    155            19       124  0.651273    0.651273    1.0*cos(2.022*x1) + 1.135 + 0.276/x2                                   x1*(cos(x1) - 0.08)                                    155  dso       all             shearflow    inf       0
     25            17       133  0.970341    0.970341    -1.184*x2 - 2.027                                                      x1*(1.204 - 1.134*sin(1.083*x2 + 3.271))                25  dso       all             shearflow    inf       0
     24            15       120  0.973218    0.973218    -1.184*x2 - 2.027                                                      x1*(1.315*sin(x2) + 1.385)                              24  dso       all             shearflow    inf       0
     19             8        63  1.45515     1.45515     -1.184*x2 - 2.027                                                      0.159*x1                                                19  dso       all             shearflow    inf       0
      1             7        49  1.75542     1.75542     -0.177*x2                                                              -0.095*x1*x2                                             1  dso       all             shearflow    inf       0
      0             6        44  1.76441     1.76441     -0.177*x2                                                              0.159*x1                                                 0  dso       all             shearflow    inf       0
