  index    complexity    length         TE     TE_inf  expr_x                                                                                        expr_y                                                                                      index_column  method    data_version    system       snr    init
    428            77       448  0.0170951  0.0170951  (1.66 - cos(x1**2 - 2.254))*(-2*x2 - 3.142 - 0.002/x2)*cos(0.322*x1**2 + 0.797)               x1 + (0.022 - x1)*(x2 + 0.074)*(-0.288*x2 - 0.091*cos(2.011*x2 + 2.424) - 1.002) - 0.005             428  dso       all             shearflow    inf       2
    405            74       444  0.0175182  0.0175182  (cos(x1**2 - 2.239) - 1.659)*(-2*x2 - 3.149 - 0.008/x2)*sin(0.328*x1**2 - 0.788)              x1 + (0.022 - x1)*(x2 + 0.074)*(-0.288*x2 - 0.091*cos(2.011*x2 + 2.424) - 1.002) - 0.005             405  dso       all             shearflow    inf       2
    424            71       392  0.0181063  0.0181063  (1.66 - cos(x1**2 - 2.254))*(-2*x2 - 3.142 - 0.002/x2)*cos(0.322*x1**2 + 0.797)               (x1 + 0.002)*(-0.465*cos(1.621*x2 + 2.531) + 0.519 - 0.02/x2)                                        424  dso       all             shearflow    inf       2
    401            68       388  0.0185828  0.0185828  (cos(x1**2 - 2.239) - 1.659)*(-2*x2 - 3.149 - 0.008/x2)*sin(0.328*x1**2 - 0.788)              (x1 + 0.002)*(-0.465*cos(1.621*x2 + 2.531) + 0.519 - 0.02/x2)                                        401  dso       all             shearflow    inf       2
    265            57       329  0.0188859  0.0188859  (1.866 - cos(x1**2 - 2.159))*(-x2 - 1.484 + 0.132/x2)*cos(0.524*x1**2 + 0.326)                16.919*x1/(-x2 + 2.979 + 24.938/((31.844 - x2)*(0.057*sin(x2) + 0.056) + 0.149))                     265  dso       all             shearflow    inf       2
    267            54       354  0.0191796  0.0191796  (1.866 - cos(x1**2 - 2.159))*(-x2 - 1.484 + 0.132/x2)*cos(0.524*x1**2 + 0.326)                x1 + (0.022 - x1)*(x2 + 0.074)*(-0.288*x2 - 0.091*cos(2.011*x2 + 2.424) - 1.002) - 0.005             267  dso       all             shearflow    inf       2
    309            52       324  0.0200228  0.0200228  (cos(x1**2 - 2.041) - 1.831)*(-x2 - 1.474 + 0.142/x2)*sin(x1**2*(-0.583 + 0.008/x1) - 1.756)  (x1 + 0.002)*(-0.465*cos(1.621*x2 + 2.531) + 0.519 - 0.02/x2)                                        309  dso       all             shearflow    inf       2
    262            47       253  0.0200577  0.0200577  (1.866 - cos(x1**2 - 2.159))*(-x2 - 1.484 + 0.132/x2)*cos(0.524*x1**2 + 0.326)                55.742*x1/(-x2 + 12.017 + 43.666/(sin(x2) + 1.053))                                                  262  dso       all             shearflow    inf       2
    216            41       210  0.0293849  0.0293849  (1.812 - cos(x1**2 - 2.754))*(-x2 - 1.545 + 0.055/x2)*cos(x1)                                 55.742*x1/(-x2 + 12.017 + 43.666/(sin(x2) + 1.053))                                                  216  dso       all             shearflow    inf       2
    171            40       246  0.058165   0.058165   (1.116 - cos(x1**2 - 2.295))*(-x2 - 1.355 + 0.273/x2)                                         (x1 + 0.002)*(-0.465*cos(1.621*x2 + 2.531) + 0.519 - 0.02/x2)                                        171  dso       all             shearflow    inf       2
    170            39       201  0.0616244  0.0616244  (1.116 - cos(x1**2 - 2.295))*(-x2 - 1.355 + 0.273/x2)                                         55.742*x1/(-x2 + 12.017 + 43.666/(sin(x2) + 1.053))                                                  170  dso       all             shearflow    inf       2
    214            34       188  0.0651549  0.0651549  (1.812 - cos(x1**2 - 2.754))*(-x2 - 1.545 + 0.055/x2)*cos(x1)                                 0.929*x1*sin(1.09*x2 + 0.138) + x1                                                                   214  dso       all             shearflow    inf       2
    213            33       184  0.067314   0.067314   (1.812 - cos(x1**2 - 2.754))*(-x2 - 1.545 + 0.055/x2)*cos(x1)                                 x1*(cos(1.046*x2 - 1.502) + 1.071)                                                                   213  dso       all             shearflow    inf       2
    169            30       156  0.0749617  0.0749617  (1.116 - cos(x1**2 - 2.295))*(-x2 - 1.355 + 0.273/x2)                                         0.814*x1*cos(0.441*x1**3)                                                                            169  dso       all             shearflow    inf       2
    165            29       155  0.110253   0.110253   (1.116 - cos(x1**2 - 2.295))*(-x2 - 1.355 + 0.273/x2)                                         x1*(1.078*sin(x2) + 1.15)                                                                            165  dso       all             shearflow    inf       2
    121            22       158  0.125877   0.125877   10.226*cos(0.035 - 0.202/x2) - 10.057                                                         x1*(cos(1.046*x2 - 1.502) + 1.071)                                                                   121  dso       all             shearflow    inf       2
    119            20       138  0.131169   0.131169   10.226*cos(0.035 - 0.202/x2) - 10.057                                                         x1*(1.078*sin(x2) + 1.15)                                                                            119  dso       all             shearflow    inf       2
    118            18       120  0.248529   0.248529   10.226*cos(0.035 - 0.202/x2) - 10.057                                                         x1*(sin(x2) + 1.08)                                                                                  118  dso       all             shearflow    inf       2
     96            17       118  0.312668   0.312668   0.35 + 0.459/(x2 + 0.119)                                                                     x1*(1.078*sin(x2) + 1.15)                                                                             96  dso       all             shearflow    inf       2
     51            15       104  0.44318    0.44318    x1**2 - 2.209                                                                                 (1.076*x1 - 0.008)*(sin(x2) + 1.066)                                                                  51  dso       all             shearflow    inf       2
     49            11        59  0.447984   0.447984   x1**2 - 2.209                                                                                 x1*(sin(x2) + 1.08)                                                                                   49  dso       all             shearflow    inf       2
     48             9        35  0.626648   0.626648   x1**2 - 2.209                                                                                 sin(2*x1)                                                                                             48  dso       all             shearflow    inf       2
     46             8        48  0.778948   0.778948   x1**2 - 2.209                                                                                 0.181*x1                                                                                              46  dso       all             shearflow    inf       2
