	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
13	292	37	276	0.0031353545182978126	0.0031353545182978126	1.427*cos(1.97*x1) + 2.551 + 1.427/(0.152*x2 + cos(0.834*x1) - 1.318)	-x1*(-1.134*sin(1.083*x2 + 6.413) - 1.204)	292	dso	all	shearflow	inf	0
14	293	35	274	0.00314466123819194	0.00314466123819194	1.427*cos(1.97*x1) + 2.551 + 1.427/(0.152*x2 + cos(0.834*x1) - 1.318)	x1*(1.204 - 1.134*sin(1.083*x2 + 3.271))	293	dso	all	shearflow	inf	0
12	291	33	249	0.0031517764227501606	0.0031517764227501606	1.427*cos(1.97*x1) + 2.551 + 1.427/(0.152*x2 + cos(0.834*x1) - 1.318)	x1*(1.204 - 1.134*sin(1.083*x2 + 3.271))	291	dso	all	shearflow	inf	0
11	197	32	240	0.005249421175985888	0.005249421175985888	-0.753*x2 - 0.753*sin(x2 - 2.181) + 0.753*cos(2.241*x1)	-x1*(-1.134*sin(1.083*x2 + 6.413) - 1.204)	197	dso	all	shearflow	inf	0
10	196	28	213	0.005253934969135604	0.005253934969135604	-0.753*x2 - 0.753*sin(x2 - 2.181) + 0.753*cos(2.241*x1)	x1*(1.204 - 1.134*sin(1.083*x2 + 3.271))	196	dso	all	shearflow	inf	0
9	195	26	200	0.015871538215338304	0.015871538215338304	-0.753*x2 - 0.753*sin(x2 - 2.181) + 0.753*cos(2.241*x1)	x1*(1.315*sin(x2) + 1.385)	195	dso	all	shearflow	inf	0
8	194	24	180	0.20808116845687574	0.20808116845687574	-0.753*x2 - 0.753*sin(x2 - 2.181) + 0.753*cos(2.241*x1)	x1*(cos(x1 - 0.002) - 0.08)	194	dso	all	shearflow	inf	0
7	193	22	156	0.2549842380317124	0.2549842380317124	-0.753*x2 - 0.753*sin(x2 - 2.181) + 0.753*cos(2.241*x1)	x1*(cos(x1) - 0.08)	193	dso	all	shearflow	inf	0
6	156	21	148	0.6190822967538433	0.6190822967538433	1.0*cos(2.022*x1) + 1.135 + 0.276/x2	x1*(cos(x1 - 0.002) - 0.08)	156	dso	all	shearflow	inf	0
5	155	19	124	0.6512726984335244	0.6512726984335244	1.0*cos(2.022*x1) + 1.135 + 0.276/x2	x1*(cos(x1) - 0.08)	155	dso	all	shearflow	inf	0
4	25	17	133	0.9703407781386745	0.9703407781386745	-1.184*x2 - 2.027	x1*(1.204 - 1.134*sin(1.083*x2 + 3.271))	25	dso	all	shearflow	inf	0
3	24	15	120	0.9732182995884752	0.9732182995884752	-1.184*x2 - 2.027	x1*(1.315*sin(x2) + 1.385)	24	dso	all	shearflow	inf	0
2	19	8	63	1.4551532992183076	1.4551532992183076	-1.184*x2 - 2.027	0.159*x1	19	dso	all	shearflow	inf	0
1	1	7	49	1.7554167427546972	1.7554167427546972	-0.177*x2	-0.095*x1*x2	1	dso	all	shearflow	inf	0
0	0	6	44	1.764411194944115	1.764411194944115	-0.177*x2	0.159*x1	0	dso	all	shearflow	inf	0
