  index    complexity    length          TE      TE_inf  expr_x                                                expr_y                                                                                                               index_column  method    data_version    system       snr    init
    329            63       369  0.00117231  0.00117231  cos(x1)*cos(x2)/(0.5*sin(x2) + 0.5*cos(x2 - 1.571))   (-0.144 - (-x1 + 1.716 + (80.892 + 490.358/(1.789*x1 - 4.148))/(x1*(1.736 - cos(1.34*x1))))/x1)*(sin(x1) - 1.003)             329  dso       allonger        shearflow    inf       1
    373            62       369  0.00118058  0.00118058  1.0*cos(x1)*cos(x2)/sin(x2)                           (-0.144 - (-x1 + 1.716 + (80.892 + 490.358/(1.789*x1 - 4.148))/(x1*(1.736 - cos(1.34*x1))))/x1)*(sin(x1) - 1.003)             373  dso       allonger        shearflow    inf       1
    307            60       346  0.00118349  0.00118349  1.0*cos(x1)*cos(x2)/sin(x2)                           (-0.144 - (-x1 + 1.716 + (80.892 + 490.358/(1.789*x1 - 4.148))/(x1*(1.736 - cos(1.34*x1))))/x1)*(sin(x1) - 1.003)             307  dso       allonger        shearflow    inf       1
    259            47       328  0.00211886  0.00211886  (1.571 - x2)*(0.426*x2*(x2 - 3.142) + 2.041)*cos(x1)  0.204*sin(2.437*x1 + 4.973 + (2.442*x2*(x2 - 3.141)/(2.217 - x1) + 1.511)/(x1 + 1.856))                                       259  dso       allonger        shearflow    inf       1
    215            45       329  0.00218116  0.00218116  (-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)    0.204*sin(2.437*x1 + 4.973 + (2.442*x2*(x2 - 3.141)/(2.217 - x1) + 1.511)/(x1 + 1.856))                                       215  dso       allonger        shearflow    inf       1
    231            36       272  0.00769707  0.00769707  (-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)    -0.204*sin(2.244*x1 + 0.765 + 0.005/(x1*(x1 + 1.614)))                                                                        231  dso       allonger        shearflow    inf       1
    209            34       249  0.00772877  0.00772877  (-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)    -0.204*sin(2.244*x1 + 0.765 + 0.005/(x1*(x1 + 1.614)))                                                                        209  dso       allonger        shearflow    inf       1
    207            31       244  0.00783311  0.00783311  (-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)    -0.204*sin(2.244*x1 + 0.764 - 0.002/(x1 + 1.64))                                                                              207  dso       allonger        shearflow    inf       1
    206            29       219  0.0123418   0.0123418   (-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)    0.204*sin(2.243*x1 + 3.895 - 0.03/x1)                                                                                         206  dso       allonger        shearflow    inf       1
    205            26       216  0.0227949   0.0227949   (-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)    -0.204*cos(2.247*x1 + 5.488)                                                                                                  205  dso       allonger        shearflow    inf       1
    203            24       194  0.023063    0.023063    (-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)    -0.204*sin(2.247*x1 + 0.776)                                                                                                  203  dso       allonger        shearflow    inf       1
    181            22       189  0.076129    0.076129    11.459*x2 + 11.095*cos(x2) - 18.0                     -0.204*sin(2.247*x1 + 0.776)                                                                                                  181  dso       allonger        shearflow    inf       1
    161            21       180  0.086142    0.086142    11.448*x2 - 11.083*sin(x2 + 4.712) - 17.982           -0.204*cos(2.247*x1 + 5.488)                                                                                                  161  dso       allonger        shearflow    inf       1
    159            19       158  0.0866863   0.0866863   11.448*x2 - 11.083*sin(x2 + 4.712) - 17.982           -0.204*sin(2.247*x1 + 0.776)                                                                                                  159  dso       allonger        shearflow    inf       1
     92            16       104  0.141283    0.141283    (1.782 - 1.134*x2)*cos(x1)                            -0.174*sin(2*x1)                                                                                                               92  dso       allonger        shearflow    inf       1
    113            14       100  0.295342    0.295342    (1.782 - 1.134*x2)*cos(x1)                            0.163*sin(x1)                                                                                                                 113  dso       allonger        shearflow    inf       1
     47            12        98  0.480889    0.480889    0.893*x2 - 1.403                                      0.163*sin(x1)                                                                                                                  47  dso       allonger        shearflow    inf       1
     25             9        69  0.481595    0.481595    0.893*x2 - 1.403                                      0.163*sin(x1)                                                                                                                  25  dso       allonger        shearflow    inf       1
      3             7        49  0.600354    0.600354    x2 - 1.571                                            0.163*sin(x1)                                                                                                                   3  dso       allonger        shearflow    inf       1
      0             6        46  3.43388     3.43388     x2 - 1.571                                            -0.011*x1                                                                                                                       0  dso       allonger        shearflow    inf       1
