	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
18	329	63	369	0.0011723089696997157	0.0011723089696997157	cos(x1)*cos(x2)/(0.5*sin(x2) + 0.5*cos(x2 - 1.571))	(-0.144 - (-x1 + 1.716 + (80.892 + 490.358/(1.789*x1 - 4.148))/(x1*(1.736 - cos(1.34*x1))))/x1)*(sin(x1) - 1.003)	329	dso	allonger	shearflow	inf	1
19	373	62	369	0.0011805773771054514	0.0011805773771054514	1.0*cos(x1)*cos(x2)/sin(x2)	(-0.144 - (-x1 + 1.716 + (80.892 + 490.358/(1.789*x1 - 4.148))/(x1*(1.736 - cos(1.34*x1))))/x1)*(sin(x1) - 1.003)	373	dso	allonger	shearflow	inf	1
17	307	60	346	0.0011834885929329752	0.0011834885929329752	1.0*cos(x1)*cos(x2)/sin(x2)	(-0.144 - (-x1 + 1.716 + (80.892 + 490.358/(1.789*x1 - 4.148))/(x1*(1.736 - cos(1.34*x1))))/x1)*(sin(x1) - 1.003)	307	dso	allonger	shearflow	inf	1
16	259	47	328	0.0021188583310675574	0.0021188583310675574	(1.571 - x2)*(0.426*x2*(x2 - 3.142) + 2.041)*cos(x1)	0.204*sin(2.437*x1 + 4.973 + (2.442*x2*(x2 - 3.141)/(2.217 - x1) + 1.511)/(x1 + 1.856))	259	dso	allonger	shearflow	inf	1
14	215	45	329	0.002181158142006692	0.002181158142006692	(-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)	0.204*sin(2.437*x1 + 4.973 + (2.442*x2*(x2 - 3.141)/(2.217 - x1) + 1.511)/(x1 + 1.856))	215	dso	allonger	shearflow	inf	1
15	231	36	272	0.007697065332404166	0.007697065332404166	(-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)	-0.204*sin(2.244*x1 + 0.765 + 0.005/(x1*(x1 + 1.614)))	231	dso	allonger	shearflow	inf	1
13	209	34	249	0.007728773000862681	0.007728773000862681	(-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)	-0.204*sin(2.244*x1 + 0.765 + 0.005/(x1*(x1 + 1.614)))	209	dso	allonger	shearflow	inf	1
12	207	31	244	0.00783310546135147	0.00783310546135147	(-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)	-0.204*sin(2.244*x1 + 0.764 - 0.002/(x1 + 1.64))	207	dso	allonger	shearflow	inf	1
11	206	29	219	0.0123418422727254	0.0123418422727254	(-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)	0.204*sin(2.243*x1 + 3.895 - 0.03/x1)	206	dso	allonger	shearflow	inf	1
10	205	26	216	0.02279489129184658	0.02279489129184658	(-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)	-0.204*cos(2.247*x1 + 5.488)	205	dso	allonger	shearflow	inf	1
9	203	24	194	0.023062997054014163	0.023062997054014163	(-3.617*x2 - 2.63*sin(x2 + 1.571) + 5.682)*cos(x1)	-0.204*sin(2.247*x1 + 0.776)	203	dso	allonger	shearflow	inf	1
8	181	22	189	0.07612902081948197	0.07612902081948197	11.459*x2 + 11.095*cos(x2) - 18.0	-0.204*sin(2.247*x1 + 0.776)	181	dso	allonger	shearflow	inf	1
7	161	21	180	0.0861419878664765	0.0861419878664765	11.448*x2 - 11.083*sin(x2 + 4.712) - 17.982	-0.204*cos(2.247*x1 + 5.488)	161	dso	allonger	shearflow	inf	1
6	159	19	158	0.08668631909289898	0.08668631909289898	11.448*x2 - 11.083*sin(x2 + 4.712) - 17.982	-0.204*sin(2.247*x1 + 0.776)	159	dso	allonger	shearflow	inf	1
4	92	16	104	0.1412826899912769	0.1412826899912769	(1.782 - 1.134*x2)*cos(x1)	-0.174*sin(2*x1)	92	dso	allonger	shearflow	inf	1
5	113	14	100	0.29534199055582216	0.29534199055582216	(1.782 - 1.134*x2)*cos(x1)	0.163*sin(x1)	113	dso	allonger	shearflow	inf	1
3	47	12	98	0.4808893698750808	0.4808893698750808	0.893*x2 - 1.403	0.163*sin(x1)	47	dso	allonger	shearflow	inf	1
2	25	9	69	0.4815950345033105	0.4815950345033105	0.893*x2 - 1.403	0.163*sin(x1)	25	dso	allonger	shearflow	inf	1
1	3	7	49	0.6003535874549333	0.6003535874549333	x2 - 1.571	0.163*sin(x1)	3	dso	allonger	shearflow	inf	1
0	0	6	46	3.4338824302859385	3.4338824302859385	x2 - 1.571	-0.011*x1	0	dso	allonger	shearflow	inf	1
