	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
16	167	60	388	1.622529590512084e-05	1.622529590512084e-05	0.204*(-0.817*x1 + (sin(1.733*x1 - 7.144) - 3.253)/x1 - 3.253/x1)*cos(1.008*x1)*cos(x2)	-0.45*(cos(2.0*x2 + 9.425) - 1.222)*sin(x1)	167	dso	allonger	shearflow	inf	3
15	165	58	387	1.6684283118616165e-05	1.6684283118616165e-05	0.204*(-0.817*x1 + (sin(1.733*x1 - 7.144) - 3.253)/x1 - 3.253/x1)*cos(1.008*x1)*cos(x2)	-0.45*(cos(2.0*x2 + 9.425) - 1.222)*sin(x1)	165	dso	allonger	shearflow	inf	3
14	139	40	299	2.6863614688954525e-05	2.6863614688954525e-05	(-0.575 + 2.007*(sin(1.456*x1 - 3.577) + 1.645)/x1)*cos(x2)	-0.45*(cos(2.0*x2 + 9.425) - 1.222)*sin(x1)	139	dso	allonger	shearflow	inf	3
13	136	38	287	2.71042692738639e-05	2.71042692738639e-05	(-0.575 + 2.007*(sin(1.456*x1 - 3.577) + 1.645)/x1)*cos(x2)	(0.55 - 0.45*cos(2.0*x2 + 3.142))*cos(x1 - 1.571)	136	dso	allonger	shearflow	inf	3
12	133	30	236	3.750480737947812e-05	3.750480737947812e-05	(-0.575 + 2.007*(sin(1.456*x1 - 3.577) + 1.645)/x1)*cos(x2)	-0.048*sin(2.499*x1 - 1.566)	133	dso	allonger	shearflow	inf	3
11	106	27	194	0.00011883009230654773	0.00011883009230654773	x1*(-0.553*x1 + 3.476 - 4.449/x1)*cos(x2)	0.048*sin(2.499*x1 + 1.575)	106	dso	allonger	shearflow	inf	3
10	77	20	159	0.001665078149899645	0.001665078149899645	(-1.006*x2 - 1.58)*cos(1.0*x1)	-0.048*sin(2.499*x1 - 1.566)	77	dso	allonger	shearflow	inf	3
9	76	18	107	0.00381300179439289	0.00381300179439289	(-1.006*x2 - 1.58)*cos(1.0*x1)	0.061*sin(2*x1)*cos(x1)	76	dso	allonger	shearflow	inf	3
8	74	16	101	0.014669237673554337	0.014669237673554337	(-1.006*x2 - 1.58)*cos(1.0*x1)	-0.057*sin(2*x1)	74	dso	allonger	shearflow	inf	3
7	62	15	75	0.02606298432212001	0.02606298432212001	(sin(x2) + 1.974)*cos(x2)	0.061*sin(2*x1)*cos(x1)	62	dso	allonger	shearflow	inf	3
6	34	13	79	0.02812147618827996	0.02812147618827996	0.98*x2 + 1.539	0.061*sin(2*x1)*cos(x1)	34	dso	allonger	shearflow	inf	3
5	32	11	73	0.033986290474656455	0.033986290474656455	0.98*x2 + 1.539	-0.057*sin(2*x1)	32	dso	allonger	shearflow	inf	3
3	20	10	44	0.04708624982761953	0.04708624982761953	cos(x2)	0.061*sin(2*x1)*cos(x1)	20	dso	allonger	shearflow	inf	3
4	31	9	69	0.04983343788668461	0.04983343788668461	0.98*x2 + 1.539	0.105*sin(x1)	31	dso	allonger	shearflow	inf	3
2	18	8	38	0.05492393760899643	0.05492393760899643	cos(x2)	-0.057*sin(2*x1)	18	dso	allonger	shearflow	inf	3
1	17	6	34	0.06201966540655629	0.06201966540655629	cos(x2)	0.105*sin(x1)	17	dso	allonger	shearflow	inf	3
0	14	5	32	3.7793630831571683	3.7793630831571683	cos(x2)	-0.001*x1	14	dso	allonger	shearflow	inf	3
