  complexity    length         TE     TE_inf  expr_x                                     expr_y                                              index_column  method    exp_type    data_version    system       snr    init
           6         8  1.76441    1.76441    -0.177*y                                   0.159*x                                                        0  proged    numdif      all             shearflow    inf       0
           7        10  1.75542    1.75542    -0.177*y                                   -0.095*x*y                                                     1  proged    numdif      all             shearflow    inf       0
           8        13  1.45515    1.45515    -1.184*y - 2.027                           0.159*x                                                        2  proged    numdif      all             shearflow    inf       0
          18        33  0.12781    0.12781    -1.361 - 1.942*sin(0.648*x*y)/x            0.518*sin(2.06*x)                                              3  proged    numdif      all             shearflow    inf       0
          16        33  1.09166    1.09166    -1.257*y*cos(0.36*x*y) - 1.372             0.518*sin(2.06*x)                                              4  proged    numdif      all             shearflow    inf       0
          17        35  0.705699   0.705699   -1.257*y*cos(0.36*x*y) - 1.372             0.954*x*cos(1.056*x)                                           5  proged    numdif      all             shearflow    inf       0
          23        48  0.0647688  0.0647688  -0.073*y**3*cos(1.458*x) - 0.41*y - 0.509  0.953*x*cos(1.056*x) + 0.001                                   6  proged    numdif      all             shearflow    inf       0
          32        67  0.0164724  0.0164724  -0.073*y**3*cos(1.458*x) - 0.41*y - 0.509  -0.007*x**3*y + 1.379*x*sin(0.994*y) + 1.425*x                 7  proged    numdif      all             shearflow    inf       0
          31        62  0.0184043  0.0184043  -0.073*y**3*cos(1.458*x) - 0.41*y - 0.509  1.3*x*sin(1.002*y) + 1.369*x + 0.001 + 0.002/y                 8  proged    numdif      all             shearflow    inf       0
          33        69  0.0135301  0.0135301  -0.073*y**3*cos(1.458*x) - 0.41*y - 0.509  -0.412*x*y**2*sin(0.521*y) + 1.308*x*y + 1.381*x               9  proged    numdif      all             shearflow    inf       0
          27        57  0.0369339  0.0369339  -0.073*y**3*cos(1.458*x) - 0.41*y - 0.509  -0.312*x*y*sin(1.305*y) + 0.505*x                             10  proged    numdif      all             shearflow    inf       0
          21        43  0.0795832  0.0795832  -0.073*y**3*cos(1.458*x) - 0.41*y - 0.509  0.954*x*cos(1.056*x)                                          11  proged    numdif      all             shearflow    inf       0
