	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	6	8	2.0285860380482097	2.0285860380482097	0.017*x	-0.007*x	0	proged	numdif	all	shearflow	inf	3
1	10	18	0.08733290129278998	0.08733290129278998	0.973*y + 1.53	0.326 - 0.104*x	1	proged	numdif	all	shearflow	inf	3
2	11	21	0.04995589834090733	0.04995589834090733	0.973*y + 1.53	-0.057*sin(1.999*x)	2	proged	numdif	all	shearflow	inf	3
3	13	21	0.018155160749642116	0.018155160749642116	-1.452 - 2.277/y	-0.057*sin(1.999*x)	3	proged	numdif	all	shearflow	inf	3
4	18	33	0.012062597273016491	0.012062597273016491	-1.452 - 2.277/y	-0.083*x + 0.008*sin(4.995*x) + 0.261	4	proged	numdif	all	shearflow	inf	3
5	16	28	0.012635877097513315	0.012635877097513315	-1.452 - 2.277/y	-0.018*x*sin(2.106*x) + 0.018	5	proged	numdif	all	shearflow	inf	3
6	17	29	0.012296433768092634	0.012296433768092634	-1.452 - 2.277/y	0.057*sin(0.335*x**2) + 0.009	6	proged	numdif	all	shearflow	inf	3
7	23	50	0.0014483119102178862	0.0014483119102178862	0.226*y*sin(4.18*y) + 2.385*y + 3.647	-0.083*x + 0.008*sin(4.995*x) + 0.261	7	proged	numdif	all	shearflow	inf	3
8	21	45	0.003464532394662075	0.003464532394662075	0.226*y*sin(4.18*y) + 2.385*y + 3.647	-0.018*x*sin(2.106*x) + 0.018	8	proged	numdif	all	shearflow	inf	3
9	37	72	0.00047728810675831055	0.00047728810675831055	0.226*y*sin(4.18*y) + 2.385*y + 3.647	0.048*cos(2.5*x) + 0.001*sin(0.001*x*y)/(0.914*x**2 + 4.997*y)	9	proged	numdif	all	shearflow	inf	3
10	22	46	0.002800398442298736	0.002800398442298736	0.226*y*sin(4.18*y) + 2.385*y + 3.647	0.057*sin(0.335*x**2) + 0.009	10	proged	numdif	all	shearflow	inf	3
11	30	63	0.0009457201610197773	0.0009457201610197773	0.226*y*sin(4.18*y) + 2.385*y + 3.647	-0.02*x**3 + 0.665*x + 0.2*cos(0.259*x**2) - 1.288	11	proged	numdif	all	shearflow	inf	3
12	25	50	0.0010764320900479745	0.0010764320900479745	0.226*y*sin(4.18*y) + 2.385*y + 3.647	-0.186*cos(2.5*x)/(0.01*x - 3.89)	12	proged	numdif	all	shearflow	inf	3
13	19	38	0.007974509598870593	0.007974509598870593	0.506*y + 0.456 + 0.834/y**2	-0.018*x*sin(2.106*x) + 0.018	13	proged	numdif	all	shearflow	inf	3
14	20	43	0.005584685043259261	0.005584685043259261	2.843*y + 0.658*cos(2.946*y) + 4.521	-0.018*x*sin(2.106*x) + 0.018	14	proged	numdif	all	shearflow	inf	3
15	24	51	0.001414019862260219	0.001414019862260219	2.003*y - 0.442*cos(2.497*y)**2 + 3.37	-0.083*x + 0.008*sin(4.995*x) + 0.261	15	proged	numdif	all	shearflow	inf	3
16	38	73	0.00041513681508577647	0.00041513681508577647	2.003*y - 0.442*cos(2.497*y)**2 + 3.37	0.048*cos(2.5*x) + 0.001*sin(0.001*x*y)/(0.914*x**2 + 4.997*y)	16	proged	numdif	all	shearflow	inf	3
17	31	64	0.0008932657739011694	0.0008932657739011694	2.003*y - 0.442*cos(2.497*y)**2 + 3.37	-0.02*x**3 + 0.665*x + 0.2*cos(0.259*x**2) - 1.288	17	proged	numdif	all	shearflow	inf	3
18	26	51	0.0010248603675490566	0.0010248603675490566	2.003*y - 0.442*cos(2.497*y)**2 + 3.37	-0.186*cos(2.5*x)/(0.01*x - 3.89)	18	proged	numdif	all	shearflow	inf	3
