  complexity    length         TE     TE_inf  expr_x                                                              expr_y                                                      index_column  method    exp_type    data_version    system       snr    init
           6         8  2.67959    2.67959    0.045*y                                                             -0.011*x                                                               0  proged    numdif      allonger        shearflow    inf       1
          10        18  0.685011   0.685011   0.893*y - 1.403                                                     -0.13*x - 0.408                                                        1  proged    numdif      allonger        shearflow    inf       1
          13        25  0.684239   0.684239   0.893*y - 1.403                                                     -0.13*x - 0.408                                                        2  proged    numdif      allonger        shearflow    inf       1
          15        28  0.659497   0.659497   0.728*y - 1.024 - 0.245/y**2                                        -0.13*x - 0.408                                                        3  proged    numdif      allonger        shearflow    inf       1
          16        33  0.489484   0.489484   3.186*y + 1.399*sin(2.002*y) - 5.0                                  -0.13*x - 0.408                                                        4  proged    numdif      allonger        shearflow    inf       1
          17        36  0.107077   0.107077   3.186*y + 1.399*sin(2.002*y) - 5.0                                  -0.176*sin(2.014*x)                                                    5  proged    numdif      allonger        shearflow    inf       1
          35        71  0.0508192  0.0508192  0.293*y**2 + 2.611*y + 1.654*sin(1.932*y) - 5.0                     -0.258*sin(2.01*x) - 0.246 - 1.283/(-0.258*x**2 - 2.815)               6  proged    numdif      allonger        shearflow    inf       1
          34        70  0.097628   0.097628   0.293*y**2 + 2.611*y + 1.654*sin(1.932*y) - 5.0                     -0.589*x/(0.506*x - 4.482) - 0.258*sin(2.006*x) + 0.3                  7  proged    numdif      allonger        shearflow    inf       1
          40        85  0.0170566  0.0170566  0.05*x*cos(0.381*x) + 0.038*x + 3.301*y + 1.463*sin(2.017*y) - 5.0  -0.258*sin(2.01*x) - 0.246 - 1.283/(-0.258*x**2 - 2.815)               8  proged    numdif      allonger        shearflow    inf       1
          39        84  0.0202941  0.0202941  0.05*x*cos(0.381*x) + 0.038*x + 3.301*y + 1.463*sin(2.017*y) - 5.0  -0.589*x/(0.506*x - 4.482) - 0.258*sin(2.006*x) + 0.3                  9  proged    numdif      allonger        shearflow    inf       1
