	system	snr	iinit	TE	TEinf	expr_model	method	data_version	exp_version	benchmark	duration
0	shearflow	inf	0	4.272169688610834	4.272169688610834	[['-65358143.057 1 + -23479.605 x + 565916.080 y + 18590.581 x^2 + 368944.673 y^2 + 613.230 x^3 + 51006.590 y^3 + -19538.941 x*y + 40551.276 x/y + 8693.445 y/x + 6116.631 x^2*y + -2239.113 y^2*x + -19454.271 sin(x) + -89109.329 sin(y) + -8105.544 cos(x) + 233160.015 cos(y) + -11615.582 cot(x) + 32242.554 cot(y) + 32639019.331 sin^2(x) + 32655860.376 sin^2(y) + 32658054.421 cos^2(x) + 32641220.974 cos^2(y) + -13771.237 sin(y)/(x) + -61704.873 cos(x)/(y) + -100546.466 sin(x)/(y) + -127566.534 sin^2(y) * sin(x) + -9129.715 sin^2(x) * sin(y) + 38461.317 cos^2(x) * sin(y) + -10330.883 cos^2(y) * sin(x) + -17.103 sin(x) * cot(y) + 5443.168 sin(y) * cot(x) + 9275.106 cos(x) * cot(y) + -34857.993 cos(y) * cot(x)', '-80668811.103 1 + -29216.939 x + 724220.951 y + 23478.845 x^2 + 472196.787 y^2 + 735.706 x^3 + 65294.474 y^3 + -24537.417 x*y + 50821.563 x/y + 10794.162 y/x + 7765.010 x^2*y + -2834.358 y^2*x + -24499.285 sin(x) + -113658.368 sin(y) + -10033.918 cos(x) + 298706.242 cos(y) + -14722.642 cot(x) + 41447.994 cot(y) + 40284443.012 sin^2(x) + 40305369.337 sin^2(y) + 40307508.341 cos^2(x) + 40286591.294 cos^2(y) + -17017.988 sin(y)/(x) + -77253.579 cos(x)/(y) + -126027.248 sin(x)/(y) + -163501.444 sin^2(y) * sin(x) + -11494.605 sin^2(x) * sin(y) + 49848.085 cos^2(x) * sin(y) + -13012.393 cos^2(y) * sin(x) + -18.687 sin(x) * cot(y) + 6649.826 sin(y) * cot(x) + 11254.206 cos(x) * cot(y) + -43601.887 cos(y) * cot(x)']]	sindy	all	e1	strogatz	4.376053094863892
1	shearflow	30	0	6.724018867866535	6.880167908505523	[['3023.682 1 + -10700.849 y + -8266.269 y^2 + -1145.128 y^3 + -0.100 x/y + -0.014 x^2*y + 4855.293 sin(y) + -6791.294 cos(y) + -0.012 tan(x) + 1513.665 sin^2(x) + 1127.169 sin^2(y) + 1510.017 cos^2(x) + 1896.513 cos^2(y) + 0.318 cos(x)/(y) + 2425.788 sin^2(y) * sin(x) + 2429.505 cos^2(x) * sin(y) + 0.328 cos^2(y) * sin(x) + -0.154 sin(x) * cot(y) + -0.003 cos(y) * cot(x)', '1181.846 1 + -3218.760 y + -2138.044 y^2 + -254.975 y^3 + 0.025 y^2*x + 1695.878 sin(y) + -1605.683 cos(y) + 0.005 tan(x) + 5.843 cot(y) + 595.041 sin^2(x) + -328.924 sin^2(y) + 586.804 cos^2(x) + -6.107 cos(x)/(y) + 842.200 sin^2(y) * sin(x) + 853.678 cos^2(x) * sin(y) + 0.705 cos^2(y) * sin(x) + -3.567 cos(x) * cot(y) + 0.017 cos(y) * cot(x)']]	sindy	all	e1	strogatz	4.184998989105225
2	shearflow	13	0	13.606605591568806	18.5219660532171	[['0.001 tan(x) + 1.089 sin^2(x) + -0.453 cos^2(y) * sin(x) + 0.187 sin(y) * cot(x)', '-14.315 y + -97.929 y^2 + -0.858 x^3 + -24.579 y^3 + -4.747 x/y + 0.061 y/x + -3.756 sin(x) + -82.025 sin(y) + 1.239 cos(x) + -108.672 cos(y) + 0.018 tan(y) + -1.767 cot(y) + 0.239 sin^2(x) + 50.230 sin^2(y) + -0.166 sin(y)/(x) + -41.582 sin^2(y) * sin(x) + 1.628 sin^2(x) * sin(y) + -40.444 cos^2(x) * sin(y) + 2.263 sin(x) * cot(y) + 1.037 cos(x) * cot(y)']]	sindy	all	e1	strogatz	4.4860358238220215
3	shearflow	inf	1	12.715111665608514	12.715111665608514	[['-867901.459 1 + 4896280.878 x + -2649732.774 y + 2754188.062 x^2 + 7741676.422 y^2 + 250653.994 x^3 + -489060.013 y^3 + 5699377.907 x*y + 986497.480 x/y + 846077.068 y/x + 486705.630 x^2*y + -280155.744 y^2*x + -1305249.371 sin(x) + 5842273.205 sin(y) + -3081576.080 cos(x) + 2105924.786 cos(y) + -645963.822 cot(x) + 4089047.271 cot(y) + -2971550.417 sin^2(x) + -2232846.198 sin^2(y) + -3537135.132 cos^2(x) + -4275803.616 cos^2(y) + -9224059.492 cos(y)/(x) + 232337.162 sin(y)/(x) + 189672.941 cos(x)/(y) + 1244987.102 sin(x)/(y) + 4279407.133 sin^2(y) * sin(x) + -339357.305 sin^2(x) * sin(y) + 1562870.958 cos^2(x) * sin(y) + -965873.570 cos^2(y) * sin(x) + -767306.910 sin(x) * cot(y) + 823369.257 sin(y) * cot(x) + 558644.820 cos(x) * cot(y) + -1392.900 cos(y) * cot(x)', '38031.521 1 + -1125038.726 x + -988992.862 y + -818710.913 x^2 + -484002.174 y^2 + -97233.363 x^3 + 6018.196 y^3 + -848093.152 x*y + -254077.625 x/y + -483701.999 y/x + -51100.562 x^2*y + 65314.597 y^2*x + 366549.473 sin(x) + -808717.911 sin(y) + 269530.012 cos(x) + 77619.233 cos(y) + 28.497 tan(x) + 196471.018 cot(x) + -773424.967 cot(y) + 366736.704 sin^2(x) + 496225.755 sin^2(y) + 886157.386 cos^2(x) + 756665.605 cos^2(y) + 1318346.572 cos(y)/(x) + -313633.661 sin(y)/(x) + -1004378.094 cos(x)/(y) + -222333.234 sin(x)/(y) + -534843.959 sin^2(y) * sin(x) + 135536.838 sin^2(x) * sin(y) + -273873.239 cos^2(x) * sin(y) + 231012.098 cos^2(y) * sin(x) + 109607.531 sin(x) * cot(y) + -250234.533 sin(y) * cot(x) + 383483.813 cos(x) * cot(y) + 176.514 cos(y) * cot(x)']]	sindy	all	e1	strogatz	4.491065263748169
4	shearflow	30	1	12.964261864422195	13.351045531773988	[['-388114511329.988 1 + -626345.332 x + -1032454.197 y + -152039.910 x^2 + 317003.677 y^2 + -11807.587 x^3 + 2684.428 y^3 + 27320.448 x*y + 15136.816 x/y + -224134.772 y/x + 951.066 x^2*y + -3820.500 y^2*x + 25428.198 sin(x) + 562678.906 sin(y) + 64917.304 cos(x) + -75663.168 cos(y) + -0.081 tan(x) + 0.002 tan(y) + 31846.699 cot(y) + 194056891935.758 sin^2(x) + 194056937387.017 sin^2(y) + 194056888956.576 cos^2(x) + 194056843516.631 cos^2(y) + -251817.983 cos(y)/(x) + -953.445 sin(y)/(x) + 13515.044 sin(x)/(y) + 280372.011 sin^2(y) * sin(x) + 15187.784 sin^2(x) * sin(y) + 282298.468 cos^2(x) * sin(y) + 10219.041 cos^2(y) * sin(x) + -6388.407 sin(x) * cot(y) + 0.039 sin(y) * cot(x) + 943.160 cos(x) * cot(y)', '119174053531.246 1 + -5094.077 x + 1142.537 y + -144.205 x^2 + 10718.452 y^2 + 31.785 x^3 + -2227.171 y^3 + 2744.315 x*y + 332.130 x/y + 185.542 x^2*y + -92.992 y^2*x + -578.415 sin(x) + -428.006 sin(y) + 342.409 cos(x) + 9370.005 cos(y) + -0.074 tan(x) + -59587038267.157 sin^2(x) + -59587038329.755 sin^2(y) + -59587037998.824 cos^2(x) + -59587037939.925 cos^2(y) + -10741.872 cos(y)/(x) + -1943.632 sin(y)/(x) + -533.077 cos(x)/(y) + -329.466 sin^2(y) * sin(x) + -101.333 cos^2(x) * sin(y) + -59.683 cos^2(y) * sin(x) + -124.429 sin(x) * cot(y) + -0.049 sin(y) * cot(x) + 114.249 cos(x) * cot(y) + 0.065 cos(y) * cot(x)']]	sindy	all	e1	strogatz	4.410038709640503
5	shearflow	13	1	2.757490535914619	3.6655272422237886	[['-1.769 1 + -235.010 x + -3113.765 y + 56.839 x^2 + 8.019 x^3 + 224.790 y^3 + 82.455 x*y + -725.981 y/x + -116.745 sin(x) + 1976.495 sin(y) + -59.864 cos(x) + -1961.594 cos(y) + -53.114 cot(y) + 421.419 sin^2(y) + 54.050 cos^2(x) + -1513.988 cos(y)/(x) + 97.233 sin(y)/(x) + 966.946 sin^2(y) * sin(x) + 1009.549 cos^2(x) * sin(y) + -21.139 cos^2(y) * sin(x) + -0.167 sin(y) * cot(x) + -48.435 cos(x) * cot(y) + 0.312 cos(y) * cot(x)', '-83.024 y + 7.542 y^3 + 101.130 sin(y) + -0.373 cos(x) + -30.051 cos(y) + -0.011 tan(x) + 3.462 cot(y) + 15.194 sin^2(y) + -0.125 sin(x) * cot(y) + -0.012 cos(y) * cot(x)']]	sindy	all	e1	strogatz	4.430999040603638
6	shearflow	inf	2	5.2554193739661486	5.2554193739661486	[['11680024.631 1 + 1619075.448 x + -137333.610 y + -6536.773 x^2 + 30431.983 y^2 + -137672.601 x^3 + 8563.633 y^3 + 18762.270 x*y + -99360.754 x/y + -72890.142 y/x + 25067.908 x^2*y + 5299.537 y^2*x + -1407079.464 sin(x) + -746013.241 cos(x) + 156086.046 cos(y) + 0.047 tan(x) + -72775.277 cot(x) + -34294.720 cot(y) + -5585435.266 sin^2(x) + -5817838.657 sin^2(y) + -6014994.986 cos^2(x) + -5782590.995 cos^2(y) + 175006.767 cos(y)/(x) + 125389.048 sin(y)/(x) + 119140.389 cos(x)/(y) + -77171.682 sin(x)/(y) + 8849.603 sin^2(y) * sin(x) + -688005.770 sin^2(x) * sin(y) + -2661810.659 cos^2(x) * sin(y) + -719068.659 cos^2(y) * sin(x) + 80280.398 sin(x) * cot(y) + -46729.121 sin(y) * cot(x) + -26751.990 cos(x) * cot(y) + -99426.018 cos(y) * cot(x)', '-3599305.752 1 + -489588.337 x + 38552.491 y + 1796.345 x^2 + -10783.580 y^2 + 41758.225 x^3 + -2623.039 y^3 + -8350.065 x*y + 30059.021 x/y + 22980.487 y/x + -7629.145 x^2*y + -2623.959 y^2*x + 426185.074 sin(x) + 224152.014 cos(x) + -48498.898 cos(y) + -0.015 tan(x) + 23487.615 cot(x) + 10274.676 cot(y) + 1721458.834 sin^2(x) + 1792930.684 sin^2(y) + 1854131.865 cos^2(x) + 1782659.935 cos^2(y) + -54713.237 cos(y)/(x) + -32591.920 sin(y)/(x) + -37345.663 cos(x)/(y) + 23572.667 sin(x)/(y) + 208610.778 sin^2(x) * sin(y) + 804868.837 cos^2(x) * sin(y) + 217572.488 cos^2(y) * sin(x) + -24507.783 sin(x) * cot(y) + 10508.757 sin(y) * cot(x) + 8801.270 cos(x) * cot(y) + 30915.367 cos(y) * cot(x)']]	sindy	all	e1	strogatz	4.367563247680664
7	shearflow	30	2	4.685772204914491	4.6934727989703084	[['-105.430 y + -33.217 y^2 + 58.218 sin(y) + -0.915 cot(y) + -7.325 sin^2(y) + -2.055 cos(x)/(y) + 0.445 sin(x)/(y) + 25.765 sin^2(y) * sin(x) + 32.453 cos^2(x) * sin(y) + 1.410 cos^2(y) * sin(x) + -0.040 sin(y) * cot(x) + 2.773 cos(x) * cot(y)', '0.973 cos^2(y) * sin(x)']]	sindy	all	e1	strogatz	4.481536626815796
8	shearflow	13	2	8.305561616610088	9.452176463429716	[['0.082 y^3 + -0.425 sin(x) + 0.014 tan(x) + 0.335 cot(y) + -2.971 sin^2(x) + -0.988 sin^2(y) + 0.307 sin(y)/(x) + -2.801 cos^2(x) * sin(y) + 0.361 sin(x) * cot(y)', '-0.235 x^3 + -0.582 cos(y) + 0.013 tan(y) + 0.401 cot(x) + -0.097 cot(y) + 1.689 sin^2(x) + -1.060 cos^2(x) + 2.884 cos^2(x) * sin(y) + -0.334 cos^2(y) * sin(x)']]	sindy	all	e1	strogatz	1.3640005588531494
9	shearflow	inf	3	31.32150045570871	31.32150045570871	[['63757958.155 1 + 48208727.012 x + -42793023.772 y + 8661074.066 x^2 + 259277980.037 y^2 + 6608252.974 x^3 + 57694300.959 y^3 + 314605275.708 x*y + 219427198.355 x/y + -1033111.477 y/x + -18638832.698 x^2*y + 50178222.517 y^2*x + 3843522.583 sin(x) + 45531677.958 sin(y) + -76254104.757 cos(x) + -104840415.917 cos(y) + -1324735.494 tan(x) + 38355961.604 cot(x) + -650912434.278 cot(y) + 5339788.319 sin^2(x) + 12119046.492 sin^2(y) + 59708609.823 cos^2(x) + 53161077.227 cos^2(y) + -186335522.541 cos(y)/(x) + -58522861.599 sin(y)/(x) + 381734247.932 cos(x)/(y) + 62585240.773 sin(x)/(y) + 17546281.985 sin^2(y) * sin(x) + -1418939.681 sin^2(x) * sin(y) + 28073276.880 cos^2(x) * sin(y) + 5389654.789 cos^2(y) * sin(x) + 5364641.730 sin(x) * cot(y) + 38803917.322 sin(y) * cot(x) + -244598634.818 cos(x) * cot(y)', '-15375166.896 1 + -11602400.365 x + 10181784.885 y + -2098102.281 x^2 + -62149745.238 y^2 + -1573334.194 x^3 + -13634521.929 y^3 + -75862439.758 x*y + -52266812.964 x/y + 29486.652 y/x + 4517153.094 x^2*y + -12087090.116 y^2*x + -900924.178 sin(x) + -11023460.429 sin(y) + 18166391.920 cos(x) + 25017419.289 cos(y) + 316895.356 tan(x) + -9536341.922 cot(x) + 156483078.055 cot(y) + -1347699.705 sin^2(x) + -3101346.081 sin^2(y) + -14337124.159 cos^2(x) + -12639179.415 cos^2(y) + 44498275.814 cos(y)/(x) + 14068377.824 sin(y)/(x) + -91614605.751 cos(x)/(y) + -14884987.266 sin(x)/(y) + -4131988.793 sin^2(y) * sin(x) + 377455.503 sin^2(x) * sin(y) + -6912650.572 cos^2(x) * sin(y) + -1308970.014 cos^2(y) * sin(x) + -1283104.511 sin(x) * cot(y) + -9647715.975 sin(y) * cot(x) + 58768447.440 cos(x) * cot(y)']]	sindy	all	e1	strogatz	4.453005313873291
