Unnamed: 0,system,snr,iinit,TE,TEinf,expr_model,method,data_version,exp_version,benchmark,duration,dM
0,shearflow,inf,0,25.641244052513063,25.641244052513063,"[['-3522.921 1 + -64700.175 x + 3335.135 y + 1047.750 x^2 + 3531.687 y^2 + -3630.918 x^3 + 574.645 y^3 + -24613.204 x*y + 31577.083 x/y + -45327.425 y/x + 369.042 x^2*y + -2032.786 y^2*x + -32998.236 sin(x) + 2618.669 cos(y) + -0.179 tan(x) + -124007.123 cot(x) + 54755.194 cos(y)/(x) + -51888.918 sin(y)/(x) + -2422.711 cos(x)/(y) + -106487.670 sin(x)/(y) + -1148.732 sin^2(y) * sin(x) + -18823.830 sin^2(x) * sin(y) + 982.811 cos^2(x) * sin(y) + -14174.521 cos^2(y) * sin(x) + 107.219 sin(x) * cot(y) + 3892.764 sin(y) * cot(x) + 9.402 cos(x) * cot(y) + -33758.281 cos(y) * cot(x)', '-5442.799 1 + -79241.739 x + 4530.389 y + 1814.260 x^2 + 4972.681 y^2 + -3963.375 x^3 + 806.921 y^3 + -29179.946 x*y + 37646.338 x/y + -52542.505 y/x + 641.090 x^2*y + -2226.521 y^2*x + -38045.704 sin(x) + 3575.991 cos(y) + -0.261 tan(x) + -145168.179 cot(x) + 64906.837 cos(y)/(x) + -63647.789 sin(y)/(x) + -4221.135 cos(x)/(y) + -126900.354 sin(x)/(y) + -1473.984 sin^2(y) * sin(x) + -21829.450 sin^2(x) * sin(y) + 2346.473 cos^2(x) * sin(y) + -16216.388 cos^2(y) * sin(x) + 95.112 sin(x) * cot(y) + 6216.087 sin(y) * cot(x) + 20.095 cos(x) * cot(y) + -41272.439 cos(y) * cot(x)']]",sindy,all,e1,strogatz,8.479790925979614,61
1,shearflow,30.0,0,2.8754824173404807,2.894233412067643,"[['2273.807 1 + 19.220 x + -2179.122 y + -2743.223 y^2 + -0.082 x^3 + -492.921 y^3 + 11.678 x*y + 10.645 x/y + 2.473 y^2*x + 840.523 sin(y) + -2811.676 cos(y) + -22.351 cot(y) + -2.101 sin^2(y) * sin(x) + -0.336 cos^2(y) * sin(x) + -0.775 sin(x) * cot(y) + 2.435 cos(x) * cot(y) + -0.007 cos(y) * cot(x)', '1.072 cos^2(y) * sin(x)']]",sindy,all,e1,strogatz,8.522117614746094,23
2,shearflow,13.0,0,7.265028618674121,9.786664449522153,"[['0.090 1 + -0.028 y^3 + -0.423 cos(x) + 0.001 tan(x) + 0.005 tan(y) + -1.184 cos(x)/(y) + 0.376 sin^2(x) * sin(y) + -1.180 cos^2(y) * sin(x) + 0.239 sin(x) * cot(y) + 0.251 sin(y) * cot(x)', '222.429 1 + -452.914 y + 1.888 x^2 + -365.661 y^2 + -1.084 x^3 + -53.751 y^3 + -3.795 x/y + 1.476 x^2*y + -0.056 y^2*x + 160.164 sin(y) + -297.960 cos(y) + -0.001 tan(x) + 0.017 tan(y) + -4.479 cot(x) + -1.342 cot(y) + 78.997 sin^2(y) * sin(x) + 81.167 cos^2(x) * sin(y) + 0.540 cos^2(y) * sin(x) + 0.682 sin(x) * cot(y) + -2.569 sin(y) * cot(x) + -4.139 cos(y) * cot(x)']]",sindy,all,e1,strogatz,8.5365891456604,35
3,shearflow,inf,1,545.283622756157,545.283622756157,"[['-2871088.230 1 + 6280961.702 x + 7217955.781 y + 2105767.894 x^2 + 5595855.810 y^2 + 153183.592 x^3 + -811407.035 y^3 + 4877338.625 x*y + 1012643.771 x/y + -2380967.714 y/x + 490982.307 x^2*y + -33190.226 y^2*x + -253160.370 sin(x) + 1485817.155 sin(y) + -1962484.753 cos(x) + 3269431.041 cos(y) + 756366.378 cot(x) + 4123470.820 cot(y) + -11944607.894 cos(y)/(x) + 11267806.794 sin(y)/(x) + -939821.430 cos(x)/(y) + 969340.797 sin(x)/(y) + 1258226.127 sin^2(y) * sin(x) + -70268.200 sin^2(x) * sin(y) + 227579.877 cos^2(x) * sin(y) + -182881.937 cos^2(y) * sin(x) + -641178.744 sin(x) * cot(y) + -961749.067 sin(y) * cot(x) + 1091440.739 cos(x) * cot(y) + -1344.202 cos(y) * cot(x)', '25717.725 1 + -1557512.780 x + -1317251.927 y + -609948.996 x^2 + -350970.980 y^2 + -57487.725 x^3 + 67904.625 y^3 + -611500.953 x*y + -98578.299 x/y + 77208.020 y/x + -51990.144 x^2*y + 33613.945 y^2*x + 240794.706 sin(x) + -170564.895 sin(y) + 160991.639 cos(x) + -276497.397 cos(y) + 14.145 tan(x) + -87238.322 cot(x) + -413204.816 cot(y) + 1107052.694 cos(y)/(x) + -1226918.942 sin(y)/(x) + 87258.282 cos(x)/(y) + -133715.409 sin(x)/(y) + -111653.566 sin^2(y) * sin(x) + 103390.440 sin^2(x) * sin(y) + -58910.567 cos^2(x) * sin(y) + 137403.539 cos^2(y) * sin(x) + 82580.116 sin(x) * cot(y) + 110941.613 sin(y) * cot(x) + -107315.199 cos(x) * cot(y) + 136.355 cos(y) * cot(x)']]",sindy,all,e1,strogatz,8.418976545333862,62
4,shearflow,30.0,1,3.881054079393437,3.9645737323067074,"[['19507.663 1 + -39799.203 x + 15638.956 y + -10361.757 x^2 + -71431.597 y^2 + -864.319 x^3 + 13461.176 y^3 + 882.954 x*y + 2175.804 x/y + -58573.719 y/x + -557.306 x^2*y + -2970.608 y^2*x + 1113.031 sin(x) + 12229.648 sin(y) + 8382.506 cos(x) + -73541.605 cos(y) + -0.051 tan(x) + 0.003 tan(y) + 8208.621 cot(y) + 55493.717 sin(y)/(x) + -4395.671 cos(x)/(y) + 3329.163 sin(x)/(y) + 5744.856 sin^2(y) * sin(x) + 1111.112 sin^2(x) * sin(y) + 6484.791 cos^2(x) * sin(y) + 1.919 cos^2(y) * sin(x) + -1122.210 sin(x) * cot(y) + 0.033 sin(y) * cot(x) + 3181.783 cos(x) * cot(y)', '-23609.562 1 + -44.511 x + -13727.297 y + 132.378 x^2 + 26792.434 y^2 + 25.860 x^3 + -5366.288 y^3 + -47.265 x/y + 3563.008 y/x + 56.658 x^2*y + 215.839 y^2*x + 29479.013 cos(y) + -0.058 tan(x) + -1479.279 cot(y) + 209.900 cos(y)/(x) + -5564.206 sin(y)/(x) + 125.274 cos(x)/(y) + -338.201 sin(x)/(y) + 31.871 sin^2(x) * sin(y) + 17.736 cos^2(x) * sin(y) + 155.011 cos^2(y) * sin(x) + 116.876 sin(x) * cot(y) + 0.004 sin(y) * cot(x) + -76.061 cos(x) * cot(y)']]",sindy,all,e1,strogatz,8.32418704032898,59
5,shearflow,13.0,1,66.58229302925724,114.93933081120976,"[['83.154 1 + 117.933 x + 22.829 x^2 + 1.302 x^3 + -20.849 x*y + -1.658 x^2*y + -17.336 cos(x) + 36.931 cos(y) + -0.001 tan(y) + 13.080 cot(y) + -27.178 sin(y)/(x) + -1.775 cos^2(y) * sin(x) + 9.981 sin(x) * cot(y) + -0.165 sin(y) * cot(x) + 2.020 cos(x) * cot(y) + 0.311 cos(y) * cot(x)', '-84.008 1 + -0.591 x + 53.932 y^2 + -12.291 y^3 + 1.556 x*y + -2.447 x/y + 64.918 cos(y) + -0.013 tan(x) + -7.674 cot(y) + -42.586 cos(y)/(x) + -0.171 cos^2(x) * sin(y) + 0.327 cos^2(y) * sin(x) + 0.013 sin(y) * cot(x) + -0.953 cos(x) * cot(y) + -0.031 cos(y) * cot(x)']]",sindy,all,e1,strogatz,8.384944915771484,38
6,shearflow,inf,2,4.971784251560464,4.971784251560464,"[['-41244.535 1 + 2577.441 x + -5227.012 y + 24879.507 y^2 + -2947.922 x^3 + 3675.876 y^3 + 44152.717 x*y + -35545.252 y/x + 11705.135 x^2*y + 11052.957 y^2*x + -11617.517 sin(x) + -174016.566 sin(y) + -3537.436 cos(x) + 35230.471 cos(y) + -0.027 tan(x) + -17751.138 cot(x) + 20586.761 cot(y) + 26139.178 cos(y)/(x) + -51525.583 sin(y)/(x) + 8379.793 cos(x)/(y) + -36341.932 sin(x)/(y) + 145203.162 sin^2(y) * sin(x) + -6808.755 sin^2(x) * sin(y) + -319219.731 cos^2(x) * sin(y) + -4808.751 cos^2(y) * sin(x) + 36186.545 sin(x) * cot(y) + 38267.552 sin(y) * cot(x) + -8357.310 cos(x) * cot(y) + -18578.930 cos(y) * cot(x)', '61.075 1 + 378.885 y + -54.770 y^2 + -11.324 y^3 + -938.164 x*y + 2.211 x/y + 1176.091 y/x + -458.619 x^2*y + 4.901 y^2*x + 47.288 sin(x) + 6190.454 sin(y) + 214.548 cos(y) + 0.008 tan(x) + 67.785 cot(x) + -759.981 cot(y) + 405.007 cos(y)/(x) + 366.770 sin(y)/(x) + -1.503 cos(x)/(y) + 1347.444 sin(x)/(y) + -5204.961 sin^2(y) * sin(x) + -18.702 sin^2(x) * sin(y) + 11395.416 cos^2(x) * sin(y) + -1346.585 sin(x) * cot(y) + -65.695 sin(y) * cot(x) + -153.343 cos(y) * cot(x)']]",sindy,all,e1,strogatz,8.54871916770935,55
7,shearflow,30.0,2,4.575100068185834,4.581744787853053,"[['9.238 1 + 5.500 x + 77.735 y + 22.347 y^2 + 9.513 x*y + -2.001 x/y + 2.814 y^2*x + -37.449 sin(y) + -6.003 cos(y) + -0.001 tan(y) + -0.054 cot(y) + -3.864 cos(x)/(y) + 1.571 sin(x)/(y) + -24.147 sin^2(y) * sin(x) + 6.850 sin^2(x) * sin(y) + -13.301 cos^2(x) * sin(y) + -6.721 cos^2(y) * sin(x) + -0.017 sin(y) * cot(x) + 4.510 cos(x) * cot(y)', '312.035 1 + -263.077 x + 306.789 y + -82.769 x^2 + 134.165 y^2 + 35.898 x^3 + 84.517 x*y + -15.899 x/y + -85.410 y/x + 44.047 y^2*x + 191.586 sin(x) + -120.095 sin(y) + -289.211 cos(x) + -17.496 cos(y) + 16.216 cot(y) + -16.590 cos(x)/(y) + 1.017 sin^2(y) * sin(x) + 95.212 sin^2(x) * sin(y) + -121.111 cos^2(x) * sin(y) + 96.375 cos^2(y) * sin(x) + 19.923 sin(x) * cot(y) + 86.591 sin(y) * cot(x)']]",sindy,all,e1,strogatz,8.539551973342896,43
8,shearflow,13.0,2,4.908273199748083,5.56864215538532,"[['0.411 x^3 + 0.178 y^3 + -1.338 sin(x) + -2.493 sin(y) + -2.700 cos(x) + -0.780 cos(y) + 0.014 tan(x) + 0.421 cot(y) + 1.145 sin^2(y) * sin(x) + 0.408 sin(x) * cot(y) + 0.273 sin(y) * cot(x) + 0.048 cos(y) * cot(x)', '-0.561 x^2 + -0.451 x^3 + 0.097 y/x + -0.317 cos(y) + -0.001 tan(x) + 0.014 tan(y) + 0.395 cot(x) + -0.195 cot(y) + 0.212 cos(x)/(y) + 0.770 sin^2(x) * sin(y)']]",sindy,all,e1,strogatz,2.035675525665283,25
9,shearflow,inf,3,102.16486288578008,102.16486288578008,"[['87503067.827 1 + 39946461.259 x + -82780661.670 y + 64160809.058 x^2 + 123018722.743 y^2 + -3650228.470 x^3 + 89562446.973 y^3 + 117688111.625 x*y + 202745058.423 x/y + -71384795.271 y/x + 9674581.741 x^2*y + 46734155.878 y^2*x + 46374675.861 sin(x) + 89855765.631 sin(y) + -25446275.401 cos(x) + -17903666.414 cos(y) + -140466.727 tan(x) + 27433897.688 cot(x) + -148566396.410 cot(y) + -138067924.660 cos(y)/(x) + 21068239.857 sin(y)/(x) + 49278127.492 cos(x)/(y) + 63270552.877 sin(x)/(y) + 53914587.182 sin^2(y) * sin(x) + 24030961.530 sin^2(x) * sin(y) + 35938563.495 cos^2(x) * sin(y) + 22372011.547 cos^2(y) * sin(x) + 4208409.417 sin(x) * cot(y) + 27754295.635 sin(y) * cot(x) + -24511036.367 cos(x) * cot(y)', '-21492407.523 1 + -9631980.597 x + 20001127.978 y + -15602474.621 x^2 + -29811981.722 y^2 + 901290.189 x^3 + -21384460.652 y^3 + -29323441.229 x*y + -48472753.925 x/y + 17053386.467 y/x + -2256817.511 x^2*y + -11432685.858 y^2*x + -11291745.707 sin(x) + -22242924.963 sin(y) + 6025229.719 cos(x) + 4076366.984 cos(y) + 34372.897 tan(x) + -6927327.393 cot(x) + 36500363.105 cot(y) + 32916310.190 cos(y)/(x) + -5029778.733 sin(y)/(x) + -12280647.316 cos(x)/(y) + -15192905.456 sin(x)/(y) + -13116200.851 sin^2(y) * sin(x) + -5782182.075 sin^2(x) * sin(y) + -9126152.735 cos^2(x) * sin(y) + -5516582.580 cos^2(y) * sin(x) + -971885.170 sin(x) * cot(y) + -7008231.007 sin(y) * cot(x) + 6221341.797 cos(x) * cot(y)']]",sindy,all,e1,strogatz,8.496922016143799,61
